time,tc temp (C),tr temp (C),tr res (ohm),sr2124,x,y,r,theta
1664226767.859143,0,0,0,8.616005,0.0101014,-7.24797e-05,0.0101052,-0.342
1664226772.9411144,0,0,0,8.616005,0.0101014,-0.000106812,0.0100976,-0.546
1664226778.0361056,0,0,0,8.616005,0.010212,3.81473e-06,0.0102196,0.018
1664226783.1260052,0,0,0,8.608693,0.010212,-0.000129701,0.0102044,-0.732
1664226788.1982837,0,0,0,8.616005,0.0100861,-6.8665e-05,0.0100861,-0.342
1664226793.2803738,0,0,0,8.616005,0.0101967,1.52589e-05,0.0102044,0.078
1664226798.339751,0,0,0,8.608693,0.0102273,-0.000122071,0.0102196,-0.708
1664226803.4013157,0,0,0,8.608693,0.0101662,-0.000144959,0.0101624,-0.792
1664226808.4733515,0,0,0,8.623316,0.010109,-0.000114441,0.0101014,-0.606
1664226813.4992938,0,0,0,8.623316,0.0102502,-6.48503e-05,0.0102502,-0.39
1664226818.5533586,0,0,0,8.630628,0.0102006,-0.000144959,0.0101929,-0.804
1664226823.6137936,0,0,0,8.630628,0.0101891,-0.00013733,0.0101815,-0.786
1664226828.6695712,0,0,0,8.616005,0.0101739,-0.000144959,0.0101662,-0.81
1664226833.7486405,0,0,0,8.623316,0.0101967,-3.81473e-06,0.0102006,-0.036
1664226838.8109396,0,0,0,8.608693,0.0100861,-4.57766e-05,0.0100899,-0.21
1664226843.8631563,0,0,0,8.608693,0.0102273,-7.62945e-06,0.0102349,-0.072
1664226848.9187694,0,0,0,8.630628,0.0101128,-3.43325e-05,0.0101128,-0.15
1664226853.971298,0,0,0,8.623316,0.0102234,-0.000125886,0.0102196,-0.732
1664226859.0502985,0,0,0,8.616005,0.0101853,-0.000144959,0.0101777,-0.81
1664226864.1228557,0,0,0,8.623316,0.0101014,-7.24797e-05,0.0101014,-0.36
1664226869.1627572,0,0,0,8.616005,0.0101128,-3.81473e-06,0.0101205,0.018
1664226874.2316184,0,0,0,8.637939,0.0102273,-0.000125886,0.0102196,-0.708
1664226879.313675,0,0,0,8.645251,0.0101929,-0.000133515,0.0101853,-0.768
1664226884.3746579,0,0,0,8.659874,0.0101281,-2.28883e-05,0.0101357,-0.078
1664226889.4254088,0,0,0,8.667186,0.0101548,0.0,0.0101624,0.0
1664226894.4702196,0,0,0,8.674498,0.0101433,-0.00013733,0.0101395,-0.756
1664226899.5330243,0,0,0,8.645251,0.0100861,-5.3406e-05,0.0100899,-0.246
1664226904.575502,0,0,0,8.645251,0.0102196,-0.000118256,0.0102158,-0.714
1664226909.6415336,0,0,0,8.630628,0.0100976,-0.000102997,0.0100937,-0.51
1664226914.6963794,0,0,0,8.637939,0.0101128,-3.81473e-06,0.0101166,0.018
1664226919.7496486,0,0,0,8.630628,0.0101357,-0.000133515,0.0101281,-0.714
1664226924.8215802,0,0,0,8.630628,0.0101815,1.90736e-05,0.0101891,0.114
1664226929.8675587,0,0,0,8.623316,0.0100899,-8.77385e-05,0.0100861,-0.456
1664226934.9363806,0,0,0,8.630628,0.0102196,-0.000118256,0.0102158,-0.69
1664226939.983476,0,0,0,8.623316,0.0102349,-5.3406e-05,0.0102387,-0.336
1664226945.0441794,0,0,0,8.616005,0.0101739,-0.00013733,0.0101662,-0.786
1664226950.0998294,0,0,0,8.616005,0.0102158,3.81473e-06,0.0102234,0.0
1664226955.1477904,0,0,0,8.623316,0.0102387,-6.48503e-05,0.0102387,-0.39
1664226960.208059,0,0,0,8.616005,0.0102463,-3.43325e-05,0.0102463,-0.222
1664226965.264505,0,0,0,8.623316,0.0101929,-7.62945e-06,0.0102006,-0.054
1664226970.3199322,0,0,0,8.608693,0.0101662,-0.000141145,0.0101548,-0.792
1664226975.3857112,0,0,0,8.630628,0.0102234,-2.6703e-05,0.0102273,-0.168
1664226980.4605658,0,0,0,8.645251,0.0102082,7.62945e-06,0.0102158,0.036
1664226985.5302222,0,0,0,8.637939,0.0101128,-3.05178e-05,0.0101205,-0.132
1664226990.6223931,0,0,0,8.645251,0.0101433,-0.000133515,0.0101395,-0.732
1664226995.681634,0,0,0,8.667186,0.0100899,-8.01091e-05,0.0100899,-0.414
1664227000.7693045,0,0,0,8.667186,0.0101281,-1.90736e-05,0.0101357,-0.054
1664227005.8306403,0,0,0,8.645251,0.0102234,-2.6703e-05,0.0102311,-0.168
1664227010.931587,0,0,0,8.652562,0.0100861,-8.01091e-05,0.0100861,-0.396
1664227016.0132883,0,0,0,8.652562,0.0100861,-4.95913e-05,0.0100899,-0.21
1664227021.0761688,0,0,0,8.623316,0.0102082,7.62945e-06,0.0102196,0.036
1664227026.146079,0,0,0,8.616005,0.0100899,-9.15532e-05,0.0100899,-0.474
1664227031.2448251,0,0,0,8.608693,0.0102234,-2.28883e-05,0.0102273,-0.15
1664227036.2904725,0,0,0,8.608693,0.0102044,-7.62945e-06,0.0102082,-0.054
1664227041.3392186,0,0,0,8.601381,0.010212,-1.14442e-05,0.0102196,-0.096
1664227046.4090166,0,0,0,8.608693,0.0101128,-0.000106812,0.0101128,-0.546
1664227051.4702022,0,0,0,8.601381,0.0101052,-5.72207e-05,0.0101052,-0.282
1664227056.5359547,0,0,0,8.601381,0.0102006,-0.000133515,0.0101929,-0.768
