time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645229441.669533,395142.3795850145,-0.0322695,-8.16655e-08,3.9673e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.928,174.498
1645229444.246675,395142.3795850145,-0.0322695,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.922,174.522
1645229446.824192,395142.3795850145,-0.0322695,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.922,174.522
1645229449.4045694,395142.3795850145,-0.0322695,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.922,174.522
1645229451.9870846,395142.3795850145,-0.0322695,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.922,174.498
1645229454.5785956,395142.3795850145,-0.0322695,-8.16655e-08,3.9673e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.928,174.498
1645229457.17227,395142.3795850145,-0.0322695,-8.16655e-08,3.9673e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.928,174.498
1645229459.76807,395142.3795850145,-0.0322695,-8.16655e-08,3.9673e-05,7.812559999999999e-09,0.0322664,8.19707e-08,179.928,174.498
1645229462.3430674,395104.4198590592,-0.0322664,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.19707e-08,179.922,174.522
1645229464.906579,395104.4198590592,-0.0322664,-8.16655e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.19707e-08,179.922,174.522
1645229467.4772546,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229470.050075,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229472.6369278,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229475.227526,395399.7634934348,-0.0322664,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.922,174.516
1645229477.8129082,395437.7515945812,-0.0322695,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322664,8.190970000000001e-08,179.922,174.516
1645229480.3936434,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229482.9751406,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229485.5645719,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229488.1437597,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229490.7286427,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229493.319088,395399.7634934348,-0.0322664,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.922,174.516
1645229495.8872137,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229498.463942,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229501.0555685,395399.7634934348,-0.0322664,-8.16045e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.928,174.516
1645229503.6493194,395399.7634934348,-0.0322664,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.922,174.516
1645229506.2497728,395399.7634934348,-0.0322664,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.922,174.516
1645229508.8318112,395399.7634934348,-0.0322664,-8.16045e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.190970000000001e-08,179.922,174.516
1645229511.4114969,395696.03425905714,-0.0322664,-8.15434e-08,4.27248e-05,7.812559999999999e-09,0.0322634,8.18486e-08,179.922,174.516
1645229513.9800825,395696.03425905714,-0.0322664,-8.15434e-08,3.9673e-05,7.812559999999999e-09,0.0322634,8.18486e-08,179.928,174.516
1645229516.5639021,395474.5142731099,-0.032272499999999996,-8.16045e-08,3.66213e-05,7.812559999999999e-09,0.0322695,8.190970000000001e-08,179.934,174.492
1645229519.1462917,395770.8410490609,-0.032272499999999996,-8.15434e-08,2.7465999999999998e-05,7.812559999999999e-09,0.0322695,8.18486e-08,179.946,174.492
1645229521.7194784,395734.05082446896,-0.0322695,-8.15434e-08,3.66213e-05,7.812559999999999e-09,0.0322664,8.18486e-08,179.934,174.516
1645229524.310716,395621.2274690533,-0.0322603,-8.15434e-08,4.5776600000000005e-05,7.812559999999999e-09,0.0322573,8.18486e-08,179.916,174.516
