time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644112976.8055372,26.2410411,24.586913350139206,1033.81116,-2126556.87
1644112978.0032635,26.2288131,24.585163174935172,1033.80591,-2126719.1
1644112979.2168772,26.229412,24.58581324050394,1033.80786,-2126191.78
1644112980.4464252,26.2366085,24.57307518285826,1033.76965,-2127346.79
1644112981.6434815,26.2266254,24.57173502350747,1033.76563,-2127545.65
1644112982.8434494,26.2334136,24.570188169834335,1033.76099,-2127166.74
1644112984.0405111,26.2258586,24.565547589017164,1033.74707,-2127384.15
1644112985.2394679,26.2312698,24.56619767217038,1033.74902,-2127999.92
1644112986.4341831,26.2164306,24.57246511062511,1033.76782,-2127156.69
1644112987.6368108,26.214714,24.56965810499331,1033.7594,-2127486.56
1644112988.8359945,26.2165622,24.590413687875838,1033.82166,-2127318.73
1644112990.0334754,26.225214,24.588866874045113,1033.81702,-2126370.68
1644112991.2334428,26.2370815,24.58862018360338,1033.81628,-2126677.1
1644112992.4474814,26.2381076,24.586219947896915,1033.80908,-2127308.09
1644112993.647398,26.2312145,24.58117609336487,1033.79395,-2127486.46
1644112994.8528688,26.2322311,24.579302557497996,1033.78833,-2127680.1
1644112996.0485084,26.2440052,24.57860914797832,1033.78625,-2126813.76
1644112997.2422626,26.2283782,24.57140831761862,1033.76465,-2126866.94
1644112998.4563878,26.235506,24.571448322429323,1033.76477,-2125931.34
1644112999.6554487,26.2172889,24.567987898149035,1033.75439,-2125479.48
1644113000.8565211,26.1705284,24.56912803976489,1033.75781,-2126187.96
1644113002.0574436,26.1143379,24.565507583881036,1033.74695,-2126051.55
1644113003.2533956,26.0448703,24.56050025691319,1033.73193,-2126971.36
1644113004.4484363,25.9438457,24.55598296490257,1033.71838,-2126439.31
1644113005.6553848,25.8145713,24.550125445463475,1033.70081,-2125821.83
1644113006.8520145,25.5890903,24.541537442977166,1033.67505,-2126113.22
1644113008.052579,25.2938861,24.524647852562392,1033.62439,-2125517.04
1644113009.2534487,24.9036655,24.50157322237632,1033.55518,-2125776.77
1644113010.4634483,24.4451942,24.46701824897173,1033.45154,-2126104.95
1644113011.6603117,23.934597,24.41931407594129,1033.30847,-2126315.7
1644113012.8563986,23.4081573,24.360618998687343,1033.13245,-2126807.09
1644113014.0844424,22.8673496,24.26849195711492,1032.8562,-2127277.48
1644113015.2826996,22.3362617,24.17920509598628,1032.5885,-2127089.88
1644113016.4794712,21.8086681,24.079482317364498,1032.28955,-2127424.44
1644113017.6794965,21.3019466,23.96532884191525,1031.94739,-2127342.92
1644113018.8784041,20.7790584,23.840034910098844,1031.5719,-2127791.4
1644113020.0744016,20.2633399,23.70930223388938,1031.18018,-2128626.06
1644113021.2722368,19.7654399,23.568273919767933,1030.75769,-2130368.09
1644113022.5007522,19.2544918,23.41817272074489,1030.30811,-2131124.52
1644113023.6996026,18.7509212,23.26012851651805,1029.83484,-2132394.18
1644113024.898859,18.2651329,23.091286617357525,1029.32935,-2133148.73
1644113026.0996175,17.7889766,22.925950461809936,1028.83447,-2137181.42
1644113027.2997406,17.3265914,22.747321705364325,1028.29993,-2139279.9
1644113028.4975145,16.8636074,22.562808639102634,1027.74792,-2142117.93
1644113029.699541,16.4125022,22.374128850926343,1027.18359,-2144514.22
1644113030.9004612,15.9665021,22.18147976317031,1026.60754,-2144399.14
1644113032.1013775,15.5317583,21.981060858160394,1026.00842,-2147337.02
1644113033.3011699,15.104516,21.78299590607315,1025.4165,-2151576.74
1644113034.4994328,14.6941938,21.57699317834163,1024.80103,-2154466.5
1644113035.6994486,14.2697134,21.371048868636876,1024.18591,-2157926.4
