time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644179988.0124767,25.866209,24.6877463130573,1034.11365,-2050713.14
1644179989.2075384,26.1138305,24.685956382680562,1034.10828,-2050262.4
1644179990.4846303,26.2383689,24.687296330976157,1034.1123,-2049418.07
1644179991.693458,26.2998237,24.686116376637038,1034.10876,-2050200.8
1644179992.8908896,26.3244094,24.684613098695678,1034.10425,-2048043.24
1644179994.0863483,26.3401393,24.68827295839792,1034.11523,-2049006.01
1644179995.301703,26.3306293,24.68448976976828,1034.10388,-2049120.75
1644179996.5054445,26.3348255,24.687909639817722,1034.11414,-2049786.77
1644179997.7204683,26.3368129,24.686849681819407,1034.11096,-2049588.72
1644179998.9233975,26.3434734,24.68607637815131,1034.10864,-2048062.49
1644180000.1156435,26.3467731,24.69165281243069,1034.12537,-2050607.81
1644180001.3262377,26.3494625,24.692139456783178,1034.12683,-2048542.55
1644180002.532753,26.3516979,24.690999508539768,1034.12341,-2049443.24
1644180003.7335784,26.3444919,24.687013008781772,1034.11145,-2049768.6
1644180004.9429765,26.3430633,24.69148948651319,1034.12488,-2050167.06
1644180006.1618657,26.3450069,24.686809683374044,1034.11084,-2051981.35
1644180007.3510785,26.3412418,24.69116283456784,1034.1239,-2051015.44
1644180008.5554664,26.3470687,24.693849375788748,1034.13196,-2052449.75
1644180009.7582119,26.3374805,24.692789426470778,1034.12878,-2049864.53
1644180010.9754608,26.3420677,24.693279403234722,1034.13025,-2054457.12
1644180012.1802933,26.3464794,24.692016129135684,1034.12646,-2053351.87
1644180013.3850992,26.359869,24.69002288478952,1034.12048,-2052499.76
1644180014.580867,26.3597831,24.69486599239,1034.13501,-2051766.62
1644180015.7934148,26.3717002,24.695515959634115,1034.13696,-2051086.59
1644180016.9898124,26.3729019,24.695719282601285,1034.13757,-2051932.01
1644180018.1995156,26.3636665,24.694662669183664,1034.1344,-2051584.64
1644180019.387395,26.3631687,24.69433601866742,1034.13342,-2052154.35
1644180020.5870073,26.3688507,24.697592517747058,1034.14319,-2053006.58
1644180021.7923822,26.3743972,24.69527263863154,1034.13623,-2052020.82
1644180022.9980724,26.368534,24.694945988389943,1034.13525,-2051634.86
1644180024.202876,26.3718509,24.69616925945669,1034.13892,-2049408.47
1644180025.4094102,26.3756465,24.693929371900893,1034.1322,-2050918.17
1644180026.6196048,26.3801002,24.69584260961897,1034.13794,-2050119.97
1644180027.8174398,26.3756999,24.69527263863154,1034.13623,-2049523.19
1644180029.0122538,26.3716583,24.696655900778858,1034.14038,-2048998.6
1644180030.2222574,26.3754558,24.69881245120167,1034.14685,-2048712.13
1644180031.4354208,26.3808269,24.70170228537792,1034.15552,-2051584.01
