time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644107662.3343296,26.8279018,24.980482153099675,1034.99207,-2135564.98
1644107663.5448923,26.8134899,24.978283125613494,1034.98547,-2137459.46
1644107664.7573676,26.8101024,24.976007458334198,1034.97864,-2135823.49
1644107665.9676871,26.8259506,24.978203160852008,1034.98523,-2137650.45
1644107667.1788597,26.8065338,24.976820435458393,1034.98108,-2136146.05
1644107668.3921137,26.8042736,24.9778366555827,1034.98413,-2135157.94
1644107669.5822356,26.8030509,24.977756690772058,1034.98389,-2137292.12
1644107670.79152,26.8149051,24.978732927232464,1034.98682,-2135884.08
1644107671.9999042,26.8199806,24.978649630657422,1034.98657,-2138277.09
1644107673.2166448,26.8181991,24.975680934478678,1034.97766,-2140868.34
1644107674.4137266,26.8029861,24.9763306501689,1034.97961,-2139908.26
1644107675.6210678,26.8130226,24.96990676896357,1034.96033,-2139453.71
1644107676.8275402,26.8043174,24.977999917043693,1034.98462,-2138472.06
1644107678.0187602,26.8083496,24.97694371469685,1034.98145,-2137723.98
1644107679.2254848,26.8017635,24.9792193790398,1034.98828,-2134716.85
1644107680.4204898,26.808649,24.976860417916395,1034.9812,-2133795.96
1644107681.6265814,26.8074512,24.981335107421625,1034.99463,-2133025.64
1644107682.8344796,26.8076324,24.971656016109208,1034.96558,-2133293.96
1644107684.0304003,26.8093338,24.98125181114532,1034.99438,-2134335.21
1644107685.2239332,26.7958564,24.975924161446205,1034.97839,-2134497.6
1644107686.4210145,26.8084812,24.977959934648517,1034.9845,-2135527.88
1644107687.6184442,26.7924785,24.98027890992974,1034.99146,-2129921.39
1644107688.8144343,26.8052902,25.061574966807413,1035.23547,-2135394.76
1644107690.046481,26.8083667,25.09256375479302,1035.32849,-2144759.26
1644107691.2454414,26.8067092,25.094272730291927,1035.33362,-2145056.13
1644107692.4593706,26.8155441,25.088742697549115,1035.31702,-2145157.46
1644107693.6584697,26.8114433,25.11916068737542,1035.40833,-2150240.88
1644107694.8848739,26.8083972,25.138434859274053,1035.46619,-2135573.25
1644107696.0857904,26.806528,25.15229888830824,1035.50781,-2135368.59
1644107697.2839947,26.8102493,25.150999771412945,1035.50391,-2135370.93
1644107698.4984386,26.8005695,25.145753314138872,1035.48816,-2135528.27
