time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644178892.4245615,24.8577365,-539.2297030049799,-0.0001345,2060658.18
1644178893.6179492,24.8621921,-539.2297060012949,-0.0001365,2062250.97
1644178894.862548,24.875698,-539.2297048027689,-0.0001357,2061413.02
1644178896.0564346,24.8727455,-539.2297016566382,-0.0001336,2061327.27
1644178897.25546,24.8813266,-539.22970405369,-0.0001352,2060621.9
1644178898.449279,24.8875846,-539.229706450742,-0.0001368,2059962.0
1644178899.643411,24.8824024,-539.229704652953,-0.0001356,2062968.4
1644178900.835362,24.8955783,-539.229701057375,-0.0001332,2060658.43
1644178902.026466,24.8925266,-539.229702405717,-0.0001341,2061763.22
1644178903.219885,24.904663,-539.2297025555325,-0.0001342,2061506.91
1644178904.4084196,24.9071655,-539.229702405717,-0.0001341,2059648.01
1644178905.6103635,24.9123859,-539.2297045031373,-0.0001355,2062375.84
1644178906.8074794,24.918806,-539.229701057375,-0.0001332,2063902.68
1644178908.0044093,24.9255046,-539.2297045031373,-0.0001355,2063684.2
1644178909.1974256,24.9252529,-539.2297061511105,-0.0001366,2062779.51
1644178910.394283,24.9162578,-539.229700607928,-0.0001329,2059593.08
1644178911.5850961,24.9331855,-539.2297025555325,-0.0001342,2061238.8
1644178912.781809,24.9425945,-539.2297086979783,-0.0001383,2061185.82
1644178914.0074756,24.9513587,-539.2296991097705,-0.0001319,2060223.38
1644178915.2077425,24.9596462,-539.2297025555325,-0.0001342,2062937.8
1644178916.4002383,24.9563045,-539.2297021060853,-0.0001339,2061012.34
1644178917.592284,24.9688606,-539.229704652953,-0.0001356,2062318.56
1644178918.7855158,24.9787616,-539.2297016566382,-0.0001336,2062479.82
1644178919.9821143,24.9763202,-539.2297048027689,-0.0001357,2060951.52
1644178921.190423,24.975605,-539.2297015068225,-0.0001335,2062407.71
1644178922.4204376,25.0080604,-539.2297033046112,-0.0001347,2060119.95
1644178923.6177142,25.0092926,-539.229702405717,-0.0001341,2063186.17
1644178924.8098094,25.0102252,-539.2297004581122,-0.0001328,2064395.71
1644178926.0077178,25.0046939,-539.2297022559011,-0.000134,2063574.21
1644178927.2033727,25.0229759,-539.2297061511105,-0.0001366,2064391.43
1644178928.3944535,25.0425777,-539.2297037540587,-0.000135,2063778.32
1644178929.602246,25.0431747,-539.2296992595863,-0.000132,2063105.85
1644178930.8059719,25.0462703,-539.2297060012949,-0.0001365,2065310.5
1644178932.0022426,25.0518054,-539.2297069001893,-0.0001371,2066126.76
1644178933.2006955,25.0509033,-539.2297066005578,-0.0001369,2066597.15
1644178934.3971977,25.0514602,-539.2297015068225,-0.0001335,2067325.94
1644178935.5894601,25.0634765,-539.2297000086648,-0.0001325,2065650.66
1644178936.7879498,25.0654201,-539.2297025555325,-0.0001342,2062959.76
1644178937.987927,25.0750637,-539.2297025555325,-0.0001342,2064853.32
