t,i,x,y,r,theta,xK,tc,therm,dc,i
1681453718.1268315, 3.2, 3.780263e-05, -1.579138e-05, 4.089937e-05, 330.1432, 0, 0, 0, 0.0, 3.2
1681453723.8247051, -3.2, 5.827506e-05, -2.383052e-05, 6.399721e-05, 343.9866, 0, 0, 0, 0.0, 3.2
1681453729.5225787, 3.2, 3.268452e-05, -1.981095e-05, 3.605575e-05, 326.5068, 0, 0, 0, 0.0, 3.2
1681453735.228462, -3.2, 5.24258e-05, -2.090719e-05, 6.007469e-05, 336.4697, 0, 0, 0, 0.0, 3.2
1681453740.9303107, 3.2, 2.756641e-05, -1.761845e-05, 3.323895e-05, 335.493, 0, 0, 0, 0.0, 3.2
1681453746.631315, -3.2, 5.169464e-05, -2.273427e-05, 5.590799e-05, 336.5287, 0, 0, 0, 0.0, 3.2
1681453757.0021162, 3.2, -0.000309132, 3.317431e-05, 0.0003212446, 172.7404, 0, 0, 0, 40.0, 3.2
1681453762.7151272, -3.2, -0.0002795201, 3.53668e-05, 0.0002876967, 174.1229, 0, 0, 0, 40.0, 3.2
1681453768.423417, 3.2, -0.0003259486, 3.792471e-05, 0.0003231948, 173.7104, 0, 0, 0, 40.0, 3.2
1681453774.119149, -3.2, -0.0002897563, 2.769308e-05, 0.0002939143, 173.4888, 0, 0, 0, 40.0, 3.2
1681453779.8273692, 3.2, -0.0003270454, 3.865554e-05, 0.0003237463, 174.1783, 0, 0, 0, 40.0, 3.2
1681453785.5467167, -3.2, -0.0002890251, 2.84239e-05, 0.0002919711, 174.1113, 0, 0, 0, 40.0, 3.2
1681453795.9031384, 3.2, -0.0003051106, 3.865554e-05, 0.0003115534, 172.5025, 0, 0, 0, 80.0, 3.2
1681453801.6083505, -3.2, -0.0002846382, 2.805849e-05, 0.0002852862, 173.5188, 0, 0, 0, 80.0, 3.2
1681453807.3288782, 3.2, -0.0003084008, 3.792471e-05, 0.0003201903, 172.7319, 0, 0, 0, 80.0, 3.2
1681453813.0457714, -3.2, -0.0002740364, 3.317431e-05, 0.0002770344, 173.2442, 0, 0, 0, 80.0, 3.2
1681453818.7654166, 3.2, -0.0002890251, 3.646305e-05, 0.0002874636, 173.8117, 0, 0, 0, 80.0, 3.2
1681453824.4790003, -3.2, -0.0002711118, 3.427055e-05, 0.0002592714, 173.9269, 0, 0, 0, 80.0, 3.2
1681453834.8010447, 3.2, -0.0002857349, 3.280889e-05, 0.0002854674, 173.7472, 0, 0, 0, 120.0, 3.2
1681453840.510867, -3.2, -0.0002575853, 3.427055e-05, 0.0002575383, 173.6761, 0, 0, 0, 120.0, 3.2
1681453846.2178917, 3.2, -0.0002791545, 3.53668e-05, 0.0002910459, 172.3481, 0, 0, 0, 120.0, 3.2
1681453851.910302, -3.2, -0.0002597788, 3.171265e-05, 0.0002568598, 173.164, 0, 0, 0, 120.0, 3.2
1681453857.6110475, 3.2, -0.0002645314, 3.06164e-05, 0.0002779494, 172.8167, 0, 0, 0, 120.0, 3.2
1681453863.337899, -3.2, -0.0002531984, 2.805849e-05, 0.0002554057, 173.9991, 0, 0, 0, 120.0, 3.2
1681453873.6999311, 3.2, -0.000270015, 3.609763e-05, 0.0002624331, 172.3903, 0, 0, 0, 160.0, 3.2
1681453879.404427, -3.2, -0.0002400375, 2.732766e-05, 0.000241545, 171.9843, 0, 0, 0, 160.0, 3.2
1681453885.1047943, 3.2, -0.0002641657, 3.171265e-05, 0.0002728763, 171.6863, 0, 0, 0, 160.0, 3.2
1681453890.8078873, -3.2, -0.0002488114, 2.988557e-05, 0.0002523474, 172.3621, 0, 0, 0, 160.0, 3.2
1681453896.5183682, 3.2, -0.0002634346, 3.244348e-05, 0.000277319, 172.8627, 0, 0, 0, 160.0, 3.2
1681453902.2028692, -3.2, -0.000235285, 3.427055e-05, 0.0002375512, 172.8063, 0, 0, 0, 160.0, 3.2
1681453912.5550745, 3.2, -0.0002594132, 3.353972e-05, 0.0002561205, 171.8404, 0, 0, 0, 200.0, 3.2
1681453918.2907596, -3.2, -0.0002206618, 2.732766e-05, 0.0002351811, 172.9267, 0, 0, 0, 200.0, 3.2
1681453924.0064309, 3.2, -0.0002612411, 3.500139e-05, 0.0002626391, 171.6269, 0, 0, 0, 200.0, 3.2
1681453929.7034388, -3.2, -0.0002265111, 2.805849e-05, 0.0002335909, 171.3322, 0, 0, 0, 200.0, 3.2
1681453935.4139636, 3.2, -0.0002546607, 3.098181e-05, 0.000250099, 171.4157, 0, 0, 0, 200.0, 3.2
1681453941.148424, -3.2, -0.0002323604, 2.878932e-05, 0.0002354531, 171.2576, 0, 0, 0, 200.0, 3.2
1681453951.4854264, 3.2, -0.0002572198, 3.682846e-05, 0.0002541343, 170.8894, 0, 0, 0, 200.0, 3.2
1681453957.2068293, -3.2, -0.0002312636, 2.915474e-05, 0.0002346751, 171.3965, 0, 0, 0, 200.0, 3.2
1681453962.910539, 3.2, -0.0002531984, 3.865554e-05, 0.00025305, 171.1832, 0, 0, 0, 200.0, 3.2
1681453968.6315498, -3.2, -0.0002268767, 3.573222e-05, 0.0002349818, 172.7334, 0, 0, 0, 200.0, 3.2
1681453974.3344119, 3.2, -0.0002513705, 3.755929e-05, 0.0002578583, 170.7453, 0, 0, 0, 200.0, 3.2
1681453980.0492952, -3.2, -0.0002235865, 3.317431e-05, 0.0002296093, 172.7315, 0, 0, 0, 200.0, 3.2
1681453990.403952, 3.2, -0.0002495426, 3.719388e-05, 0.0002506993, 172.179, 0, 0, 0, 160.0, 3.2
1681453996.1132736, -3.2, -0.000230898, 3.829013e-05, 0.0002317092, 171.9946, 0, 0, 0, 160.0, 3.2
1681454001.8024707, 3.2, -0.0002330915, 3.427055e-05, 0.0002415707, 170.6406, 0, 0, 0, 160.0, 3.2
1681454007.5178611, -3.2, -0.000221393, 3.025099e-05, 0.000229604, 170.2638, 0, 0, 0, 160.0, 3.2
1681454013.2123039, 3.2, -0.0002330915, 3.573222e-05, 0.0002381295, 170.5973, 0, 0, 0, 160.0, 3.2
1681454018.9393034, -3.2, -0.0002202963, 3.865554e-05, 0.0002315658, 170.48, 0, 0, 0, 160.0, 3.2
1681454029.2995584, 3.2, -0.0002550263, 4.413677e-05, 0.000251426, 169.8888, 0, 0, 0, 120.0, 3.2
1681454035.0082664, -3.2, -0.0002228553, 3.353972e-05, 0.0002343691, 170.7752, 0, 0, 0, 120.0, 3.2
1681454040.7210336, 3.2, -0.0002510049, 3.609763e-05, 0.000254161, 171.3688, 0, 0, 0, 120.0, 3.2
1681454046.4402947, -3.2, -0.0002279734, 3.463597e-05, 0.0002344816, 170.6134, 0, 0, 0, 120.0, 3.2
1681454052.1574223, 3.2, -0.0002444245, 4.377136e-05, 0.0002549194, 170.2723, 0, 0, 0, 120.0, 3.2
1681454057.8598795, -3.2, -0.000230898, 3.463597e-05, 0.0002287914, 169.4197, 0, 0, 0, 120.0, 3.2
