t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681586650.898201, 3.2, 4.355528e-05, -1.542596e-06, 4.379689e-05, 358.0948, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
1681586657.4272046, -3.2, 4.962389e-05, -1.506055e-06, 4.953939e-05, 358.3038, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
1681586663.9452007, 3.2, 4.432299e-05, -1.432971e-06, 4.438511e-05, 358.0885, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
1681586670.4675548, -3.2, 4.977012e-05, -1.506055e-06, 4.990144e-05, 358.3556, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0166017, 0.419619, 0.966
1681586676.9776797, 3.2, 4.490792e-05, -1.506055e-06, 4.492962e-05, 358.1258, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0166017, 0.419558, 0.966
1681586683.467736, -3.2, 5.093998e-05, -1.579138e-06, 5.081716e-05, 358.377, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0166017, 0.419619, 0.966
1681586689.9617093, 3.2, 4.454234e-05, -1.469513e-06, 4.471154e-05, 357.9528, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0166017, 0.419619, 0.966
1681586696.4926596, -3.2, 4.998947e-05, -1.542596e-06, 5.008415e-05, 358.4519, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0166017, 0.419619, 0.966
1681586702.9681256, 3.2, 4.541973e-05, -1.506055e-06, 4.507931e-05, 358.0359, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0166017, 0.419619, 0.966
1681586709.501626, -3.2, 4.958733e-05, -1.542596e-06, 5.012177e-05, 358.3664, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
1681586715.9926515, 3.2, 4.468857e-05, -1.579138e-06, 4.504528e-05, 358.0839, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.966
