t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681585942.340786, -3.2, 4.55294e-05, -1.981095e-06, 4.525041e-05, 357.3708, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585948.0254705, 3.2, 4.026507e-05, -2.054178e-06, 3.976791e-05, 357.1392, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585953.7317824, -3.2, 4.560252e-05, -2.090719e-06, 4.604888e-05, 357.3651, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585959.4414272, 3.2, 3.982637e-05, -2.017636e-06, 3.972775e-05, 357.0567, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585965.1408813, -3.2, 4.545629e-05, -1.944553e-06, 4.57567e-05, 357.312, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0164796, 0.419619, 0.96
1681585970.8357704, 3.2, 3.993604e-05, -1.944553e-06, 4.009837e-05, 356.9811, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585976.5375504, -3.2, 4.512727e-05, -2.054178e-06, 4.520725e-05, 357.4944, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585982.2182748, 3.2, 4.004571e-05, -2.017636e-06, 4.031558e-05, 357.0953, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585987.9088495, -3.2, 4.611433e-05, -2.017636e-06, 4.575511e-05, 357.4788, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585993.609677, 3.2, 4.103278e-05, -1.944553e-06, 4.049998e-05, 357.1417, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681585999.2728422, -3.2, 4.578531e-05, -1.944553e-06, 4.564713e-05, 357.5465, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
1681586005.003336, 3.2, 3.989948e-05, -2.090719e-06, 3.998698e-05, 357.1209, 0, 0, 0, 0.0, 3.2, 0.985905, 0.0165406, 0.41968, 0.96
1681586010.720723, -3.2, 4.432299e-05, -2.054178e-06, 4.52803e-05, 357.3495, 0, 0, 0, 0.0, 3.2, 0.985844, 0.0165406, 0.419619, 0.96
