t,i,x,y,r,theta,xK,tc,therm,dc,i
1681452791.1774092, 3.2, 6.44899e-05, -2.419593e-05, 6.781426e-05, 344.2866, 0, 0, 0, 0.0, 3.2
1681452796.905953, -3.2, 0.0001050692, -3.662006e-05, 0.000108377, 345.2036, 0, 0, 0, 0.0, 3.2
1681452802.5964532, 3.2, 6.887686e-05, -3.296591e-05, 6.584676e-05, 340.415, 0, 0, 0, 0.0, 3.2
1681452808.286907, -3.2, 0.0001127464, -3.004258e-05, 0.0001136661, 344.2968, 0, 0, 0, 0.0, 3.2
1681452814.0078382, 3.2, 6.375875e-05, -2.456135e-05, 7.581122e-05, 338.6119, 0, 0, 0, 0.0, 3.2
1681452819.7244277, -3.2, 8.934929e-05, -3.662006e-05, 9.751473e-05, 342.6229, 0, 0, 0, 0.0, 3.2
1681452843.0799959, 3.2, -0.0007427089, 0.0001110078, 0.0007501682, 171.6924, 0, 0, 0, 40.0, 3.2
1681452848.7957103, -3.2, 0.0007181455, -0.0001312627, 0.0007035836, 349.9832, 0, 0, 0, 40.0, 3.2
1681452854.5028381, 3.2, -0.000620971, 8.579415e-05, 0.0006280876, 89.88501, 0, 0, 0, 40.0, 3.2
1681452860.208755, -3.2, 0.0007141241, -0.0002383295, 0.0007674646, 338.4691, 0, 0, 0, 40.0, 3.2
1681452865.9351497, 3.2, 0.002341186, -0.000282155, 0.002358567, 353.128, 0, 0, 0, 40.0, 3.2
