t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681540446.1673152, 3.2, -4.225921e-06, -5.927583e-06, 7.145017e-06, 235.5512, 0, 0, 0, 0.0, 3.2, 0.983707, 0.0166627, 0.417482, 0.972
1681540451.8575604, -3.2, -3.970016e-06, -6.000666e-06, 7.215305e-06, 236.1897, 0, 0, 0, 0.0, 3.2, 0.983768, 0.0167238, 0.417543, 0.978
1681540457.5420809, 3.2, -3.787226e-06, -5.964124e-06, 7.032851e-06, 236.504, 0, 0, 0, 0.0, 3.2, 0.983768, 0.0167238, 0.417543, 0.978
1681540463.234247, -3.2, -4.152805e-06, -6.073749e-06, 7.175176e-06, 233.7558, 0, 0, 0, 0.0, 3.2, 0.983768, 0.0167238, 0.417543, 0.978
1681540468.9383638, 3.2, -4.189363e-06, -6.000666e-06, 7.279742e-06, 233.188, 0, 0, 0, 0.0, 3.2, 0.983829, 0.0167238, 0.417543, 0.978
1681540474.6186273, -3.2, -4.518384e-06, -6.000666e-06, 7.622928e-06, 232.7458, 0, 0, 0, 0.0, 3.2, 0.983829, 0.0167238, 0.417543, 0.978
1681540480.3112605, 3.2, -4.079689e-06, -5.891041e-06, 7.271389e-06, 234.3464, 0, 0, 0, 0.0, 3.2, 0.983829, 0.0167238, 0.417604, 0.978
1681540485.9796462, -3.2, -4.554942e-06, -6.11029e-06, 7.373478e-06, 233.4183, 0, 0, 0, 0.0, 3.2, 0.983829, 0.0167238, 0.417604, 0.978
1681540491.6539757, 3.2, -4.993637e-06, -5.8545e-06, 7.204616e-06, 234.5818, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417604, 0.978
1681540497.3338864, -3.2, -4.408711e-06, -5.8545e-06, 7.258581e-06, 234.0069, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417604, 0.978
1681540503.019759, 3.2, -4.408711e-06, -5.891041e-06, 7.713969e-06, 232.683, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417604, 0.978
1681540508.7269218, -3.2, -3.933458e-06, -6.000666e-06, 7.093805e-06, 237.0723, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417665, 0.978
1681540514.3843899, 3.2, -4.701174e-06, -5.964124e-06, 7.687281e-06, 232.116, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417665, 0.978
1681540520.0657544, -3.2, -4.993637e-06, -6.183374e-06, 7.96112e-06, 229.3611, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0166627, 0.417665, 0.972
1681540525.728746, 3.2, -5.761353e-06, -6.146832e-06, 8.306461e-06, 227.5723, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0166627, 0.417665, 0.972
1681540531.417706, -3.2, -5.615122e-06, -6.256457e-06, 8.503124e-06, 225.6029, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417665, 0.978
1681540537.1034012, 3.2, -6.053817e-06, -6.32954e-06, 8.911547e-06, 225.7661, 0, 0, 0, 0.0, 3.2, 0.983891, 0.0167238, 0.417665, 0.978
1681540542.7776558, -3.2, -5.578564e-06, -6.256457e-06, 8.48555e-06, 227.8375, 0, 0, 0, 0.0, 3.2, 0.983952, 0.0167238, 0.417665, 0.972
1681540548.46401, 3.2, -5.249542e-06, -6.439164e-06, 8.347576e-06, 230.687, 0, 0, 0, 0.0, 3.2, 0.983952, 0.0167238, 0.417665, 0.972
1681540554.1530845, -3.2, -6.090374e-06, -6.366081e-06, 8.887193e-06, 226.2531, 0, 0, 0, 0.0, 3.2, 0.983952, 0.0167238, 0.417665, 0.972
1681540559.8213341, 3.2, -6.967764e-06, -6.439164e-06, 9.274033e-06, 224.2838, 0, 0, 0, 0.0, 3.2, 0.983952, 0.0167238, 0.417727, 0.972
1681540565.485934, -3.2, -7.040881e-06, -6.548789e-06, 9.429874e-06, 223.8377, 0, 0, 0, 0.0, 3.2, 0.983952, 0.0167238, 0.417727, 0.972
1681540571.1574907, 3.2, -6.784975e-06, -6.621872e-06, 9.562237e-06, 223.6925, 0, 0, 0, 0.0, 3.2, 0.984013, 0.0166627, 0.417727, 0.972
1681540576.8544374, -3.2, -7.040881e-06, -6.621872e-06, 9.689322e-06, 223.7063, 0, 0, 0, 0.0, 3.2, 0.984013, 0.0167238, 0.417727, 0.972
