t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681587150.5236342, 3.2, -2.434583e-06, -1.688762e-06, 2.924586e-06, 214.3793, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0165406, 0.419619, 0.96
1681587157.0177128, -3.2, 3.81682e-06, -1.615679e-06, 3.877049e-06, 335.0428, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587163.4966922, 3.2, -1.410961e-06, -1.725304e-06, 2.426093e-06, 222.4992, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587169.9553823, -3.2, 3.889937e-06, -1.688762e-06, 4.403948e-06, 334.5368, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587176.4479146, 3.2, -2.288351e-06, -1.725304e-06, 2.807836e-06, 219.6357, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587182.9496672, -3.2, 4.072726e-06, -1.725304e-06, 4.423095e-06, 336.2263, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587189.4415674, 3.2, -2.069004e-06, -1.688762e-06, 2.844024e-06, 214.3202, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0165406, 0.419619, 0.966
1681587195.9250007, -3.2, 3.597473e-06, -1.615679e-06, 4.073679e-06, 335.7202, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587202.4383283, 3.2, -2.361467e-06, -1.579138e-06, 3.005211e-06, 213.2185, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587208.9269857, -3.2, 3.341567e-06, -1.615679e-06, 4.043929e-06, 333.6849, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587215.4223325, 3.2, -2.471141e-06, -1.761845e-06, 2.665991e-06, 216.7259, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587221.911153, -3.2, 3.853379e-06, -1.761845e-06, 4.303656e-06, 334.3595, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587228.4206715, 3.2, -2.069004e-06, -1.688762e-06, 2.912105e-06, 214.3202, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587234.9189887, -3.2, 2.902873e-06, -1.615679e-06, 3.34551e-06, 323.3271, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
1681587241.4254758, 3.2, -4.262479e-06, -1.798387e-06, 4.391677e-06, 204.7384, 0, 0, 0, +3.734585E-05, +3.663399E-10, 0.985844, 0.0166017, 0.419619, 0.966
