t,i,x,y,r,theta,xK,tc,therm,dc,i
1681452948.9015093, 3.2, 0.0003869307, -6.256457e-05, 0.0003957271, 350.3501, 0, 0, 0, 0.0, 3.2
1681452954.6085837, -3.2, 0.0004088655, -6.256457e-05, 0.000419665, 351.4507, 0, 0, 0, 0.0, 3.2
1681452960.310314, 3.2, 0.0003865651, -5.8545e-05, 0.0003870235, 350.3468, 0, 0, 0, 0.0, 3.2
1681452966.014571, -3.2, 0.0004092311, -6.292998e-05, 0.0004177947, 351.4427, 0, 0, 0, 0.0, 3.2
1681452971.7278805, 3.2, 0.000378888, -6.512248e-05, 0.0003877759, 350.8773, 0, 0, 0, 0.0, 3.2
1681452977.444479, -3.2, 0.0004052097, -6.512248e-05, 0.0004094413, 350.9407, 0, 0, 0, 0.0, 3.2
1681452987.8032238, 3.2, -4.883964e-05, 8.691467e-06, 4.999789e-05, 172.9556, 0, 0, 0, 40.0, 3.2
1681452993.5003135, -3.2, -2.909836e-05, 3.210233e-06, 2.325333e-05, 160.5159, 0, 0, 0, 40.0, 3.2
1681452999.2047691, 3.2, -3.677552e-05, 2.479402e-06, 4.497957e-05, 166.2958, 0, 0, 0, 40.0, 3.2
1681453004.9478436, -3.2, -1.95933e-05, -1.905585e-06, 1.439355e-05, 185.1664, 0, 0, 0, 40.0, 3.2
1681453010.6454184, 3.2, -5.103311e-05, 3.941064e-06, 6.293356e-05, 168.4594, 0, 0, 0, 40.0, 3.2
1681453016.3457708, -3.2, -2.617373e-05, 2.479402e-06, 4.582711e-05, 168.3911, 0, 0, 0, 40.0, 3.2
1681453026.7020342, 3.2, -8.795661e-05, 1.636519e-05, 7.920605e-05, 173.3953, 0, 0, 0, 80.0, 3.2
1681453032.4126313, -3.2, -4.043131e-05, 2.113987e-06, 4.228417e-05, 176.6413, 0, 0, 0, 80.0, 3.2
1681453038.0988426, 3.2, -0.0001230522, 1.965393e-05, 0.0001208867, 172.4466, 0, 0, 0, 80.0, 3.2
1681453043.8027327, -3.2, -7.296786e-05, 6.864389e-06, 7.252846e-05, 172.7548, 0, 0, 0, 80.0, 3.2
1681453049.500541, 3.2, -9.234356e-05, 1.307645e-05, 9.452219e-05, 173.736, 0, 0, 0, 80.0, 3.2
1681453055.200325, -3.2, -3.165742e-05, 2.869087e-07, 2.01606e-05, 161.9434, 0, 0, 0, 80.0, 3.2
1681453065.5232081, 3.2, -2.105562e-05, 4.30648e-06, 8.991849e-06, 151.5595, 0, 0, 0, 120.0, 3.2
1681453071.2434409, -3.2, 1.586788e-05, 1.01774e-06, 8.018119e-06, 322.064, 0, 0, 0, 120.0, 3.2
1681453076.9464114, 3.2, -1.26473e-05, 6.523243e-07, 2.625896e-05, 160.6624, 0, 0, 0, 120.0, 3.2
1681453082.6554105, -3.2, -2.176063e-07, -4.439225e-07, 3.950621e-06, 138.795, 0, 0, 0, 120.0, 3.2
1681453088.364707, 3.2, -4.189363e-05, 8.326051e-06, 3.430618e-05, 157.7232, 0, 0, 0, 120.0, 3.2
1681453094.0797079, -3.2, -2.946394e-05, 2.869087e-07, 3.831763e-05, 161.2281, 0, 0, 0, 120.0, 3.2
1681453104.40448, 3.2, -2.178678e-05, 2.479402e-06, 1.176741e-05, 156.1421, 0, 0, 0, 160.0, 3.2
1681453110.1046774, -3.2, 2.098598e-05, 1.01774e-06, 2.830914e-05, 354.7345, 0, 0, 0, 160.0, 3.2
1681453115.8274314, 3.2, -3.14224e-06, 5.402727e-06, 6.989087e-06, 156.9581, 0, 0, 0, 160.0, 3.2
1681453121.5544856, -3.2, 3.12222e-05, -1.174753e-06, 3.963589e-05, 357.5732, 0, 0, 0, 160.0, 3.2
1681453127.2529304, 3.2, 1.477114e-05, -7.850687e-08, 1.347567e-05, 354.8854, 0, 0, 0, 160.0, 3.2
1681453132.9644487, -3.2, 4.255516e-05, -7.386818e-06, 4.184686e-05, 348.9215, 0, 0, 0, 160.0, 3.2
1681453143.306421, 3.2, 1.623346e-05, 4.671896e-06, 8.616609e-06, 310.199, 0, 0, 0, 200.0, 3.2
1681453148.9911282, -3.2, 3.195336e-05, -7.850687e-08, 3.852003e-05, 359.8952, 0, 0, 0, 200.0, 3.2
1681453154.6913245, 3.2, 3.816821e-05, 1.748571e-06, 1.770134e-05, 352.4404, 0, 0, 0, 200.0, 3.2
1681453160.3905318, -3.2, 4.292074e-05, -2.271e-06, 5.685812e-05, 349.6795, 0, 0, 0, 200.0, 3.2
1681453166.1131246, 3.2, 2.756641e-05, 1.748571e-06, 3.635456e-05, 352.3918, 0, 0, 0, 200.0, 3.2
1681453171.8264155, -3.2, 6.119969e-05, -9.579311e-06, 5.897708e-05, 355.9833, 0, 0, 0, 200.0, 3.2
