t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1682462500.2508433, 3.2, -2.628688e-06, -1.618676e-06, 3.525646e-06, 211.6237, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.67303e-05, -0.0079928, -179.196
1682462506.6976037, -3.2, 1.758262e-06, -1.618676e-06, 2.969399e-06, 317.367, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333406, -4.76839e-05, -0.00799376, -179.184
1682462513.1523426, 3.2, -2.628688e-06, -2.349507e-06, 2.774575e-06, 205.7234, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333501, -4.76839e-05, -0.0079928, -179.184
1682462519.5911257, -3.2, 2.489421e-06, -1.618676e-06, 3.423069e-06, 344.5876, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.76839e-05, -0.00799185, -179.184
1682462526.0598247, 3.2, -1.897529e-06, -8.878449e-07, 3.020066e-06, 205.0747, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333501, -4.76839e-05, -0.0079928, -179.184
1682462532.514564, -3.2, 3.220579e-06, -1.618676e-06, 3.604475e-06, 344.5876, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.76839e-05, -0.00799185, -179.184
1682462538.954342, 3.2, -3.359846e-06, -2.349507e-06, 3.087088e-06, 220.4657, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.76839e-05, -0.0079909, -179.184
1682462545.4130814, -3.2, 3.220579e-06, -1.618676e-06, 4.270403e-06, 323.8882, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333692, -4.76839e-05, -0.0079909, -179.184
1682462551.8538492, 3.2, -1.897529e-06, -8.878449e-07, 3.087088e-06, 221.7902, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.76839e-05, -0.0079909, -179.184
1682462558.3275366, -3.2, 3.220579e-06, -8.878449e-07, 3.604475e-06, 326.9672, 0, 0, 0, +4.865076E-05, +5.310828E-12, -0.00333597, -4.76839e-05, -0.0079909, -179.184
1682462580.9261026, 3.2, -2.628688e-06, -1.618676e-06, 3.475174e-06, 205.7234, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340368, -4.86376e-05, -0.00792414, -179.19
1682462587.4197237, -3.2, 3.951737e-06, -1.618676e-06, 4.270403e-06, 347.3375, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340463, -4.86376e-05, -0.00792223, -179.19
1682462593.8806155, 3.2, -1.897529e-06, -1.618676e-06, 3.087088e-06, 217.2785, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340463, -4.86376e-05, -0.00792319, -179.19
1682462600.387357, -3.2, 4.682895e-06, -1.618676e-06, 4.766317e-06, 343.3546, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340559, -4.86376e-05, -0.00792223, -179.19
1682462606.8613005, 3.2, -1.897529e-06, -8.878449e-07, 2.494139e-06, 234.2246, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340463, -4.86376e-05, -0.00792223, -179.19
1682462613.3766427, -3.2, 6.87637e-06, -1.618676e-06, 6.933451e-06, 346.7539, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340559, -4.86376e-05, -0.00792223, -179.19
1682462619.8505378, 3.2, -4.352126e-07, -1.618676e-06, 1.645508e-06, 319.1594, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340559, -4.86376e-05, -0.00792223, -179.19
1682462626.3490236, -3.2, 8.338688e-06, -1.618676e-06, 8.49434e-06, 347.9881, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340654, -4.86376e-05, -0.00792128, -179.19
1682462632.8294525, 3.2, 2.959457e-07, -8.878449e-07, 1.917043e-06, 277.1792, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340559, -4.86376e-05, -0.00792223, -179.19
1682462639.3215234, -3.2, 8.338688e-06, -8.878449e-07, 9.36922e-06, 350.622, 0, 0, 0, +2.667340E+00, +3.265046E-10, -0.00340559, -4.86376e-05, -0.00792223, -179.19
1682462661.9722738, 3.2, -4.091004e-06, -1.570137e-07, 4.186238e-06, 192.2447, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.00347711, -4.95913e-05, -0.00785071, -179.196
1682462668.4727447, -3.2, 3.220579e-06, -8.878449e-07, 3.604475e-06, 357.2089, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.0034752, -4.95913e-05, -0.00785166, -179.196
1682462674.9813528, 3.2, -3.359846e-06, -1.618676e-06, 2.494139e-06, 214.9647, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.0034752, -4.95913e-05, -0.00785261, -179.196
1682462681.468418, -3.2, 1.758262e-06, -8.878449e-07, 1.357649e-06, 351.3085, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.00347616, -4.95913e-05, -0.00785166, -179.196
1682462687.980538, 3.2, -4.822163e-06, -8.878449e-07, 5.086587e-06, 192.2447, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.0034752, -4.95913e-05, -0.00785166, -179.196
1682462694.4691687, -3.2, 2.489421e-06, -1.618676e-06, 2.643007e-06, 333.2083, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.0034752, -4.95913e-05, -0.00785166, -179.196
1682462700.946016, 3.2, -2.628688e-06, -1.618676e-06, 4.399594e-06, 192.2447, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.00347616, -4.95913e-05, -0.00785166, -179.196
1682462707.4649239, -3.2, 3.951737e-06, 5.738174e-07, 4.050246e-06, 323.8882, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.00347616, -4.95913e-05, -0.00785166, -179.196
1682462713.962298, 3.2, -3.359846e-06, -1.618676e-06, 3.363513e-06, 182.198, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.0034752, -4.95913e-05, -0.00785166, -179.196
1682462720.4476342, -3.2, 3.951737e-06, -1.618676e-06, 2.494367e-06, 326.9672, 0, 0, 0, +5.334352E+00, +4.347973E-10, -0.00347616, -4.95913e-05, -0.00785166, -179.196
1682462743.1415362, 3.2, -3.359846e-06, -1.618676e-06, 2.633373e-06, 211.6237, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355341, -4.95913e-05, -0.00777438, -179.202
1682462749.641849, -3.2, 4.682895e-06, -1.618676e-06, 4.766317e-06, 349.2645, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777438, -179.202
1682462756.1222403, 3.2, -3.359846e-06, -1.570137e-07, 3.363513e-06, 182.6756, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777534, -179.202
1682462762.6311164, -3.2, 2.489421e-06, -8.878449e-07, 2.969399e-06, 347.3375, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355341, -4.95913e-05, -0.00777438, -179.202
1682462769.1398373, 3.2, -4.091004e-06, -8.878449e-07, 3.729434e-06, 182.198, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777534, -179.202
1682462775.625156, -3.2, 1.758262e-06, -1.618676e-06, 4.050246e-06, 356.391, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355341, -4.95913e-05, -0.00777438, -179.202
1682462782.1027467, 3.2, -4.822163e-06, -1.570137e-07, 4.903215e-06, 196.2503, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777534, -179.202
1682462788.6017065, -3.2, 3.220579e-06, -1.570137e-07, 3.604475e-06, 344.5876, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777438, -179.202
1682462795.1036785, 3.2, -4.822163e-06, -8.878449e-07, 4.824718e-06, 190.4323, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355245, -4.95913e-05, -0.00777534, -179.202
1682462801.5899417, -3.2, 3.951737e-06, -8.878449e-07, 3.340718e-06, 347.3375, 0, 0, 0, +8.000847E+00, -5.302633E-10, -0.00355341, -4.95913e-05, -0.00777438, -179.202
1682462824.2621512, 3.2, -4.822163e-06, -8.878449e-07, 4.186238e-06, 182.6756, 0, 0, 0, +1.066765E+01, +4.950271E-10, -0.00363542, -5.0545e-05, -0.00769237, -179.214
1682462830.7679791, -3.2, 1.758262e-06, -1.570137e-07, 1.765259e-06, 354.897, 0, 0, 0, +1.066765E+01, +4.950271E-10, -0.00363638, -5.0545e-05, -0.00769141, -179.214
1682462837.2614195, 3.2, -4.091004e-06, -1.570137e-07, 6.489591e-06, 174.1006, 0, 0, 0, +1.066765E+01, +4.950271E-10, -0.00363447, -5.0545e-05, -0.00769237, -179.214
