t,i,x,y,r,theta,xK,tc,therm,trueGateDC,trueGateI,x2,y2,r2,theta2
1682495796.3201003, 3.2, -1.897529e-06, -6.003663e-06, 6.553927e-06, 240.7672, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495802.7638676, -3.2, -4.352126e-07, -6.734494e-06, 6.812368e-06, 266.3025, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495809.2216, 3.2, -1.166371e-06, -6.003663e-06, 7.914612e-06, 248.6777, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495815.6783314, -3.2, 2.489421e-06, -6.734494e-06, 7.808305e-06, 295.5581, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00360109, -4.95913e-05, -0.0247194, -179.232
1682495822.1260886, 3.2, -1.166371e-06, -6.003663e-06, 7.702707e-06, 255.7386, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359727, -4.95913e-05, -0.0247232, -179.232
1682495828.569857, -3.2, 3.951737e-06, -6.734494e-06, 7.808305e-06, 300.404, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495835.0305812, 3.2, -1.166371e-06, -6.003663e-06, 6.010952e-06, 260.1742, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359727, -4.95913e-05, -0.0247232, -179.232
1682495841.478339, -3.2, 4.682895e-06, -6.003663e-06, 7.614031e-06, 312.0439, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495847.9340749, 3.2, -1.897529e-06, -6.734494e-06, 7.914612e-06, 255.7386, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495854.3918061, -3.2, 3.951737e-06, -6.734494e-06, 7.808305e-06, 307.9545, 0, 0, 0, +4.996183E-05, -4.195451E-10, -0.00359918, -4.95913e-05, -0.0247213, -179.232
1682495876.986381, 3.2, -5.553321e-06, -6.003663e-06, 8.178223e-06, 231.2285, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495883.430149, -3.2, 1.758262e-06, -6.003663e-06, 6.812368e-06, 292.5214, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495889.8739192, 3.2, -4.091004e-06, -6.734494e-06, 8.282914e-06, 234.3959, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495896.320677, -3.2, 2.489421e-06, -6.003663e-06, 7.464954e-06, 298.2107, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495902.7814028, 3.2, -3.359846e-06, -6.003663e-06, 6.553927e-06, 246.3539, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368311, -5.14986e-05, -0.0246392, -179.22
1682495909.2391317, -3.2, 1.027104e-06, -6.734494e-06, 6.499321e-06, 292.5214, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495915.6838963, 3.2, -4.091004e-06, -6.003663e-06, 7.700469e-06, 238.7226, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368501, -5.14986e-05, -0.0246373, -179.22
1682495922.1416297, -3.2, 3.951737e-06, -6.734494e-06, 7.187503e-06, 298.2107, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368311, -5.14986e-05, -0.0246392, -179.22
1682495928.6003568, 3.2, -2.628688e-06, -6.734494e-06, 7.526086e-06, 243.4854, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368311, -5.14986e-05, -0.0246392, -179.22
1682495935.0600805, -3.2, 5.414054e-06, -7.465325e-06, 8.591135e-06, 304.8132, 0, 0, 0, +2.667260E+00, -1.106993E-09, -0.00368311, -5.14986e-05, -0.0246392, -179.22
1682495957.6557066, 3.2, -4.822163e-06, -5.272832e-06, 7.700469e-06, 227.2315, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245458, -179.238
1682495964.133381, -3.2, 1.758262e-06, -6.003663e-06, 5.558259e-06, 286.3235, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245439, -179.238
1682495970.5801437, 3.2, -4.822163e-06, -5.272832e-06, 7.657814e-06, 231.2285, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377466, -5.14986e-05, -0.0245477, -179.238
1682495977.0538287, -3.2, 3.220579e-06, -6.734494e-06, 6.960237e-06, 292.5214, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245458, -179.238
1682495983.5005887, 3.2, -4.822163e-06, -4.542001e-06, 7.700469e-06, 231.2285, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377466, -5.14986e-05, -0.0245477, -179.238
1682495989.9453535, -3.2, 2.489421e-06, -6.734494e-06, 6.178583e-06, 298.7267, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245458, -179.238
1682495996.4051192, 3.2, -4.822163e-06, -4.542001e-06, 7.700469e-06, 235.7288, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245458, -179.238
1682496002.8757782, -3.2, 1.027104e-06, -6.003663e-06, 6.812368e-06, 272.8221, 0, 0, 0, +5.334312E+00, +8.903898E-10, -0.00377657, -5.14986e-05, -0.0245458, -179.238
