t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681512490.0341022, 3.2, -3.149813e-05, -3.113883e-06, 3.147341e-05, 185.6852, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0164796, 0.419436, 0.96
1681512495.7432888, -3.2, -2.594132e-05, -3.150424e-06, 2.616821e-05, 186.7692, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0164796, 0.419436, 0.96
1681512501.4280174, 3.2, -3.098632e-05, -3.077341e-06, 3.15354e-05, 185.6983, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512507.1692448, -3.2, -2.608756e-05, -3.077341e-06, 2.644997e-05, 186.8163, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512512.8830602, 3.2, -3.135189e-05, -3.077341e-06, 3.150256e-05, 185.6716, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512518.5648713, -3.2, -2.67456e-05, -3.150424e-06, 2.721678e-05, 186.7045, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512524.2737644, 3.2, -3.146157e-05, -3.113883e-06, 3.169166e-05, 185.5608, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512529.9673746, -3.2, -2.681871e-05, -3.113883e-06, 2.671268e-05, 186.7824, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0164796, 0.419374, 0.96
1681512535.6767197, 3.2, -3.127878e-05, -3.077341e-06, 3.128427e-05, 185.6311, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512541.3815684, -3.2, -2.736708e-05, -3.077341e-06, 2.710365e-05, 186.6229, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512547.0773814, 3.2, -3.259486e-05, -3.077341e-06, 3.244865e-05, 185.6338, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512552.759447, -3.2, -2.634346e-05, -3.113883e-06, 2.682159e-05, 186.7044, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512558.4622574, 3.2, -3.109599e-05, -3.150424e-06, 3.117876e-05, 185.6113, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512564.166263, -3.2, -2.648969e-05, -3.077341e-06, 2.638598e-05, 186.732, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512569.879405, 3.2, -3.043795e-05, -3.113883e-06, 3.128789e-05, 185.4991, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.966
1681512575.5849411, -3.2, -2.652625e-05, -3.150424e-06, 2.673629e-05, 186.6174, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.966
1681512581.3015523, 3.2, -3.080353e-05, -3.113883e-06, 3.161171e-05, 185.5164, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512587.010842, -3.2, -2.681871e-05, -3.113883e-06, 2.682159e-05, 186.5574, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419436, 0.96
1681512592.7133598, 3.2, -3.296044e-05, -3.150424e-06, 3.274326e-05, 185.5146, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
1681512598.4199202, -3.2, -2.81348e-05, -3.004258e-06, 2.804822e-05, 186.4557, 0, 0, 0, 0.0, 3.2, 0.985661, 0.0165406, 0.419374, 0.96
