t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681585527.3771865, 3.2, 2.063346e-05, -1.908012e-06, 2.031437e-05, 354.8742, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585533.1065562, -3.2, 2.582469e-05, -1.798387e-06, 2.610859e-05, 355.9979, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585538.7986705, 3.2, 2.045067e-05, -1.87147e-06, 2.068175e-05, 355.105, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585544.4927928, -3.2, 2.600748e-05, -1.798387e-06, 2.625704e-05, 355.8391, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0166017, 0.419497, 0.966
1681585550.2043414, 3.2, 2.352154e-05, -1.908012e-06, 2.337722e-05, 355.1329, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166627, 0.419497, 0.966
1681585555.9126446, -3.2, 2.611715e-05, -1.87147e-06, 2.677279e-05, 355.9744, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585561.6196747, 3.2, 2.048723e-05, -1.834929e-06, 2.067848e-05, 354.8356, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585567.3214586, -3.2, 2.670208e-05, -1.834929e-06, 2.640034e-05, 355.8216, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585573.0175507, 3.2, 2.330219e-05, -1.87147e-06, 2.340793e-05, 355.2446, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585578.7288356, -3.2, 2.578813e-05, -1.908012e-06, 2.578302e-05, 355.6385, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585584.4363565, 3.2, 2.041411e-05, -1.944553e-06, 2.010623e-05, 354.6281, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585590.1455693, -3.2, 2.560534e-05, -1.87147e-06, 2.600992e-05, 355.9185, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0166017, 0.419497, 0.966
1681585595.8445473, 3.2, 2.063346e-05, -1.87147e-06, 1.983448e-05, 354.199, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0166017, 0.419497, 0.966
1681585601.5825276, -3.2, 2.509353e-05, -1.798387e-06, 2.582216e-05, 355.712, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585607.2956753, 3.2, 2.048723e-05, -2.017636e-06, 2.017552e-05, 354.5338, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585612.99772, -3.2, 2.553222e-05, -1.87147e-06, 2.608562e-05, 355.6378, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585618.6873815, 3.2, 2.092593e-05, -1.944553e-06, 2.050309e-05, 354.4273, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585624.3765259, -3.2, 2.673863e-05, -1.981095e-06, 2.651491e-05, 355.6922, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585630.0609646, 3.2, 2.151085e-05, -1.908012e-06, 2.111869e-05, 354.6384, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585635.7450671, -3.2, 2.666552e-05, -2.054178e-06, 2.720775e-05, 356.1322, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
1681585641.441557, 3.2, 2.45086e-05, -2.017636e-06, 2.433347e-05, 355.4159, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585647.14159, -3.2, 2.765258e-05, -2.017636e-06, 2.772087e-05, 356.1077, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585652.813858, 3.2, 2.132806e-05, -1.981095e-06, 2.120148e-05, 354.6932, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585658.5145266, -3.2, 2.677519e-05, -1.908012e-06, 2.663802e-05, 355.812, 0, 0, 0, 0.0, 3.2, 0.985722, 0.0165406, 0.419497, 0.966
1681585664.2462814, 3.2, 2.125495e-05, -2.017636e-06, 2.064869e-05, 354.4767, 0, 0, 0, 0.0, 3.2, 0.985783, 0.0165406, 0.419497, 0.966
