t,i,x,y,r,theta,xK,tc,therm,dc,i
1681453490.5714037, 3.2, 1.403998e-05, -1.104097e-05, 1.774372e-05, 317.0157, 0, 0, 0, 0.0, 3.2
1681453496.2490797, -3.2, 3.597473e-05, -1.469513e-05, 4.040438e-05, 332.7234, 0, 0, 0, 0.0, 3.2
1681453501.9420505, 3.2, 1.148093e-05, -8.483065e-06, 1.486934e-05, 314.1784, 0, 0, 0, 0.0, 3.2
1681453507.6656508, -3.2, 3.670589e-05, -1.798387e-05, 3.621614e-05, 330.7487, 0, 0, 0, 0.0, 3.2
1681453513.3482652, 3.2, 1.257767e-05, -1.432971e-05, 1.84179e-05, 322.5321, 0, 0, 0, 0.0, 3.2
1681453519.052524, -3.2, 3.670589e-05, -1.798387e-05, 4.316227e-05, 332.7914, 0, 0, 0, 0.0, 3.2
1681453529.4095597, 3.2, -0.0003818823, 4.998342e-05, 0.0003893505, 172.7538, 0, 0, 0, 40.0, 3.2
1681453535.12957, -3.2, -0.0003884627, 4.925259e-05, 0.0003796918, 173.1322, 0, 0, 0, 40.0, 3.2
1681453540.8292956, 3.2, -0.0004027203, 5.107967e-05, 0.0004065458, 173.9072, 0, 0, 0, 40.0, 3.2
1681453546.5218613, -3.2, -0.0003486146, 4.157887e-05, 0.0003486118, 173.8235, 0, 0, 0, 40.0, 3.2
1681453552.2254236, 3.2, -0.0003705493, 4.779093e-05, 0.0003816911, 173.6168, 0, 0, 0, 40.0, 3.2
1681453557.948827, -3.2, -0.0003511736, 4.23097e-05, 0.0003466428, 174.3972, 0, 0, 0, 40.0, 3.2
1681453568.2916315, 3.2, -0.0003526359, 3.902096e-05, 0.0003638995, 173.5229, 0, 0, 0, 80.0, 3.2
1681453573.9964404, -3.2, -0.0003420341, 3.792471e-05, 0.0003390656, 173.2597, 0, 0, 0, 80.0, 3.2
1681453579.7223904, 3.2, -0.0003723772, 3.865554e-05, 0.00036476, 173.0347, 0, 0, 0, 80.0, 3.2
1681453585.3942869, -3.2, -0.0004074728, 4.815635e-05, 0.0004137718, 174.1779, 0, 0, 0, 80.0, 3.2
1681453591.1140957, 3.2, -0.0003848069, 4.267511e-05, 0.0003856891, 173.3055, 0, 0, 0, 80.0, 3.2
1681453596.8374114, -3.2, -0.0003661623, 4.157887e-05, 0.0003435319, 173.1654, 0, 0, 0, 80.0, 3.2
1681453607.1774182, 3.2, -0.0003515392, 3.902096e-05, 0.0003478852, 174.0413, 0, 0, 0, 120.0, 3.2
1681453612.9118757, -3.2, -0.0003193682, 3.353972e-05, 0.0003210798, 173.8984, 0, 0, 0, 120.0, 3.2
1681453618.6143684, 3.2, -0.0003372816, 3.427055e-05, 0.0003365423, 173.6594, 0, 0, 0, 120.0, 3.2
1681453624.3259306, -3.2, -0.0003149813, 2.84239e-05, 0.0003092256, 174.9659, 0, 0, 0, 120.0, 3.2
1681453630.0244262, 3.2, -0.0003237552, 3.646305e-05, 0.0003226585, 173.39, 0, 0, 0, 120.0, 3.2
1681453635.7333565, -3.2, -0.0002974335, 3.06164e-05, 0.0002955637, 173.5881, 0, 0, 0, 120.0, 3.2
1681453646.0798163, 3.2, -0.0003138845, 3.573222e-05, 0.0003177281, 173.7482, 0, 0, 0, 160.0, 3.2
1681453651.7812586, -3.2, -0.0002820792, 3.134723e-05, 0.0002815952, 173.3742, 0, 0, 0, 160.0, 3.2
1681453657.474419, 3.2, -0.0003116911, 3.792471e-05, 0.0003207977, 173.8048, 0, 0, 0, 160.0, 3.2
