t,i,temp_desired,temp_tc,therm_res,therm_temp
1682461331.3494086,25,1,7.1156187,965.112915,1.311717177830568
1682461333.2164166,25,1,7.32187509,965.307739,1.3788153906303795
1682461334.7423332,25,1,7.48609113,965.491638,1.4421451033829873
1682461336.243326,25,1,7.64740943,965.669495,1.5033886850510243
1682461337.7443073,25,1,7.83654403,965.864807,1.570636597279307
1682461339.2383513,25,1,8.02161502,966.082092,1.6454424700839767
1682461340.7343094,25,1,8.21960735,966.305115,1.7222155087536617
1682461342.2303107,25,1,8.44106578,966.551025,1.8068574001426894
1682461343.7293003,25,1,8.67352962,966.784912,1.8873515283708604
1682461345.2292893,25,1,8.91347026,967.060852,1.9823066827713252
1682461346.7273226,25,1,9.17029666,967.362183,2.0859846098542234
1682461348.2242804,25,1,9.44600868,967.664124,2.1898570760622427
1682461349.7223198,25,1,9.72872734,967.971558,2.295603449326335
1682461351.2152815,25,1,9.99974918,968.315002,2.413717173076633
1682461352.7092867,25,1,10.3088541,968.676331,2.537960304133875
1682461354.2113159,25,1,10.6095285,969.020325,2.6562223923979835
1682461355.723228,25,1,10.9157857,969.415344,2.7920018969561395
1682461357.2212205,25,1,11.2398729,969.818726,2.930628964229301
1682461358.7202144,25,1,11.5596485,970.251953,3.0794822082883684
1682461360.220203,25,1,11.8831243,970.654419,3.217738016918767
1682461361.7171986,25,1,12.2119112,971.107178,3.3732381086047423
1682461363.215233,25,1,12.5314311,971.572754,3.5331043866312375
1682461364.7151854,25,1,12.8695135,972.010315,3.6833179882115954
1682461366.2311685,25,1,13.2079524,972.508545,3.854320105917771
1682461367.7271273,25,1,13.5451154,973.014221,4.027835399277636
1682461369.226159,25,1,13.8781089,973.540588,4.2084051301894885
1682461370.726113,25,1,14.1980686,974.025574,4.374738206261784
1682461372.2221048,25,1,14.5326366,974.569763,4.5613291099187
1682461373.7201006,25,1,14.8744716,975.127075,4.752368452754491
1682461375.2160993,25,1,15.1998176,975.690674,4.945510291527714
1682461376.7150936,25,1,15.5199041,976.207886,5.12270908417959
1682461378.2120883,25,1,15.8503541,976.803833,5.326827634299278
1682461379.7110784,25,1,16.1773033,977.393005,5.528567668756043
1682461381.2090743,25,1,16.4793128,977.947266,5.718301128535145
1682461382.7220266,25,1,16.8042697,978.556091,5.926654099103647
1682461384.220022,25,1,17.1205596,979.177673,6.139309419878945
1682461385.718016,25,1,17.4388637,979.815613,6.357494616208955
1682461387.2160091,25,1,17.7521057,980.389587,6.553744933710765
1682461388.714004,25,1,18.0504817,981.039246,6.775807398202987
1682461390.2109993,25,1,18.3685512,981.682617,6.9956518559365595
1682461391.7099912,25,1,18.663393,982.350708,7.223871045764282
1682461393.2059915,25,1,18.9837131,982.944824,7.426758656971385
1682461394.7039838,25,1,19.2828292,983.612,7.654526608898463
1682461396.1990302,25,1,19.5956211,984.299622,7.889198018760916
1682461397.6949902,25,1,19.889204,984.915039,8.099161434060795
1682461399.191984,25,1,20.1696491,985.597534,8.331937303505768
1682461400.6940038,25,1,20.4728622,986.282898,8.565614802352297
