t,i,temp_desired,temp_tc
1681511096.0924747,-20,2,22.293663
1681511097.0802076,-20,2,22.3186378
1681511098.066646,-20,2,22.339714
1681511099.057487,-20,2,22.3704071
1681511100.0423422,-20,2,22.3820209
1681511101.0290956,-20,2,22.390644
1681511102.0182004,-20,2,22.413763
1681511103.0034585,-20,2,22.4300155
1681511103.993078,-20,2,22.4394321
1681511104.979113,-20,2,22.4591884
1681511105.963552,-20,2,22.478075
1681511106.9839547,-20,2,22.5014019
1681511107.9713228,-20,2,22.5112819
1681511108.9546263,-20,2,22.5303878
1681511109.9440444,-20,2,22.5365333
1681511110.9343686,-20,2,22.5555324
1681511111.9226346,-20,2,22.5619201
1681511112.9106405,-20,2,22.5732574
1681511113.8994153,-20,2,22.5856342
1681511114.8881543,-20,2,22.5952644
1681511115.876651,-20,2,22.6070938
1681511116.866635,-20,2,22.6216316
1681511117.8534698,-20,2,22.6249198
1681511118.841872,-20,2,22.6566886
1681511119.8324552,-20,2,22.6643276
1681511120.820644,-20,2,22.6527271
1681511121.8111603,-20,2,22.6804199
1681511122.8026297,-20,2,22.6904983
1681511123.8591003,-20,2,22.7022247
1681511124.8466475,-20,2,22.713871
1681511125.8348932,-20,2,22.7254962
1681511126.8266506,-20,2,22.7287597
1681511127.8149445,-20,2,22.7382106
1681511128.798677,-20,2,22.7543354
1681511129.7834303,-20,2,22.7721633
1681511130.773377,-20,2,22.7827529
1681511131.7606213,-20,2,22.7896881
1681511132.749413,-20,2,22.8034172
1681511133.7406178,-20,2,22.8078365
1681511134.7266421,-20,2,22.8273506
1681511135.7126281,-20,2,22.8286228
1681511136.699653,-20,2,22.8317298
