t,i,temp_desired,temp_tc
1681160974.5499089,25,1.3435242519080064,22.3720283
1681160975.5227876,25,1.4112773732819968,22.3396377
1681160976.4991803,25,1.4709067965940048,22.3256416
1681160977.4769635,25,1.514871202673996,22.340784
1681160978.4531524,25,1.560157836345999,22.3528156
1681160979.4411182,25,1.5877943349700057,22.3998832
1681160980.4178305,25,1.6028523349700068,22.47093
1681160981.3961203,25,1.5915209230139977,22.5871162
1681160982.382538,25,1.572793579686004,22.7145271
1681160983.3617587,25,1.5322835067760003,22.8791103
1681160984.3491192,25,1.4705523040400026,23.0770301
1681160985.3449569,25,1.399251766040004,23.2881069
1681160986.3150594,25,1.3203414797740047,23.5039157
1681160987.2947273,25,1.2192519284340015,23.7551422
1681160988.2648568,25,1.109992789202001,24.0125274
1681160989.2443244,25,0.9960753436660008,24.2687072
1681160990.234464,25,0.8726640561140006,24.5338764
1681160991.221226,25,0.7416339001140001,24.8037853
1681160992.2042077,25,0.604660202594001,25.074789
1681160993.1835213,25,0.4753094156099995,25.3210468
1681160994.1591067,25,0.33914150921600195,25.5712413
1681160995.1357176,25,0.20758529752000054,25.8027572
1681160996.172588,25,0.0649919419579984,26.0442123
1681160997.161959,25,0,26.2406902
1681160998.1372678,25,0,26.4406261
1681160999.1323268,25,0,26.6083793
1681161000.1066744,25,0,26.7455673
1681161001.0877385,25,0,26.8934783
1681161002.0743437,25,0,27.0088405
1681161003.0441175,25,0,27.1275367
1681161004.012161,25,0,27.2095298
1681161004.9853423,25,0,27.2869644
1681161005.974627,25,0,27.3420619
1681161006.9603875,25,0,27.3955535
1681161007.95076,25,0,27.4298839
1681161008.9274766,25,0,27.4795398
1681161009.9238412,25,0,27.51124
1681161010.9237394,25,0,27.5409774
1681161011.909695,25,0,27.5681953
1681161012.8801627,25,0,27.5789012
1681161013.853225,25,0,27.6052722
1681161014.8441727,25,0,27.6152305
1681161015.839484,25,0,27.6199417
1681161016.8351676,25,0,27.6156558
1681161017.8124921,25,0,27.6169147
1681161018.7923696,25,0,27.616249
1681161019.7810733,25,0,27.613079
1681161020.76114,25,0,27.5967884
1681161021.750967,25,0,27.5989017
1681161022.7280138,25,0,27.5835037
1681161023.7143161,25,0,27.5765399
1681161024.6944523,25,0,27.5651779
1681161025.681154,25,0,27.5431251
1681161026.6602714,25,0,27.5193443
1681161027.643231,25,0,27.5056743
1681161028.6293964,25,0,27.4887733
1681161029.6056237,25,0,27.4731712
1681161030.5861819,25,0,27.462038
1681161031.562735,25,0,27.4390029
1681161032.5409229,25,0,27.4136161
1681161033.5257962,25,0,27.3958377
1681161034.5127094,25,0,27.3654766
1681161035.5020335,25,0,27.3479328
1681161036.4789891,25,0,27.3341007
1681161037.4686437,25,0,27.3092784
1681161038.474623,25,0,27.2813949
1681161039.454885,25,0,27.2571277
1681161040.4250035,25,0,27.2362709
1681161041.424647,25,0,27.1979827
1681161042.4011502,25,0,27.1660652
1681161043.3872921,25,0,27.1465702
1681161044.37733,25,0,27.1307392
1681161045.3571806,25,0,27.1080265
1681161046.343525,25,0,27.0836715
1681161047.3266513,25,0,27.060009
1681161048.2966394,25,0,27.0459308
1681161049.2932103,25,0,27.0100917
1681161050.279212,25,0,26.9840164
1681161051.2692194,25,0,26.9540576
1681161052.2659054,25,0,26.921257
1681161053.2622662,25,0,26.8999443
1681161054.248568,25,0,26.8693428
1681161055.225402,25,0,26.8505363
1681161056.2117565,25,0,26.8134326
1681161057.1914504,25,0,26.7916259
1681161058.1779537,25,0,26.7648143
1681161059.1744494,25,0,26.7302551
1681161060.1743073,25,0,26.7129173
1681161061.1627607,25,0,26.6743488
1681161062.1533523,25,0,26.6545143
1681161063.1334884,25,0,26.6300544
1681161064.1199613,25,0,26.61734
1681161065.0962386,25,0,26.5737705
1681161066.086436,25,0,26.5466518
1681161067.072862,25,0,26.5268459
1681161068.0728247,25,0,26.5095138
1681161069.0657134,25,0,26.4813823
1681161070.1211114,25,0,26.4466915
1681161071.0921688,25,0,26.4251232
1681161072.0685415,25,0,26.39859
1681161073.058366,25,0,26.3741607
1681161074.051226,25,0,26.3475589
1681161075.0348349,25,0,26.3275814
1681161076.0212193,25,0,26.2934741
1681161077.014276,25,0,26.2726669
1681161078.0007844,25,0,26.2460384
1681161078.9905488,25,0,26.2199802
1681161079.9771056,25,0,26.1941471
1681161080.96341,25,0,26.1826591
1681161081.953619,25,0,26.1562786
1681161082.96995,25,0,26.1400451
1681161083.969704,25,0,26.1074104
1681161084.9587898,25,0,26.0893802
1681161085.9292767,25,0,26.0638294
1681161086.9048204,25,0,26.0369701
1681161087.8757405,25,0,26.0158672
1681161088.861818,25,0,26.0046577
1681161089.8485472,25,0,25.9791908
1681161090.834822,25,0,25.9648685
1681161091.8312685,25,0,25.9293556
1681161092.8208563,25,0,25.9128608
1681161093.8074124,25,0,25.8963394
1681161094.790185,25,0,25.8730316
1681161095.783985,25,0,25.8517436
1681161096.760591,25,0,25.8286361
1681161097.7504778,25,0,25.8061161
1681161098.740048,25,0,25.7694969
1681161099.7198374,25,0,25.757965
1681161100.6996078,25,0,25.7438812
1681161101.6863496,25,0,25.7103633
1681161102.6826077,25,0,25.6911735
1681161103.6624892,25,0,25.6745834
1681161104.6363728,25,0,25.6572551
1681161105.6115713,25,0,25.6316032
1681161106.611778,25,0,25.619934
1681161107.5983162,25,0,25.5872936
1681161108.5882268,25,0,25.5761833
1681161109.5843697,25,0,25.5590076
1681161110.5711877,25,0,25.5283145
1681161111.5608397,25,0,25.507162
1681161112.5793934,25,0,25.495079
1681161113.5735273,25,0,25.4833412
1681161114.5502062,25,0,25.459938
1681161115.5467868,25,0,25.4367923
1681161116.5135767,25,0,25.410696
1681161117.5031173,25,0,25.3979187
1681161118.481799,25,0,25.3800201
1681161119.4524355,25,0,25.3521938
1681161120.4463663,25,0,25.3418655
1681161121.4487686,25,0,25.3182487
1681161122.434031,25,0,25.3199901
1681161123.4148426,25,0,25.2931919
1681161124.3966324,25,0,25.2739238
1681161125.3900118,25,0,25.2611427
1681161126.3712049,25,0,25.2337799
1681161127.3640773,25,0,25.2234821
1681161128.3505359,25,0,25.2083148
1681161129.3388414,25,0,25.1897964
1681161130.3167026,25,0,25.1801223
1681161131.301302,25,0,25.1692085
1681161132.293079,25,0,25.1571121
1681161133.293494,25,0,25.1392879
1681161134.278904,25,0,25.1152305
1681161135.2689674,25,0,25.0979881
1681161136.2581055,25,0,25.0719757
1681161137.243901,25,0,25.0606651
1681161138.2221038,25,0,25.0456485
1681161139.2121801,25,0,25.0319499
1681161140.1951272,25,0,25.0170307
1681161141.1808248,25,0,25.0029659
1681161142.1676536,25,0.002432559790000789,24.9953193
1681161143.1609337,25,0.007720592510000517,24.985321
1681161144.130308,25,0.025071193246000885,24.9524898
1681161145.1198883,25,0.0338469226259997,24.9374046
1681161146.106553,25,0.04238108361799997,24.9233531
1681161147.086631,25,0.04911118728200023,24.9133052
1681161148.0636485,25,0.05532825189200003,24.9046287
1681161149.053793,25,0.06961413008400091,24.8807506
1681161150.0479367,25,0.07524239041400091,24.8744411
1681161151.0324912,25,0.08572386841399986,24.8591136
1681161152.0060608,25,0.09877744851000081,24.8392314
1681161152.978812,25,0.10782265678000072,24.8279209
1681161153.9731522,25,0.10981061065199996,24.8306121
1681161155.021521,25,0.12145692309400076,24.8149509
1681161156.002849,25,0.12966968509400076,24.8062744
1681161156.9758282,25,0.13008166916999966,24.8127098
1681161157.9645858,25,0.1385214170420001,24.8035621
1681161158.9538035,25,0.14002016439199916,24.8081245
1681161159.9539857,25,0.1440550663920003,24.8077449
1681161160.9343183,25,0.1432414015759999,24.8165912
1681161161.923851,25,0.1523675495760004,24.8060951
1681161162.9166565,25,0.15335053774600027,24.8115539
1681161163.9202664,25,0.14742837574599932,24.8301906
1681161164.90072,25,0.15150567587399916,24.8287754
1681161165.883264,25,0.1439036839699997,24.8498878
1681161166.8698792,25,0.14952539621000022,24.8447608
1681161167.8566458,25,0.14661634417799912,24.8562374
1681161168.8386698,25,0.1380129959220008,24.8782367
1681161169.8840692,25,0.13877521800199955,24.881668
1681161170.8692133,25,0.13982368683200036,24.8841361
1681161171.8619168,25,0.13784563046400042,24.8923301
1681161172.8521874,25,0.13593554046399997,24.9001445
1681161173.8381438,25,0.12462437977599984,24.9256916
1681161174.821033,25,0.12252890109400073,24.9324989
1681161175.8009608,25,0.11450623509399992,24.9505233
1681161176.7865102,25,0.1064308183139999,24.9679374
1681161177.7768407,25,0.10291258122600026,24.9759216
1681161178.7644475,25,0.10283078122600087,24.977005
1681161179.7482555,25,0.09449936976799915,24.9939041
1681161180.7211375,25,0.08856007615200016,25.0055637
1681161181.704143,25,0.07958108543200018,25.022644
1681161182.688201,25,0.07055059775199948,25.0391635
1681161183.6694732,25,0.06742977295200052,25.043684
1681161184.656323,25,0.06351222274400094,25.0495681
1681161185.645659,25,0.05686549674399928,25.0604438
1681161186.6326032,25,0.05053456064799941,25.0703372
1681161187.6258662,25,0.0635725676679991,25.0425834
1681161188.6033583,25,0.05131180405199959,25.0645637
1681161189.5891907,25,0.055719837732,25.0536365
1681161190.5790884,25,0.04207336224200013,25.0778617
1681161191.555001,25,0.041215068946000424,25.0765647
1681161192.534142,25,0.04521439165800056,25.0660076
1681161193.5153346,25,0.04498722765800035,25.0639057
1681161194.4915662,25,0.04321579937399994,25.0649318
1681161195.4911711,25,0.041405379373999254,25.065916
1681161196.4734886,25,0.038532118958000086,25.0689487
1681161197.4576404,25,0.041697100125999115,25.0602474
1681161198.443421,25,0.03924143076599994,25.0626888
1681161199.4305577,25,0.0356268532300001,25.0672702
1681161200.4099762,25,0.03305015637400002,25.0697212
1681161201.4066656,25,0.03445764837399998,25.0643329
1681161202.3928845,25,0.03657688637399914,25.0577831
1681161203.3765898,25,0.03968116743599949,25.0496501
1681161204.359469,25,0.04193932130799918,25.0434246
1681161205.335406,25,0.04373623647600068,25.0383224
1681161206.321672,25,0.049632561706000784,25.0255241
1681161207.3083618,25,0.044303043834000605,25.0348129
1681161208.2956526,25,0.04939821659400008,25.0236892
1681161209.2859833,25,0.046672028754000686,25.028038
1681161210.2752655,25,0.0500121007539995,25.0205364
1681161211.2541735,25,0.05804713185800005,25.0042972
1681161212.2376802,25,0.06020466519399921,24.9999828
1681161213.2170572,25,0.06362681719399954,24.9934024
1681161214.2111735,25,0.0631153208740007,24.9946365
1681161215.1970441,25,0.06803647005400021,24.9853706
1681161216.1950586,25,0.07057852605399906,24.9810447
1681161217.1825893,25,0.07139166362199949,24.9801864
1681161218.1562214,25,0.076747553414,24.9706306
1681161219.1370122,25,0.084135170086,24.9575271
1681161220.126605,25,0.0796627349559994,24.9677429
1681161221.112643,25,0.0867652321240003,24.9552974
1681161222.095546,25,0.09511977612399948,24.9409503
1681161223.075713,25,0.09384842065199997,24.9456329
1681161224.051964,25,0.1001177728860005,24.9355907
1681161225.041661,25,0.0972826076220003,24.9434528
1681161226.0283687,25,0.09859508362199905,24.9431037
1681161227.0123532,25,0.10199656178199988,24.938713
1681161228.0021305,25,0.11061644875200052,24.9244499
1681161228.9827788,25,0.1082752079040005,24.9318161
1681161229.9669924,25,0.10537207790399981,24.9400215
1681161230.964051,25,0.10133957053599922,24.9500236
1681161231.9517193,25,0.10392005453600028,24.9469833
1681161232.9409924,25,0.1035085285359994,24.9498138
1681161233.9249275,25,0.10882679032800069,24.9414806
1681161234.90598,25,0.10483802252799937,24.951374
1681161235.889468,25,0.1044302284799991,24.9539718
1681161236.8779702,25,0.10822212847999925,24.94845
1681161237.859925,25,0.10410692522999924,24.9583225
1681161238.853901,25,0.10153326425399968,24.9648532
1681161239.8450277,25,0.09672471212599948,24.9754371
1681161240.8320918,25,0.099765946126,24.9705333
1681161241.8156571,25,0.09407974160600024,24.9825916
1681161242.8016336,25,0.09470286218199947,24.9820518
1681161243.7859104,25,0.08484953372199998,25.0016918
1681161244.7704942,25,0.08261970764199987,25.0059185
1681161245.764469,25,0.08470173780199908,25.001688
1681161246.7629259,25,0.08290455380199938,25.0050792
1681161247.750433,25,0.08755751385200002,24.9959335
1681161248.735686,25,0.08280540202799946,25.0052318
1681161249.717199,25,0.08567209959600061,24.9995174
1681161250.6971548,25,0.08944537815599897,24.9922752
1681161251.6861422,25,0.08650582590000021,24.9982242
1681161252.6866713,25,0.0832355979000002,25.0045814
1681161253.661185,25,0.0813164680499992,25.0081005
1681161254.6443353,25,0.0827030244819991,25.0051288
1681161255.6177425,25,0.07884117807200025,25.0123653
1681161256.595694,25,0.08166763069599933,25.0064582
1681161257.5806022,25,0.07678665658399947,25.0156059
1681161258.5600333,25,0.07523702704799999,25.0180072
1681161259.5472994,25,0.07238730944799905,25.022808
1681161260.5377836,25,0.06853414544800032,25.0293407
1681161261.5203388,25,0.0684792371760002,25.0283527
1681161262.5197825,25,0.06818991069600033,25.0278015
1681161263.5114362,25,0.06547602338399931,25.0319709
1681161264.4980874,25,0.06896975630399979,25.0240364
1681161265.4811096,25,0.06775233032000047,25.0254688
1681161266.4674203,25,0.06470669908800063,25.0303649
1681161267.4671674,25,0.06857210991799971,25.0217761
1681161268.4513357,25,0.07207111591800061,25.0142097
1681161269.4292822,25,0.06722394953399999,25.0229988
1681161270.4229064,25,0.06457628401399948,25.0272216
1681161271.4062803,25,0.06452027953400023,25.0262985
1681161272.3901246,25,0.06405878953400002,25.0261745
1681161273.3673432,25,0.0632133791080001,25.0268421
1681161274.3518631,25,0.07123298110800041,25.0103874
1681161275.3458037,25,0.06724710555600062,25.0176639
1681161276.332126,25,0.07230718355600076,25.0072536
1681161277.3191648,25,0.0710768673559996,25.009346
1681161278.298479,25,0.07031110434800007,25.0104656
1681161279.2878723,25,0.06899182177200049,25.0126152
1681161280.268463,25,0.06734799777199998,25.0152912
1681161281.2513633,25,0.06653762465200085,25.0162715
1681161282.234645,25,0.06704846074799968,25.0146808
1681161283.233472,25,0.06678656474800086,25.0146198
1681161284.2163134,25,0.0704765817399996,25.0069656
1681161285.1969259,25,0.06932324004600066,25.0089263
1681161286.173727,25,0.07072145929600022,25.0058975
1681161287.1636643,25,0.06797274958399935,25.0109634
1681161288.1585166,25,0.06708299358400065,25.0122528
1681161289.1457357,25,0.07212009233600045,25.0020961
1681161290.1292372,25,0.0679134903359998,25.0101051
1681161291.1129744,25,0.07255173549599958,25.0007972
1681161292.09199,25,0.07196611354400063,25.0018939
1681161293.09277,25,0.0784794667560005,24.9892826
1681161294.0717423,25,0.07453511475599954,24.9972801
1681161295.0611684,25,0.07707463560399994,24.9924964
1681161296.0549302,25,0.07478975560400052,24.997179
1681161297.041381,25,0.07249410256399932,25.0017032
1681161298.0311084,25,0.07107288208400016,25.0043735
1681161299.017984,25,0.07387063208400002,24.998825
1681161299.994474,25,0.07582019950799967,24.9951152
1681161300.9742823,25,0.0756784228679999,24.995573
1681161301.9639766,25,0.07781339723599986,24.9916324
1681161302.9541101,25,0.07402810319600052,24.9992332
1681161303.9335496,25,0.07877741519599966,24.9901294
1681161304.9163136,25,0.07639107642200024,24.9950923
1681161305.9070034,25,0.08170337631000055,24.9850559
1681161306.8924983,25,0.07848859683799936,24.9918079
1681161307.8828754,25,0.0795262468380001,24.9901275
1681161308.866036,25,0.08189453624799953,24.9859447
1681161309.8712797,25,0.08429713824799925,24.9818649
1681161310.8522027,25,0.08453908379999993,24.9820861
1681161311.824642,25,0.08728735415199966,24.9774761
1681161312.8186352,25,0.09123613966199909,24.9707317
1681161313.7910352,25,0.09393534441400074,24.9666461
1681161314.7690258,25,0.09572692395800021,24.9644412
