t,i,temp_desired,temp_tc,therm_res,therm_temp
1682472641.2002058,60,1,44.5693244,1054.7395,31.53047467851445
1682472643.0602272,60,1,44.7856788,1055.36719,31.737711486980263
1682472644.5592184,60,1,44.9324798,1055.80872,31.883450974545216
1682472646.055218,60,1,45.0896759,1056.27612,32.03769799960365
1682472647.5532136,60,1,45.2171707,1056.74829,32.193486209298534
1682472649.0502088,60,1,45.3450469,1057.1687,32.3321688086502
1682472650.5452113,60,1,45.4710845,1057.63489,32.485922392696686
1682472652.044202,60,1,45.5892829,1058.08997,32.63598070281666
1682472653.5421965,60,1,45.7114257,1058.49927,32.77091726602512
1682472655.039193,60,1,45.8288269,1058.95532,32.92123696489698
1682472656.534195,60,1,45.9462738,1059.3999,33.06774636374504
1682472658.0331862,60,1,46.0714416,1059.84863,33.21559371472823
1682472659.5311804,60,1,46.2074317,1060.24707,33.34684657688618
1682472661.0291748,60,1,46.3273696,1060.70679,33.49825694657952
1682472662.5261724,60,1,46.4363098,1061.14124,33.641315858710776
1682472664.0211735,60,1,46.5838508,1061.5376,33.771807902916905
1682472665.5191674,60,1,46.7067031,1061.98315,33.918466900301276
1682472667.0171618,60,1,46.8376655,1062.42114,34.062608881801744
1682472668.5161529,60,1,46.9735412,1062.86353,34.20817019504029
1682472670.0131497,60,1,47.1123085,1063.26257,34.33944315737949
1682472671.5111437,60,1,47.2353782,1063.70068,34.48354205482647
1682472673.0111325,60,1,47.3698081,1064.11816,34.62082925336266
1682472674.5071318,60,1,47.5058517,1064.5199,34.75291619458384
1682472676.005126,60,1,47.6558113,1064.94543,34.89279911131471
1682472677.5061123,60,1,47.7728004,1065.3822,35.03634924964855
1682472679.002112,60,1,47.9102363,1065.80627,35.17569857072386
1682472680.5001051,60,1,48.0320091,1066.19653,35.303914616971575
1682472681.9980998,60,1,48.16576,1066.62695,35.44529893160458
1682472683.4960935,60,1,48.3040084,1067.05579,35.5861372443598
1682472684.9950848,60,1,48.4368438,1067.4314,35.70947179344402
1682472686.4920819,60,1,48.5594024,1067.85205,35.84757106798563
1682472687.9890783,60,1,48.6974029,1068.27881,35.98764979519892
1682472689.4850779,60,1,48.8288459,1068.69397,36.12389540666533
1682472690.9820747,60,1,48.9443206,1069.0708,36.24754021527533
1682472692.4800687,60,1,49.073204,1069.49841,36.38782174426287
1682472693.9760678,60,1,49.2019844,1069.91431,36.524236085934255
1682472695.4750593,60,1,49.3327674,1070.29443,36.64889258417458
1682472696.9730535,60,1,49.470417,1070.69727,36.780976875241585
1682472698.47005,60,1,49.6015625,1071.11719,36.91863622264411
1682472699.9690413,60,1,49.7228164,1071.52405,37.05198970051189
1682472701.4670372,60,1,49.8419418,1071.90222,37.17591805609103
1682472702.9640331,60,1,49.9466972,1072.30676,37.308464962463916
1682472704.478981,60,1,50.0854187,1072.7135,37.44170869630191
