t,i,temp_desired,temp_tc,temp_therm,res_therm
1681905877.0551183,22,0,20.8399047,14.290205203716605,1003.14337
1681905882.0649118,22,0,20.8815078,14.337739881650931,1003.28394
1681905887.068842,22,0,20.9086818,14.386650939445818,1003.42859
1681905892.0720668,22,0,20.9346332,14.432671279106495,1003.5647
1681905897.094739,22,0,20.9759902,14.483763200889255,1003.71582
1681905902.0945141,22,0,21.0160236,14.533533067700102,1003.86304
1681905907.1077514,22,0,21.0655231,14.58078114835745,1004.00281
1681905912.1083195,22,0,21.0916919,14.618514495214887,1004.11444
1681905917.1676729,22,0,21.1003055,14.664871427062492,1004.25159
1681905929.3477578,21.1389446,0,21.1780567,14.766977900550538,1004.55371
1681905934.35831,21.22246564028066,0.008325366147346358,21.2066078,14.810270403536615,1004.68182
1681905939.3543315,21.305757166916145,0.0387823286379926,21.2326412,14.850799625475377,1004.80176
1681905944.3637187,21.389378009214017,0.06756913830198152,21.2649307,14.890725118261551,1004.91992
1681905949.3759575,21.472943335745747,0.09673800917168388,21.2988872,14.93481762758991,1005.05042
1681905954.3775878,21.556304897838846,0.1398654726642034,21.3083896,14.972613388285023,1005.16229
1681905959.3960106,21.639744438701882,0.17321346329445728,21.3401603,15.011049024772856,1005.27606
1681905964.3928459,21.723142335786438,0.20844117773139692,21.3707237,15.058904030474189,1005.41772
1681905969.4119911,21.806700116370138,0.23993435101370134,21.4111366,15.106901082648884,1005.55981
1681905974.4127603,21.890143491798653,0.2694244060229242,21.4572448,15.160028839761024,1005.7171
1681905979.40793,21.97335837878189,0.296982133984089,21.508583,15.207938054944863,1005.85895
1681905984.4175704,22.056887716029102,0.31768624300842496,21.5748081,15.274434851886493,1006.05585
1681905989.4366634,22.140246993277486,0.33625537815908446,21.6458244,15.339213475616544,1006.24768
1681905994.4279203,22.223591798518115,0.3509888407423505,21.7246494,15.415712443533263,1006.47424
1681905999.4480543,22.307169514868672,0.3599687988224013,21.8149566,15.488536891148271,1006.68994
1681906004.4527671,22.390762366825356,0.3592612184464209,21.9234027,15.574971282607198,1006.94598
1681906009.4737036,22.474335982376353,0.36048464578132755,22.0269012,15.668979288908629,1007.22449
1681906014.4734583,22.55767760075531,0.3462990112738725,22.1586303,15.768492614792983,1007.51935
1681906019.4849646,22.641176666790262,0.34193627096110485,22.2694416,15.870833216186618,1007.82263
1681906024.5349789,22.725423890326436,0.31555762343725435,22.4218177,15.979937005727399,1008.146
1681906029.4806962,22.80794242816569,0.291045792050879,22.5653743,16.09410756679971,1008.48444
1681906034.4933624,22.891309430176033,0.2613918838104511,22.7167758,16.209905784603208,1008.82776
1681906039.4858844,22.974739005142464,0.22192689892222744,22.8836879,16.32889550909915,1009.1806
1681906044.4934757,23.05808237987162,0.17207239578359818,23.066328,16.44778457177711,1009.5332
1681906049.5099523,23.14169130521418,0.12108869235061484,23.2466411,16.571140638437676,1009.89911
1681906054.5171838,23.22513136662445,0.07228750702663217,23.4180088,16.693073426537744,1010.26086
1681906059.5343916,23.30859540499649,0.027269281337563095,23.5780372,16.806884499499585,1010.59857
