t,i,temp_desired,temp_tc,therm_res,therm_temp
1682472489.1857183,55,1,24.9914226,1018.99329,19.630194890362535
1682472490.992886,55,1,24.9886894,1018.99365,19.630315728164128
1682472492.491877,55,1,24.9811687,1018.98218,19.626465691574044
1682472493.988874,55,1,24.9816017,1018.99207,19.629785384328578
1682472495.4898596,55,1,24.9926738,1018.9884,19.628553508216292
1682472496.9848616,55,1,25.0148353,1018.99615,19.631154879004775
1682472498.4818587,55,1,25.0416717,1019.01221,19.636545560690674
1682472499.9818494,55,1,25.0880947,1019.03375,19.64377558971758
1682472501.4868252,55,1,25.1509666,1019.07349,19.657114366451914
1682472502.9898036,55,1,25.2234878,1019.1283,19.675511000734243
1682472504.4937816,55,1,25.3196811,1019.17596,19.691507400238976
1682472505.9987588,55,1,25.424961,1019.24567,19.714903928081753
1682472507.4967513,55,1,25.5507545,1019.34045,19.746713394918128
1682472508.995744,55,1,25.6889419,1019.44983,19.783421076018666
1682472510.4977262,55,1,25.8302783,1019.54364,19.814902010287856
1682472511.9887416,55,1,25.9974308,1019.67761,19.859857527076528
1682472513.4867327,55,1,26.1746997,1019.81708,19.906655666098253
1682472514.9837294,55,1,26.3384933,1019.95795,19.953920479529806
1682472516.4797287,55,1,26.524744,1020.1214,20.00875746703248
1682472517.9737408,55,1,26.7238979,1020.29559,20.067193099545452
1682472519.4777157,55,1,26.9272861,1020.49225,20.1331610635085
1682472520.9876735,55,1,27.1231937,1020.67676,20.195047921353023
1682472522.4856684,55,1,27.335699,1020.89648,20.26873770314259
1682472523.9946353,55,1,27.5401191,1021.11584,20.34229923437776
1682472525.494621,55,1,27.7528247,1021.35071,20.421053664547134
1682472526.9956088,55,1,27.9714241,1021.59387,20.502578758763065
1682472528.4965963,55,1,28.2026329,1021.84906,20.588127281615723
1682472530.0135365,55,1,28.4278049,1022.12128,20.67937366507619
1682472531.5135252,55,1,28.6503219,1022.4093,20.77590354029368
1682472533.0085273,55,1,28.8835277,1022.66528,20.861684372270258
1682472534.506523,55,1,29.1173686,1022.96478,20.962036139134245
1682472536.0224676,55,1,29.3523101,1023.2804,21.06777404163631
1682472537.5204623,55,1,29.5848178,1023.60541,21.176641560432145
1682472539.0204508,55,1,29.8350276,1023.89606,21.273985717546765
1682472540.515457,55,1,30.0758571,1024.23792,21.38846427058649
1682472542.0124505,55,1,30.3144474,1024.58545,21.504822931848963
1682472543.509446,55,1,30.5500621,1024.89026,21.606862814436383
1682472545.005446,55,1,30.7858448,1025.26416,21.73201196182664
1682472546.5054338,55,1,31.0333309,1025.63171,21.855014552132424
1682472548.0054226,55,1,31.2766551,1026.00745,21.980736326610003
1682472549.5054116,55,1,31.518856,1026.35547,22.097163540105306
1682472551.0083952,55,1,31.7769222,1026.73962,22.225655971653715
1682472552.5143657,55,1,32.031517,1027.1344,22.357680185307316
1682472554.0153508,55,1,32.2857055,1027.53223,22.490700008907375
1682472555.5113502,55,1,32.5437507,1027.91956,22.62018550993626
1682472557.0103426,55,1,32.8071289,1028.32129,22.754460483614345
1682472558.5073388,55,1,33.0652999,1028.74475,22.895971553518056
1682472560.0053325,55,1,33.3121986,1029.12708,23.023714104461195
1682472561.5033274,55,1,33.5660591,1029.55566,23.166882715710017
1682472563.004313,55,1,33.8098564,1029.98828,23.311372186360295
1682472564.5052996,55,1,34.0550537,1030.4248,23.45713498154862
1682472566.0003026,55,1,34.2991104,1030.82935,23.592196157253007
1682472567.4982994,55,1,34.546524,1031.27771,23.741854112930643
1682472569.0092556,55,1,34.7952079,1031.73401,23.894130618004368
1682472570.5082455,55,1,35.030445,1032.17908,24.04262861779632
1682472572.0002565,55,1,35.2734222,1032.59766,24.182260442648705
