t,i,temp_desired,temp_tc
1681241256.6886158,25,0.6550704420479989,23.7084064
1681241257.6795735,25,0.6780230740479987,23.7139434
1681241258.6606283,25,0.7023484732579999,23.7150955
1681241259.6458294,25,0.7336920472580006,23.7042388
1681241260.641884,25,0.7553804110979989,23.7115745
1681241261.6321225,25,0.7692768010979989,23.7344055
1681241262.6078393,25,0.783026887507999,23.7551555
1681241263.5913625,25,0.7851862575079992,23.7988815
1681241264.571358,25,0.7756579715319994,23.8620452
1681241265.5580432,25,0.7697240738679989,23.9165573
1681241266.5301337,25,0.7392417020580002,24.0156745
1681241267.4931734,25,0.7181514701960006,24.0930099
1681241268.4808466,25,0.692290594659999,24.1771202
1681241269.4688983,25,0.6503933579000001,24.2889308
1681241270.4590907,25,0.6054022205560006,24.4024333
1681241271.4460835,25,0.550288582556,24.5314044
1681241272.421983,25,0.5009697873860004,24.6438465
1681241273.44004,25,0.4403455341299997,24.7743988
1681241274.4339054,25,0.3907148444019989,24.8784446
1681241275.4225225,25,0.3345880956120003,24.9910507
1681241276.4089844,25,0.2785358292279989,25.0992488
1681241277.3845415,25,0.21620795735599935,25.2154254
1681241278.3655455,25,0.16213944859800017,25.3114891
1681241279.3518336,25,0.09983996584799981,25.4195575
1681241280.3384254,25,0.045667215559999697,25.5079116
1681241281.328348,25,0,25.5892734
1681241282.3114443,25,0,25.6678867
1681241283.3087122,25,0,25.7267513
1681241284.307903,25,0,25.7773456
1681241285.2839365,25,0,25.8359336
1681241286.2595556,25,0,25.8835945
1681241287.2404137,25,0,25.9092159
1681241288.2196848,25,0,25.9481601
1681241289.1898735,25,0,25.9793777
1681241290.1699605,25,0,25.9872684
1681241291.1526573,25,0,26.0182209
1681241292.1423807,25,0,26.0363388
1681241293.1322765,25,0,26.0363845
1681241294.1164274,25,0,26.0590858
1681241295.1544497,25,0,26.0559463
1681241296.4280448,25,0,26.0583744
1681241297.4463212,25,0,26.0699653
1681241298.431755,25,0,26.0517024
1681241299.4270008,25,0,26.0605468
1681241300.4028337,25,0,26.0605487
1681241301.3977036,25,0,26.0617923
1681241302.3834772,25,0,26.0553588
1681241303.3639302,25,0,26.0465221
1681241304.3492112,25,0,26.0334415
1681241305.3456366,25,0,26.0265178
1681241306.3363464,25,0,26.0242176
1681241307.3176484,25,0,26.0060234
1681241308.2968416,25,0,25.9959545
1681241309.299684,25,0,25.9887046
1681241310.2834265,25,0,25.9736137
1681241311.2653422,25,0,25.9656486
1681241312.2492254,25,0,25.9453639
1681241313.2355044,25,0,25.9449005
1681241314.2215178,25,0,25.9407958
1681241315.221584,25,0,25.9223785
1681241316.2040844,25,0,25.9148311
1681241317.1818075,25,0,25.8819274
1681241318.1686046,25,0,25.8745803
1681241319.157222,25,0,25.8625755
1681241320.1480987,25,0,25.8686237
1681241321.1374173,25,0,25.8490943
