t,i,temp_desired,temp_tc
1682458129.7446952,-20,2,10.9017553
1682458130.7390363,-20,2,10.9873628
1682458131.719415,-20,2,11.0661602
1682458132.7596357,-20,2,11.149805
1682458133.7459934,-20,2,11.2243728
1682458134.7363448,-20,2,11.2973461
1682458135.7247436,-20,2,11.3573675
1682458136.7140577,-20,2,11.429243
1682458137.707443,-20,2,11.4773139
1682458138.7137127,-20,2,11.5139636
1682458139.7130377,-20,2,11.5524473
1682458140.706382,-20,2,11.5814628
1682458141.6977289,-20,2,11.6061487
1682458142.6901176,-20,2,11.6234292
1682458143.6814244,-20,2,11.632184
1682458144.673771,-20,2,11.6374435
1682458145.7578728,-20,2,11.6249923
1682458146.7492614,-20,2,11.6364097
1682458147.7435627,-20,2,11.6195621
1682458148.7369494,-20,2,11.5873899
1682458149.7332437,-20,2,11.5603904
1682458150.7235925,-20,2,11.5412769
1682458151.7149408,-20,2,11.5076637
1682458152.7082844,-20,2,11.4730062
1682458153.701628,-20,2,11.4226226
1682458154.6909823,-20,2,11.3889722
1682458155.6773474,-20,2,11.3586988
1682458156.668695,-20,2,11.3011856
1682458157.6580486,-20,2,11.2568063
1682458158.653426,-20,2,11.214549
1682458159.641743,-20,2,11.171873
1682458160.6320956,-20,2,11.107892
1682458161.6244407,-20,2,11.0634374
1682458162.617785,-20,2,11.0062236
1682458163.6111295,-20,2,10.9546337
1682458164.6024768,-20,2,10.9009399
1682458165.5948248,-20,2,10.838664
1682458166.5861728,-20,2,10.7857456
1682458167.578561,-20,2,10.7310333
1682458168.569869,-20,2,10.6710357
1682458169.5652475,-20,2,10.5889263
1682458170.5605454,-20,2,10.5383005
1682458171.5508955,-20,2,10.4772319
1682458172.5442388,-20,2,10.4243221
1682458173.538622,-20,2,10.3561792
1682458174.5329208,-20,2,10.2935447
1682458175.526266,-20,2,10.2315626
1682458176.519608,-20,2,10.1772384
1682458177.5129936,-20,2,10.1154327
1682458178.5043023,-20,2,10.0425167
1682458179.4976442,-20,2,9.97901725
1682458180.4899905,-20,2,9.9286251
1682458181.4813395,-20,2,9.87849807
1682458182.473728,-20,2,9.80899143
1682458183.4660742,-20,2,9.74184608
1682458184.4554296,-20,2,9.68760776
1682458185.4507244,-20,2,9.6124525
1682458186.4450653,-20,2,9.5676279
1682458187.438452,-20,2,9.49977111
1682458188.4327517,-20,2,9.44375228
1682458189.429127,-20,2,9.38709068
1682458190.4234264,-20,2,9.33357906
1682458191.4157727,-20,2,9.27156925
1682458192.4061244,-20,2,9.20412254
1682458193.3985128,-20,2,9.13845443
1682458194.391815,-20,2,9.08767986
1682458195.3871527,-20,2,9.03224372
1682458196.3814943,-20,2,8.97686767
