t,i,x,y,r,theta,xK,tc,therm,dc
1678593059.6873183, 3.2, -0.00031291835000000004, -2.6364159999999998e-05, 1.679447e-07, 184.5018, 0, 0, 0, -0.0
1678593065.1504767, -3.2, -0.0016399705, -0.00045390035000000004, 8.578615000000001e-07, 195.4581, 0, 0, 0, -0.0
1678593071.8589458, 3.2, -0.0011062250000000002, -0.0003260049, 5.463529999999999e-07, 197.1013, 0, 0, 0, -0.16216216216216217
1678593077.3437803, -3.2, -0.0009636495, -0.00029677170000000006, 5.025700000000001e-07, 197.3153, 0, 0, 0, -0.16216216216216217
1678593084.049998, 3.2, 0.00020620405, 2.1139865e-05, 1.0698159999999999e-07, 2.77645, 0, 0, 0, -0.32432432432432434
1678593089.5401137, -3.2, 0.0002683525, 3.9410645e-05, 1.392335e-07, 8.136224, 0, 0, 0, -0.32432432432432434
1678593096.2554405, 3.2, 0.0014308945, 0.00036828465, 7.22381e-07, 14.80503, 0, 0, 0, -0.4864864864864865
1678593101.7363904, -3.2, 0.0016575535, 0.00044502195, 8.590815e-07, 15.14364, 0, 0, 0, -0.4864864864864865
1678593108.428688, 3.2, 0.0025861245, 0.0007519709999999999, 1.3704575e-06, 16.00682, 0, 0, 0, -0.6486486486486487
1678593113.9242692, -3.2, 0.002860309, 0.000828708, 1.4959940000000002e-06, 16.07069, 0, 0, 0, -0.6486486486486487
1678593120.619118, 3.2, 0.003799847, 0.001128349, 1.9819185e-06, 16.57412, 0, 0, 0, -0.8108108108108109
1678593126.092491, -3.2, 0.0038510280000000003, 0.001153928, 2.0258619999999997e-06, 16.54147, 0, 0, 0, -0.8108108108108109
1678593132.8300624, 3.2, 0.0047284185, 0.0014279895000000001, 2.4563655e-06, 16.88338, 0, 0, 0, -0.972972972972973
1678593138.3198574, -3.2, 0.0047430415000000005, 0.0014426065, 2.4880635e-06, 16.94878, 0, 0, 0, -0.972972972972973
1678593145.0249615, 3.2, 0.005426675000000001, 0.001647239, 2.8193150000000005e-06, 16.9392, 0, 0, 0, -1.135135135135135
1678593150.5250459, -3.2, 0.005503445000000001, 0.0016837805000000001, 2.879379e-06, 17.00086, 0, 0, 0, -1.135135135135135
1678593157.218802, 3.2, 0.00603719, 0.0018482175, 3.1527115e-06, 17.12383, 0, 0, 0, -1.2972972972972974
1678593162.697816, -3.2, 0.006073750000000001, 0.0018664884999999999, 3.172332e-06, 17.13599, 0, 0, 0, -1.2972972972972974
1678593181.4069467, 3.2, 0.0003195336, 0.002114971, 1.063532e-06, 82.5357, 0, 0, 0, -1.4594594594594597
1678593186.869645, -3.2, 0.0009008045000000001, 0.0023122954999999995, 1.2498975e-06, 68.95184, 0, 0, 0, -1.4594594594594597
1678593193.5420694, 3.2, 0.0013614340000000001, 0.002462116, 1.4033604999999998e-06, 61.2258, 0, 0, 0, -1.6216216216216217
1678593199.0325346, -3.2, 0.0013943365, 0.0024840405, 1.4218220000000003e-06, 60.59357, 0, 0, 0, -1.6216216216216217
1678593205.7739267, 3.2, 0.0017672270000000001, 0.0026009735, 1.5707609999999998e-06, 56.0076, 0, 0, 0, -1.7837837837837838
1678593211.261997, -3.2, 0.0017745385, 0.0026046280000000003, 1.579888e-06, 55.7333, 0, 0, 0, -1.7837837837837838
1678593217.9671009, 3.2, 0.0021328065, 0.002721561, 1.7235555000000003e-06, 52.53729, 0, 0, 0, -1.945945945945946
1678593223.4476252, -3.2, 0.002227857, 0.0027617565000000004, 1.7613150000000002e-06, 51.65559, 0, 0, 0, -1.945945945945946
1678593230.157697, 3.2, 0.0025349435, 0.002864073, 1.9035955000000003e-06, 48.5901, 0, 0, 0, -2.1081081081081083
1678593235.6405816, -3.2, 0.0025312875, 0.002867727, 1.9149635e-06, 48.51997, 0, 0, 0, -2.1081081081081083
1678593242.3456583, 3.2, 0.0028895550000000002, 0.0028531105, 1.9524180000000002e-06, 45.67081, 0, 0, 0, -2.27027027027027
1678593247.8549252, -3.2, 0.0025130085000000003, 0.002864073, 1.9163320000000002e-06, 48.39737, 0, 0, 0, -2.27027027027027
1678593254.5641158, 3.2, 0.0028676205, 0.002966389, 2.0579055e-06, 46.22652, 0, 0, 0, -2.4324324324324325
1678593260.0493739, -3.2, 0.0028858994999999997, 0.00298466, 2.07585e-06, 46.18371, 0, 0, 0, -2.4324324324324325
1678593266.7725098, 3.2, 0.0019171145, 0.002652132, 1.5352554999999999e-06, 56.93035, 0, 0, 0, -2.5945945945945947
1678593272.2563696, -3.2, 0.0017379804999999998, 0.0025973194999999996, 1.5616339999999997e-06, 54.21713, 0, 0, 0, -2.5945945945945947
1678593278.9689212, 3.2, 0.0020779695, 0.0026886735, 1.690834e-06, 53.69197, 0, 0, 0, -2.756756756756757
1678593284.4739778, -3.2, 0.0025020410000000004, 0.0028567645, 1.8960230000000001e-06, 48.66289, 0, 0, 0, -2.756756756756757
1678593291.1961672, 3.2, 0.0027908485, 0.0029006145, 1.9298485e-06, 46.07824, 0, 0, 0, -2.9189189189189193
1678593296.682136, -3.2, 0.0028785875000000003, 0.00298466, 2.091276e-06, 45.81701, 0, 0, 0, -2.9189189189189193
1678593303.3575091, 3.2, 0.002629994, 0.0027873355000000003, 1.9164045e-06, 74.3456, 0, 0, 0, -3.081081081081081
1678593308.8257802, -3.2, 0.0029699825, 0.003032164, 2.1466520000000005e-06, 56.65339, 0, 0, 0, -3.081081081081081
1678593315.5350773, 3.2, -4.9701355e-05, 0.0037008745000000004, 1.3779505e-06, 71.33527, 0, 0, 0, -3.2432432432432434
1678593321.018785, -3.2, 9.28745e-05, 0.003920124, 2.0763745e-06, 82.50156, 0, 0, 0, -3.2432432432432434
