t,i,x,y,r,theta,xK,tc,therm,dc
1678928925.3226132, 0, -0.15705105, 0.0002869087, 0.007834339999999999, 179.7614, 0, 0, 0, -0.0
1678928930.597473, 0, -0.15741665, 0.0002869087, 0.0078709, 179.7614, 0, 0, 0, -0.01
1678928935.8463824, 0, -0.1577822, 0.0002869087, 0.007870845, 179.8956, 0, 0, 0, -0.02
1678928941.1196752, 0, -0.1577822, -7.850685e-05, 0.007889110000000001, 179.7631, 0, 0, 0, -0.03
1678928946.3745747, 0, -0.1581478, 0.0002869087, 0.00790746, 179.896, 0, 0, 0, -0.04
1678928951.6563795, 0, -0.1581478, -7.850685e-05, 0.007925735, 179.7642, 0, 0, 0, -0.05
1678928956.9524462, 0, -0.15887895000000002, 0.0006523245000000001, 0.007944015, 179.8965, 0, 0, 0, -0.06
1678928962.191346, 0, -0.15887895000000002, 0.0006523245000000001, 0.007962295, 179.8968, 0, 0, 0, -0.07
1678928967.4703743, 0, -0.15924454999999998, 0.0006523245000000001, 0.007962295, 179.8968, 0, 0, 0, -0.08
1678928972.7492294, 0, -0.1596101, 0.0006523245000000001, 0.00796239, 179.7658, 0, 0, 0, -0.09
1678928978.048336, 0, -0.1599757, 0.0006523245000000001, 0.0079988, 179.8972, 0, 0, 0, -0.1
1678928983.3234034, 0, -0.1596101, 0.0002869087, 0.00799885, 179.7669, 0, 0, 0, -0.11
1678928988.5950937, 0, -0.16034125, 0.0006523245000000001, 0.008017075, 179.7664, 0, 0, 0, -0.12
1678928993.8786569, 0, -0.16034125, 0.0002869087, 0.00803541, 179.8975, 0, 0, 0, -0.13
1678928999.1310585, 0, -0.16070685, 0.0006523245000000001, 0.00803541, 179.8975, 0, 0, 0, -0.14
1678929004.4260418, 0, -0.16107244999999998, 0.0002869087, 0.008053635, 179.8977, 0, 0, 0, -0.15
1678929009.705881, 0, -0.16107244999999998, 0.0002869087, 0.00803541, 179.7679, 0, 0, 0, -0.16
1678929014.9588544, 0, -0.16107244999999998, 0.0002869087, 0.008053685, 179.7679, 0, 0, 0, -0.17
1678929020.2232955, 0, -0.16107244999999998, 0.0006523245000000001, 0.00803541, 179.7679, 0, 0, 0, -0.18
1678929025.5219486, 0, -0.16107244999999998, 0.0002869087, 0.008053635, 179.7679, 0, 0, 0, -0.19
1678929030.7946327, 0, -0.161438, 0.0002869087, 0.008071965, 179.6388, 0, 0, 0, -0.2
1678929036.0704541, 0, -0.161438, 0.0002869087, 0.008053685, 179.7685, 0, 0, 0, -0.21
1678929041.3360434, 0, -0.161438, 0.0002869087, 0.008090195, 179.638, 0, 0, 0, -0.22
1678929046.628182, 0, -0.161438, 0.0006523245000000001, 0.0080719, 179.7685, 0, 0, 0, -0.23
1678929051.9073193, 0, -0.16107244999999998, 0.0002869087, 0.008071965, 179.8979, 0, 0, 0, -0.24
1678929057.1937313, 0, -0.16107244999999998, 0.0006523245000000001, 0.008071965, 179.8979, 0, 0, 0, -0.25
1678929062.4714823, 0, -0.16107244999999998, 0.0006523245000000001, 0.008053685, 179.7685, 0, 0, 0, -0.26
1678929067.7543015, 0, -0.161438, 0.0006523245000000001, 0.008053685, 179.7679, 0, 0, 0, -0.27
1678929073.0287604, 0, -0.161438, 0.0002869087, 0.008071915, 179.7685, 0, 0, 0, -0.28
1678929078.3115098, 0, -0.161438, 0.0002869087, 0.008053685, 179.7679, 0, 0, 0, -0.29
1678929083.5801747, 0, -0.16107244999999998, 0.0006523245000000001, 0.008053635, 179.8981, 0, 0, 0, -0.3
1678929088.8466372, 0, -0.16107244999999998, 0.0002869087, 0.008053685, 179.8977, 0, 0, 0, -0.31
1678929094.109546, 0, -0.161438, 0.0006523245000000001, 0.008053685, 179.8981, 0, 0, 0, -0.32
1678929099.3891716, 0, -0.16107244999999998, 0.0006523245000000001, 0.008053685, 179.6388, 0, 0, 0, -0.33
1678929104.6566663, 0, -0.16107244999999998, 0.0002869087, 0.00803541, 179.8977, 0, 0, 0, -0.34
1678929109.946933, 0, -0.16070685, 0.0002869087, 0.008053685, 179.6371, 0, 0, 0, -0.35000000000000003
1678929115.2383568, 0, -0.16070685, 0.0006523245000000001, 0.00803541, 179.7674, 0, 0, 0, -0.36
1678929120.5283136, 0, -0.16034125, 0.0002869087, 0.00801713, 179.7669, 0, 0, 0, -0.37
1678929125.7928731, 0, -0.16034125, 0.0006523245000000001, 0.00799885, 179.8972, 0, 0, 0, -0.38
1678929131.0919695, 0, -0.16034125, 0.0006523245000000001, 0.00799885, 179.7658, 0, 0, 0, -0.39
1678929136.360938, 0, -0.1599757, 0.0002869087, 0.007980669999999999, 179.7658, 0, 0, 0, -0.4
1678929141.6464918, 0, -0.15924454999999998, 0.0006523245000000001, 0.007980520000000001, 179.897, 0, 0, 0, -0.41000000000000003
1678929146.8922062, 0, -0.15924454999999998, 0.0006523245000000001, 0.007962239999999999, 180.0283, 0, 0, 0, -0.42
1678929152.1900136, 0, -0.15887895000000002, 0.0006523245000000001, 0.007962295, 179.6338, 0, 0, 0, -0.43
1678929157.4859278, 0, -0.15887895000000002, 0.0006523245000000001, 0.007944015, 179.7642, 0, 0, 0, -0.44
1678929162.7714345, 0, -0.1585134, 0.00101774, 0.007925680000000001, 179.7647, 0, 0, 0, -0.45
1678929168.034351, 0, -0.1581478, 0.0006523245000000001, 0.007925735, 179.7642, 0, 0, 0, -0.46
1678929173.2639604, 0, -0.1577822, 0.0006523245000000001, 0.007889179999999999, 179.7642, 0, 0, 0, -0.47000000000000003
1678929178.5414972, 0, -0.1577822, 0.0002869087, 0.007889179999999999, 179.7626, 0, 0, 0, -0.48
1678929183.810709, 0, -0.15741665, 0.0006523245000000001, 0.007889125, 179.7631, 0, 0, 0, -0.49
1678929189.049832, 0, -0.15741665, 0.0002869087, 0.007852565, 179.7626, 0, 0, 0, -0.5
1678929194.3097346, 0, -0.1566855, 0.0006523245000000001, 0.007852715, 179.8953, 0, 0, 0, -0.51
1678929199.5785775, 0, -0.1563199, 0.0006523245000000001, 0.007834339999999999, 179.7614, 0, 0, 0, -0.52
1678929204.8570602, 0, -0.1566855, 0.0006523245000000001, 0.00779773, 179.7609, 0, 0, 0, -0.53
1678929210.124516, 0, -0.1563199, -7.850685e-05, 0.007797785, 179.7603, 0, 0, 0, -0.54
1678929215.380523, 0, -0.15558875, 0.00101774, 0.007761224999999999, 179.7598, 0, 0, 0, -0.55
1678929220.6580398, 0, -0.15522315, 0.0006523245000000001, 0.00776117, 179.6252, 0, 0, 0, -0.56
1678929225.9300187, 0, -0.15449200000000002, 0.0002869087, 0.00776117, 179.7586, 0, 0, 0, -0.5700000000000001
1678929231.1953154, 0, -0.15412645, 0.0006523245000000001, 0.00772467, 179.6225, 0, 0, 0, -0.58
1678929236.470873, 0, -0.15376085, 0.0006523245000000001, 0.00768811, 179.8933, 0, 0, 0, -0.59
1678929241.7387457, 0, -0.15412645, 0.0006523245000000001, 0.007651555, 179.7563, 0, 0, 0, -0.6
1678929246.9932117, 0, -0.1526641, 0.0006523245000000001, 0.007614940000000001, 179.7558, 0, 0, 0, -0.61
1678929252.2575145, 0, -0.1526641, 0.0006523245000000001, 0.007614994999999999, 179.7546, 0, 0, 0, -0.62
1678929257.5397997, 0, -0.15193295, 0.0006523245000000001, 0.00759666, 179.7546, 0, 0, 0, -0.63
1678929262.809496, 0, -0.15193295, 0.0006523245000000001, 0.0075784400000000005, 179.6162, 0, 0, 0, -0.64
1678929268.0752282, 0, -0.1512018, 0.0002869087, 0.007560160000000001, 179.7528, 0, 0, 0, -0.65
1678929273.3571467, 0, -0.1512018, 0.0006523245000000001, 0.007560160000000001, 179.7528, 0, 0, 0, -0.66
1678929278.6167696, 0, -0.15047064999999998, 0.0006523245000000001, 0.0075235449999999995, 179.6125, 0, 0, 0, -0.67
1678929283.8825972, 0, -0.1497395, 0.00101774, 0.007523705, 179.7516, 0, 0, 0, -0.68
1678929289.1371722, 0, -0.1497395, 0.0006523245000000001, 0.007486990000000001, 179.6115, 0, 0, 0, -0.6900000000000001
1678929294.4313571, 0, -0.1497395, 0.00101774, 0.0075054250000000005, 179.7498, 0, 0, 0, -0.7000000000000001
1678929299.692548, 0, -0.1490083, 0.0006523245000000001, 0.007468765, 179.7492, 0, 0, 0, -0.71
1678929304.948766, 0, -0.1490083, 0.0006523245000000001, 0.007450429999999999, 179.7498, 0, 0, 0, -0.72
1678929310.2271569, 0, -0.14864275, 0.0006523245000000001, 0.00743215, 179.7492, 0, 0, 0, -0.73
1678929315.4862921, 0, -0.14864275, 0.0002869087, 0.00743221, 179.7485, 0, 0, 0, -0.74
1678929320.76635, 0, -0.14827715, 0.0006523245000000001, 0.007413930000000001, 179.6067, 0, 0, 0, -0.75
1678929326.0209928, 0, -0.1479116, 0.0002869087, 0.007395649999999999, 179.8888, 0, 0, 0, -0.76
1678929331.3130388, 0, -0.147546, 0.0002869087, 0.007377315, 179.8891, 0, 0, 0, -0.77
1678929336.5886016, 0, -0.14681485, 0.0006523245000000001, 0.007359035, 179.746, 0, 0, 0, -0.78
1678929341.858236, 0, -0.14644925, 0.00101774, 0.0073408150000000005, 179.888, 0, 0, 0, -0.79
1678929347.1298614, 0, -0.14644925, 0.0006523245000000001, 0.007304199999999999, 179.8877, 0, 0, 0, -0.8
1678929352.4026532, 0, -0.14608369999999998, 0.0006523245000000001, 0.007304199999999999, 179.7441, 0, 0, 0, -0.81
1678929357.6912224, 0, -0.14608369999999998, 0.00101774, 0.0072677, 179.7435, 0, 0, 0, -0.8200000000000001
1678929362.9503248, 0, -0.14571810000000002, 0.0002869087, 0.0072677, 179.8869, 0, 0, 0, -0.8300000000000001
1678929368.2394898, 0, -0.14498695, 0.0006523245000000001, 0.0072494199999999995, 179.7428, 0, 0, 0, -0.84
1678929373.5084014, 0, -0.14498695, 0.0002869087, 0.00723114, 179.8863, 0, 0, 0, -0.85
1678929378.777345, 0, -0.1442558, 0.0006523245000000001, 0.007212865000000001, 179.7409, 0, 0, 0, -0.86
1678929384.0359526, 0, -0.1438902, 0.0006523245000000001, 0.007194585000000001, 179.8857, 0, 0, 0, -0.87
1678929389.3131258, 0, -0.1438902, 0.0006523245000000001, 0.007194585000000001, 179.8854, 0, 0, 0, -0.88
1678929394.5962932, 0, -0.14315905, 0.0006523245000000001, 0.007176304999999999, 179.7389, 0, 0, 0, -0.89
