t,i,x,y,r,theta,xK,tc, therm
1678588136.8497388, 3.2, -5.831855e-06, 6.523245e-06, 4.3750205e-09, 62.71762, 0, 0, 0
1678588142.3343847, -3.2, 4.534923e-05, 2.8448174999999998e-05, 3.1443165e-08, 25.21222, 0, 0, 0
1678588147.8246906, 3.2, -4.6045564999999996e-05, -8.093380000000001e-06, 2.6983735e-08, 184.756, 0, 0, 0
1678588153.3198469, -3.2, 4.169344e-05, 2.8448174999999998e-05, 2.929186e-08, 31.36672, 0, 0, 0
1678588158.825266, 3.2, -4.9701355e-05, -8.093380000000001e-06, 2.8592754999999998e-08, 191.6429, 0, 0, 0
1678588164.3410099, -3.2, 2.7070270000000002e-05, 2.479402e-05, 2.6685135e-08, 35.29435, 0, 0, 0
1678588169.8297997, 3.2, -4.6045564999999996e-05, -7.850685e-07, 2.7317530000000003e-08, 184.4523, 0, 0, 0
1678588175.315477, -3.2, 2.7070270000000002e-05, 2.479402e-05, 3.076647e-08, 32.10059, 0, 0, 0
1678588180.802841, 3.2, -3.5078185e-05, -7.850685e-07, 2.4949605e-08, 185.104, 0, 0, 0
1678588186.2959232, -3.2, 2.3414480000000003e-05, 2.1139865e-05, 3.0040605e-08, 30.73886, 0, 0, 0
1678588191.8069258, 3.2, -4.6045564999999996e-05, -1.1747535000000001e-05, 3.0415465000000004e-08, 188.0796, 0, 0, 0
1678588197.2810137, -3.2, 3.072606e-05, 3.2102329999999995e-05, 2.7780895000000002e-08, 33.2281, 0, 0, 0
1678588202.7704084, 3.2, -4.6045564999999996e-05, -4.4392245e-06, 3.089781e-08, 193.4653, 0, 0, 0
1678588208.2454872, -3.2, 3.072606e-05, 3.5756484999999994e-05, 2.2702455e-08, 30.73886, 0, 0, 0
1678588213.7411919, 3.2, -3.873398e-05, -4.4392245e-06, 2.6770750000000005e-08, 180.843, 0, 0, 0
1678588219.2031076, -3.2, 3.438185e-05, 2.8448174999999998e-05, 2.6766825e-08, 35.29435, 0, 0, 0
1678588224.705968, 3.2, -4.6045564999999996e-05, -4.4392245e-06, 2.8792265e-08, 189.2489, 0, 0, 0
1678588230.1956835, -3.2, 2.7070270000000002e-05, 3.2102329999999995e-05, 2.6766825e-08, 30.13583, 0, 0, 0
1678588235.6759872, 3.2, -3.5078185e-05, -8.093380000000001e-06, 2.8792265e-08, 188.6251, 0, 0, 0
1678588241.1792238, -3.2, 3.438185e-05, 2.479402e-05, 2.337326e-08, 30.73886, 0, 0, 0
1678588246.6562915, 3.2, -3.873398e-05, -4.4392245e-06, 2.4949605e-08, 184.756, 0, 0, 0
1678588252.139154, -3.2, 2.7070270000000002e-05, 2.8448174999999998e-05, 2.584229e-08, 30.13583, 0, 0, 0
1678588257.676127, 3.2, -5.335715e-05, -7.850685e-07, 2.6770750000000005e-08, 185.104, 0, 0, 0
