t,i,x,y,r,theta,xK,tc,therm,dc
1679360658.2078278, 0, -0.2268767, 0.12379735, 0.01291546, 151.2705, 0, 0, 0, -0.0
1679360666.9826615, 0, -0.22760785, 0.12525904999999998, 0.012949079999999998, 151.2773, 0, 0, 0, -0.05
1679360675.7438667, 0, -0.22760785, 0.12598985000000001, 0.01300757, 151.0337, 0, 0, 0, -0.1
1679360684.5327554, 0, -0.2279734, 0.1267207, 0.01303957, 150.9322, 0, 0, 0, -0.15000000000000002
1679360693.3023124, 0, -0.2279734, 0.12598985000000001, 0.013032415, 150.9322, 0, 0, 0, -0.2
1679360702.0944672, 0, -0.228339, 0.1263553, 0.013041279999999999, 151.0413, 0, 0, 0, -0.25
1679360710.876546, 0, -0.22870455, 0.1270861, 0.013073245, 151.0413, 0, 0, 0, -0.30000000000000004
1679360719.6222785, 0, -0.2279734, 0.12598985000000001, 0.013032415, 151.1431, 0, 0, 0, -0.35000000000000003
1679360728.3745804, 0, -0.22760785, 0.12525904999999998, 0.013032415, 150.9634, 0, 0, 0, -0.4
1679360737.15544, 0, -0.22760785, 0.12562445, 0.012972334999999998, 151.1747, 0, 0, 0, -0.45
1679360745.9313042, 0, -0.22724224999999998, 0.12489360000000001, 0.012965095, 151.3805, 0, 0, 0, -0.5
1679360754.7059593, 0, -0.2268767, 0.12379735, 0.01289794, 151.4516, 0, 0, 0, -0.55
1679360763.4809659, 0, -0.22358645, 0.11868155, 0.012681355, 152.152, 0, 0, 0, -0.6000000000000001
1679360772.239313, 0, -0.2232209, 0.1179507, 0.012623385, 152.109, 0, 0, 0, -0.65
1679360780.9978476, 0, -0.22248975, 0.1172199, 0.012590175, 152.256, 0, 0, 0, -0.7000000000000001
1679360789.7862623, 0, -0.2210274, 0.11575825, 0.012499955, 152.326, 0, 0, 0, -0.75
1679360798.5490263, 0, -0.221393, 0.11612365, 0.01246682, 152.5453, 0, 0, 0, -0.8
1679360807.3220935, 0, -0.21993065, 0.11356575, 0.01236768, 152.5754, 0, 0, 0, -0.8500000000000001
1679360816.104126, 0, -0.2191995, 0.1124695, 0.012302205, 152.7991, 0, 0, 0, -0.9
1679360824.8789616, 0, -0.21883395, 0.11210405000000001, 0.01229386, 152.9137, 0, 0, 0, -0.9500000000000001
1679360833.6238177, 0, -0.21810279999999999, 0.110277, 0.012252995, 152.9491, 0, 0, 0, -1.0
1679360842.409021, 0, -0.21700605, 0.110277, 0.01217074, 153.177, 0, 0, 0, -1.05
1679360851.2004118, 0, -0.21664045, 0.10881529999999999, 0.01208079, 153.3299, 0, 0, 0, -1.1
1679360859.9655387, 0, -0.2155437, 0.10735365, 0.012023565, 153.4071, 0, 0, 0, -1.1500000000000001
1679360868.738165, 0, -0.2155437, 0.10735365, 0.012064435, 153.5239, 0, 0, 0, -1.2000000000000002
1679360877.5072124, 0, -0.21517814999999998, 0.10698825000000001, 0.012023565, 153.5631, 0, 0, 0, -1.25
1679360886.292221, 0, -0.21408140000000003, 0.1055266, 0.011950249999999999, 153.6814, 0, 0, 0, -1.3
1679360895.0489223, 0, -0.2126191, 0.10406495, 0.011762680000000001, 154.0844, 0, 0, 0, -1.35
1679360903.8225162, 0, -0.21079119999999998, 0.1029687, 0.01177912, 153.9633, 0, 0, 0, -1.4000000000000001
1679360912.6188564, 0, -0.20823215, 0.0985837, 0.01151948, 154.7914, 0, 0, 0, -1.4500000000000002
1679360921.4064395, 0, -0.2056731, 0.09492955, 0.01132619, 155.224, 0, 0, 0, -1.5
1679360930.2120006, 0, -0.20640424999999998, 0.09492955, 0.01126109, 155.3148, 0, 0, 0, -1.55
1679360938.9794693, 0, -0.20311405, 0.09200620000000001, 0.011165695, 155.7161, 0, 0, 0, -1.6
1679360947.755053, 0, -0.20238285, 0.09090994999999999, 0.01109318, 155.8966, 0, 0, 0, -1.6500000000000001
1679360956.5237591, 0, -0.19616804999999998, 0.08396705, 0.01066916, 156.956, 0, 0, 0, -1.7000000000000002
1679360965.2941637, 0, -0.19580245000000002, 0.0828708, 0.01060692, 156.7886, 0, 0, 0, -1.75
