t,a,x,y,r,theta,b,c,d,dc
1680118020.5088928, 0, 0.3620713, -0.01834929, 0.3618058, 356.959, 0, 0, 0, 60.0
1680118025.2741878, 0, 0.360609, -0.01834929, 0.3614407, 357.0841, 0, 0, 0, 60.0
1680118030.066276, 0, 0.3540286, -0.01761845, 0.3548318, 357.1539, 0, 0, 0, 59.0
1680118034.8162456, 0, 0.3474482, -0.01725304, 0.3478946, 357.1632, 0, 0, 0, 58.0
1680118039.5849133, 0, 0.3405022, -0.01688762, 0.3412333, 357.3532, 0, 0, 0, 57.0
1680118044.3438232, 0, 0.3335562, -0.01615679, 0.3335475, 357.2895, 0, 0, 0, 56.0
1680118049.13259, 0, 0.3262446, -0.01506055, 0.3291157, 357.4324, 0, 0, 0, 55.0
1680118053.9113803, 0, 0.3196642, -0.01506055, 0.3200188, 357.3026, 0, 0, 0, 54.0
1680118058.6813235, 0, 0.3134493, -0.01432971, 0.3144746, 357.5187, 0, 0, 0, 53.0
1680118063.4340386, 0, 0.3061377, -0.01286805, 0.3056931, 357.4474, 0, 0, 0, 52.0
1680118068.209951, 0, 0.2973638, -0.01359888, 0.2969612, 357.308, 0, 0, 0, 51.0
1680118072.9716825, 0, 0.2907834, -0.01359888, 0.2910843, 357.3943, 0, 0, 0, 50.0
1680118077.7376676, 0, 0.2831062, -0.01286805, 0.2830675, 357.0874, 0, 0, 0, 49.0
1680118082.5042098, 0, 0.2768914, -0.0117718, 0.2774915, 357.5688, 0, 0, 0, 48.0
1680118087.2490876, 0, 0.2692142, -0.01213722, 0.2691392, 357.4151, 0, 0, 0, 47.0
1680118092.021315, 0, 0.2619026, -0.0117718, 0.2621509, 357.343, 0, 0, 0, 46.0
1680118096.7972434, 0, 0.2567845, -0.01104097, 0.2563073, 357.538, 0, 0, 0, 45.0
1680118101.5829153, 0, 0.2502041, -0.01031014, 0.2500364, 357.7239, 0, 0, 0, 44.0
1680118106.3289866, 0, 0.2436237, -0.009579311, 0.2441632, 357.7516, 0, 0, 0, 43.0
1680118111.0952628, 0, 0.2385056, -0.008117649, 0.2386564, 357.963, 0, 0, 0, 42.0
1680118115.8577092, 0, 0.2330219, -0.008117649, 0.2335162, 358.0111, 0, 0, 0, 41.0
1680118120.619057, 0, 0.228635, -0.007386818, 0.2280235, 358.1465, 0, 0, 0, 40.0
1680118125.3885572, 0, 0.2220545, -0.006655986, 0.2221655, 358.1889, 0, 0, 0, 39.0
1680118130.151009, 0, 0.2162053, -0.006655986, 0.2162967, 358.3362, 0, 0, 0, 38.0
1680118134.9088957, 0, 0.2118183, -0.005925156, 0.2119117, 358.2989, 0, 0, 0, 37.0
1680118139.695247, 0, 0.2074314, -0.005925156, 0.2075059, 358.4647, 0, 0, 0, 36.0
1680118144.4682908, 0, 0.2037756, -0.005194325, 0.2034859, 358.5372, 0, 0, 0, 35.0
1680118149.2208202, 0, 0.1993886, -0.005194325, 0.1990816, 358.5104, 0, 0, 0, 34.0
1680118153.999776, 0, 0.1942705, -0.005194325, 0.1943218, 358.4742, 0, 0, 0, 33.0
1680118158.762045, 0, 0.1898836, -0.004463493, 0.1903015, 358.546, 0, 0, 0, 32.0
1680118163.5079637, 0, 0.1862278, -0.004463493, 0.1859158, 358.627, 0, 0, 0, 31.0
1680118168.2852218, 0, 0.1829375, -0.004098078, 0.182618, 358.6023, 0, 0, 0, 30.0
1680118173.0649953, 0, 0.1792818, -0.004098078, 0.1796941, 358.5767, 0, 0, 0, 29.0
