t,i,x,y,r,theta,xK,tc, therm
1678694637.051643, 3.2, -0.000568824, 6.498975000000001e-05, 1.1786575e-07, 123.529, 0, 0, 0
1678694644.0565712, -3.2, -4.238977e-05, 0.00029520155, 1.5852045e-08, 127.1969, 0, 0, 0
1678694651.065749, 3.2, -0.000601726, 0.00024769749999999996, 1.781861e-07, 127.2642, 0, 0, 0
1678694658.0535169, -3.2, -0.0001666867, 0.0005107965, 1.0668555e-07, 126.3214, 0, 0, 0
1678694665.0430524, 3.2, -0.0006273165000000001, 0.0002001935, 3.2162325000000003e-07, 129.6042, 0, 0, 0
1678694672.0344727, -3.2, 1.2447105000000002e-05, 0.00032078065, 3.5633110000000003e-07, 163.2224, 0, 0, 0
1678694679.0464942, 3.2, -0.00013744035, 0.00032808895000000003, 4.4258520000000005e-07, 119.759, 0, 0, 0
1678694686.0257313, -3.2, -0.0005066754999999999, 0.00043405945000000003, 3.9225190000000005e-07, 149.7779, 0, 0, 0
1678694693.007463, 3.2, -0.0005176425, 0.000613113, 8.44351e-08, 116.7387, 0, 0, 0
1678694699.9663696, -3.2, -0.00035313205, 0.0005583005, 2.6877210000000004e-08, 113.3555, 0, 0, 0
1678694706.9582849, 3.2, -0.00027636040000000005, 0.0006423465000000001, 1.1863050000000001e-07, 122.0886, 0, 0, 0
1678694713.9434755, -3.2, -9.487645e-06, 0.000587534, 1.9919899999999997e-08, 121.6545, 0, 0, 0
1678694720.938829, 3.2, -0.000546889, 0.0003463597, 4.4657805000000004e-07, 121.8167, 0, 0, 0
1678694727.9132533, -3.2, -0.0002398025, 0.0005034885, 4.026757e-07, 133.1504, 0, 0, 0
1678694734.9028873, 3.2, -0.0006602185000000001, 0.00022577255, 3.3832665e-07, 147.9952, 0, 0, 0
1678694741.8879175, -3.2, -3.5078185e-05, 0.0005765715000000001, 7.953925e-08, 132.9612, 0, 0, 0
1678694748.8663888, 3.2, -0.0005944145, 0.0004048262, 4.6939365e-07, 133.7287, 0, 0, 0
1678694755.855202, -3.2, -0.00011916140000000001, 0.00047790935000000006, 4.010846e-07, 131.6713, 0, 0, 0
1678694762.8685176, 3.2, -0.00018130985, 0.000587534, 2.521581e-07, 136.1014, 0, 0, 0
1678694769.844523, -3.2, -0.0005505449999999999, 0.00036828465, 1.5206725000000001e-07, 151.7655, 0, 0, 0
1678694776.8081837, 3.2, -0.0005212985, 0.0001599978, 4.2575555e-07, 145.2247, 0, 0, 0
1678694783.8002102, -3.2, -6.066875e-05, 0.00017826855, 1.551e-07, 129.2742, 0, 0, 0
1678694790.7786665, 3.2, -0.00045915, 0.000514451, 3.1152275e-07, 128.7027, 0, 0, 0
1678694797.766717, -3.2, -0.00037141105, 0.0003646305, 1.9309684999999998e-07, 102.8668, 0, 0, 0
1678694804.7296467, 3.2, -0.0005907585, 0.0003829013, 3.3781225e-07, 147.8437, 0, 0, 0
