time,tc temp (C),tr temp (C),tr res (ohm),sr2124,x,y,r,theta
1665959967.6287396,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665959972.687498,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665959977.7132583,0,0,0,4.499583,0.00905615,-4.57766e-05,0.00905615,-0.252
1665959982.7522318,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904089,-0.294
1665959987.7946308,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665959992.8435597,0,0,0,4.514206,0.00905615,-3.81472e-05,0.00905615,-0.21
1665959997.899341,0,0,0,4.506895,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960002.9382918,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960007.9619782,0,0,0,4.506895,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960013.0029418,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960018.051133,0,0,0,4.506895,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960023.0843804,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960028.1118474,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904852,-0.252
1665960033.1491451,0,0,0,4.52883,0.00906378,-5.3406e-05,0.00905615,-0.294
1665960038.197158,0,0,0,4.499583,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960043.2240427,0,0,0,4.521518,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960048.2796712,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960053.3252943,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960058.3642087,0,0,0,4.506895,0.00904852,-3.05178e-05,0.00904852,-0.168
1665960063.4299307,0,0,0,4.506895,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960068.4724197,0,0,0,4.492271,0.00906378,-5.3406e-05,0.00906378,-0.294
1665960073.504673,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960078.5437014,0,0,0,4.521518,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960083.5793717,0,0,0,4.514206,0.00905615,-5.3406e-05,0.00904852,-0.294
1665960088.6071372,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960093.640793,0,0,0,4.514206,0.00904089,-4.57766e-05,0.00904852,-0.252
1665960098.6819723,0,0,0,4.514206,0.00906378,-5.3406e-05,0.00906378,-0.294
1665960103.755519,0,0,0,4.514206,0.00906378,-4.57766e-05,0.00906378,-0.294
1665960108.7944417,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904089,-0.294
1665960113.850129,0,0,0,4.521518,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960118.890825,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960123.9329317,0,0,0,4.499583,0.00905615,-3.05178e-05,0.00905615,-0.168
1665960128.989385,0,0,0,4.521518,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960134.049262,0,0,0,4.492271,0.00906378,-5.3406e-05,0.00906378,-0.294
1665960139.110005,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960144.1550953,0,0,0,4.506895,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960149.2149312,0,0,0,4.521518,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960154.2601905,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960159.303373,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.168
1665960164.3655806,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960169.4076736,0,0,0,4.514206,0.00904852,-3.05178e-05,0.00904852,-0.168
1665960174.4631207,0,0,0,4.521518,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960179.5110471,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960184.56737,0,0,0,4.506895,0.00906378,-5.3406e-05,0.00905615,-0.294
1665960189.6183565,0,0,0,4.514206,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960194.6578012,0,0,0,4.521518,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960199.7101436,0,0,0,4.521518,0.00906378,-5.3406e-05,0.00905615,-0.294
1665960204.7711496,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960209.802597,0,0,0,4.492271,0.00906378,-5.3406e-05,0.00906378,-0.294
1665960214.875397,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960219.9288077,0,0,0,4.499583,0.00905615,-5.3406e-05,0.00905615,-0.336
1665960224.9787817,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960230.0282156,0,0,0,4.506895,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960235.0855224,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960240.1441038,0,0,0,4.521518,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960245.1875312,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960250.2459826,0,0,0,4.514206,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960255.3000214,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960260.3618786,0,0,0,4.499583,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960265.397689,0,0,0,4.521518,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960270.4433582,0,0,0,4.506895,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960275.4921956,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960280.5514278,0,0,0,4.521518,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960285.6036,0,0,0,4.514206,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960290.6427186,0,0,0,4.506895,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960295.7085974,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904089,-0.21
1665960300.7573643,0,0,0,4.506895,0.00906378,-5.3406e-05,0.00905615,-0.294
1665960305.8150582,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960310.8673966,0,0,0,4.499583,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960315.9196775,0,0,0,4.521518,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960320.9659727,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960326.02689,0,0,0,4.506895,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960331.0792449,0,0,0,4.506895,0.00904852,-3.81472e-05,0.00905615,-0.21
1665960336.1163747,0,0,0,4.506895,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960341.1698675,0,0,0,4.499583,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960346.2013566,0,0,0,4.514206,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960351.2498035,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960356.3034182,0,0,0,4.521518,0.00904089,-3.81472e-05,0.00904852,-0.21
1665960361.3592849,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00905615,-0.21
1665960366.4281201,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960371.4704416,0,0,0,4.521518,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960376.5129676,0,0,0,4.514206,0.00904089,-4.57766e-05,0.00903326,-0.252
1665960381.575651,0,0,0,4.521518,0.00904852,-3.81472e-05,0.00905615,-0.21
1665960386.6263702,0,0,0,4.506895,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960391.69706,0,0,0,4.514206,0.00905615,-5.3406e-05,0.00905615,-0.336
1665960396.7627597,0,0,0,4.521518,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960401.8212163,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960406.8706422,0,0,0,4.506895,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960411.905519,0,0,0,4.521518,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960416.9643798,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960422.0341356,0,0,0,4.52883,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960427.1009357,0,0,0,4.521518,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960432.158955,0,0,0,4.506895,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960437.188207,0,0,0,4.521518,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960442.2249885,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960447.280937,0,0,0,4.492271,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960452.3315077,0,0,0,4.521518,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960457.395994,0,0,0,4.514206,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960462.4327776,0,0,0,4.492271,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960467.5044866,0,0,0,4.506895,0.00906378,-4.57766e-05,0.00906378,-0.252
1665960472.6013758,0,0,0,4.521518,0.00903326,-4.57766e-05,0.00904089,-0.21
1665960477.6594408,0,0,0,4.499583,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960482.7082288,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960487.7802646,0,0,0,4.514206,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960492.851254,0,0,0,4.521518,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960497.9102716,0,0,0,4.499583,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960502.9735975,0,0,0,4.499583,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960508.0374331,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960513.0909734,0,0,0,4.514206,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960518.1508887,0,0,0,4.499583,0.00905615,-3.81472e-05,0.00905615,-0.252
1665960523.1951458,0,0,0,4.506895,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960528.2402387,0,0,0,4.499583,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960533.302309,0,0,0,4.514206,0.00905615,-3.81472e-05,0.00905615,-0.252
1665960538.3550966,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.294
1665960543.4136705,0,0,0,4.52883,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960548.4836776,0,0,0,4.499583,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960553.542198,0,0,0,4.514206,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960558.5938342,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960563.6702216,0,0,0,4.521518,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960568.7184577,0,0,0,4.499583,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960573.7547674,0,0,0,4.521518,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960578.7996318,0,0,0,4.506895,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960583.848142,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904089,-0.336
1665960588.9139228,0,0,0,4.506895,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960593.977788,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960599.0231645,0,0,0,4.514206,0.00903326,-3.81472e-05,0.00903326,-0.21
1665960604.0635629,0,0,0,4.506895,0.00904089,-5.3406e-05,0.00904089,-0.336
1665960609.1143606,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960614.183624,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.336
1665960619.2592402,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960624.3084116,0,0,0,4.506895,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960629.3569677,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00903326,-0.294
1665960634.4384174,0,0,0,4.52883,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960639.5051198,0,0,0,4.506895,0.00904852,-4.57766e-05,0.00905615,-0.252
1665960644.5672936,0,0,0,4.514206,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960649.630233,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960654.6690524,0,0,0,4.514206,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960659.7241943,0,0,0,4.506895,0.00904089,-3.81472e-05,0.00904089,-0.21
1665960664.7825768,0,0,0,4.521518,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960669.8362453,0,0,0,4.499583,0.00904089,-4.57766e-05,0.00904089,-0.252
1665960674.9085577,0,0,0,4.506895,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960680.0044892,0,0,0,4.492271,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960685.0547369,0,0,0,4.514206,0.00904852,-5.3406e-05,0.00904089,-0.336
1665960690.1141703,0,0,0,4.506895,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960695.161292,0,0,0,4.514206,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960700.213202,0,0,0,4.514206,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960705.2471545,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00904089,-0.294
1665960710.2981906,0,0,0,4.521518,0.00904852,-5.3406e-05,0.00904852,-0.336
1665960715.35101,0,0,0,4.514206,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960720.4095662,0,0,0,4.506895,0.00905615,-3.81472e-05,0.00905615,-0.252
1665960725.4622881,0,0,0,4.521518,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960730.5209134,0,0,0,4.514206,0.00904089,-5.3406e-05,0.00903326,-0.294
1665960735.5719442,0,0,0,4.506895,0.00903326,-5.3406e-05,0.00903326,-0.294
1665960740.6204934,0,0,0,4.514206,0.00905615,-5.3406e-05,0.00905615,-0.336
1665960745.6720452,0,0,0,4.506895,0.00905615,-3.81472e-05,0.00905615,-0.21
1665960750.7191737,0,0,0,4.492271,0.00903326,-4.57766e-05,0.00903326,-0.252
1665960755.7723372,0,0,0,4.514206,0.00905615,-4.57766e-05,0.00905615,-0.252
1665960760.8186672,0,0,0,4.521518,0.00905615,-5.3406e-05,0.00905615,-0.294
1665960765.8728108,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960770.9421191,0,0,0,4.514206,0.00904852,-3.81472e-05,0.00904852,-0.21
1665960775.9814851,0,0,0,4.521518,0.00903326,-4.57766e-05,0.00903326,-0.252
