time,voltage,PAR124,x,y,r,theta
1644729198.7730904,0.08979591836734695,-1.5654112,0.0899053,6.10356e-05,0.0899053,0.066
1644729201.7978816,0.0979591836734694,-1.7095633,0.0978398,6.10356e-05,0.0978398,0.06
1644729204.8294933,0.10612244897959185,-1.8450576,0.105835,0.000122071,0.105835,0.072
1644729207.8643615,0.1142857142857143,-1.9875559,0.113892,0.000122071,0.113892,0.066
1644729210.9150772,0.12244897959183675,-2.1208152,0.121827,0.000122071,0.121827,0.06
1644729213.961205,0.1306122448979592,-2.2570712,0.129823,0.000122071,0.129823,0.072
1644729217.0001907,0.13877551020408163,-2.4036769,0.137818,0.000122071,0.137818,0.072
1644729220.033129,0.1469387755102041,-2.5344774,0.145814,0.000122071,0.145814,0.066
1644729223.0872765,0.15510204081632656,-2.6727421,0.15381,0.000122071,0.15381,0.06
1644729226.1286087,0.163265306122449,-2.8199484,0.161744,0.000183106,0.161744,0.072
1644729229.1652353,0.17142857142857143,-2.9508209,0.16974,0.000183106,0.16974,0.066
1644729232.1872866,0.1795918367346939,-3.1314051,0.179749,0.000183106,0.179749,0.066
1644729235.2150788,0.18775510204081636,-3.2583677,0.187745,0.000183106,0.187745,0.072
1644729238.2653718,0.1959183673469388,-3.401647,0.19568,0.000183106,0.19568,0.066
1644729241.3105865,0.20408163265306123,-3.5459396,0.203675,0.000183106,0.203675,0.066
1644729244.345744,0.2122448979591837,-3.6796469,0.211671,0.000244142,0.211671,0.072
1644729247.3773959,0.22040816326530616,-3.8231687,0.219666,0.000244142,0.219666,0.072
1644729250.3981533,0.2285714285714286,-3.9470601,0.227601,0.000244142,0.227601,0.066
1644729253.4350936,0.23673469387755103,-4.0971584,0.235658,0.000244142,0.235658,0.066
1644729256.4772367,0.2448979591836735,-4.2369003,0.243592,0.000244142,0.243592,0.072
1644729259.506565,0.25306122448979596,-4.3617134,0.251589,0.000244142,0.251589,0.066
1644729262.5448983,0.2612244897959184,-4.5119791,0.259584,0.000244142,0.259584,0.066
1644729265.5655093,0.2693877551020408,-4.6381149,0.26758,0.000244142,0.26758,0.066
1644729268.5946903,0.27755102040816326,-4.8274574,0.277529,0.000305178,0.277529,0.072
1644729271.6335826,0.28571428571428575,-4.9594173,0.285524,0.000305178,0.285524,0.066
1644729274.6650205,0.2938775510204082,-5.087727,0.29352,0.000305178,0.29352,0.066
1644729277.7096443,0.3020408163265306,-5.2339649,0.301516,0.000366213,0.301516,0.072
1644729280.72707,0.3102040816326531,-5.3652,0.309511,0.000366213,0.309511,0.066
1644729283.7570674,0.31836734693877555,-5.5240378,0.317446,0.000366213,0.317446,0.066
1644729286.7883885,0.326530612244898,-5.6475348,0.325441,0.000366213,0.325441,0.072
1644729289.8183303,0.3346938775510204,-5.8010129,0.333437,0.000366213,0.333437,0.072
1644729292.8667636,0.34285714285714286,-5.9204316,0.341372,0.000366213,0.341372,0.066
1644729295.9038198,0.35102040816326535,-6.059926,0.349367,0.000366213,0.349367,0.066
1644729298.9392025,0.3591836734693878,-6.2167954,0.357363,0.000366213,0.357363,0.066
1644729301.9962933,0.3673469387755102,-6.3337864,0.365358,0.000427248,0.365358,0.066
1644729305.0365014,0.3755102040816327,-6.5125627,0.375368,0.000427248,0.375368,0.066
1644729308.089473,0.38367346938775515,-6.6661162,0.383303,0.000427248,0.383303,0.072
1644729311.129141,0.3918367346938776,-6.7916712,0.391298,0.000427248,0.391298,0.066
1644729314.1572475,0.4,-6.9426994,0.399294,0.000427248,0.399294,0.066
1644729317.1992288,0.0,-6.9165945,0.399294,0.000427248,0.399294,0.066
1644729320.2392094,0.00816326530612245,-0.1513879,0.00799567,0.0,0.00799567,0.0
1644729323.2754228,0.0163265306122449,-0.2892354,0.0159913,0.0,0.0159913,0.12
1644729326.3121455,0.02448979591836735,-0.4262976,0.0239869,0.0,0.0239869,0.078
1644729329.3444774,0.0326530612244898,-0.5659531,0.0319827,0.0,0.0319827,0.06
1644729332.3820653,0.04081632653061225,-0.7021911,0.0399783,0.0,0.0399783,0.048
1644729335.4116566,0.0489795918367347,-0.8431451,0.0479739,6.10356e-05,0.0479739,0.078
1644729338.450076,0.05714285714285715,-0.9810847,0.0559695,6.10356e-05,0.0559695,0.066
1644729341.4840302,0.0653061224489796,-1.1164885,0.0639043,6.10356e-05,0.0639043,0.06
1644729344.5263412,0.07346938775510205,-1.2588511,0.0719609,6.10356e-05,0.0719609,0.078
1644729347.5659034,0.0816326530612245,-1.4273997,0.0819097,6.10356e-05,0.0819097,0.072
1644729350.5945632,0.08979591836734695,-1.5712908,0.0899053,6.10356e-05,0.0899053,0.066
1644729353.6320696,0.0979591836734694,-1.7059658,0.0978398,6.10356e-05,0.0978398,0.06
1644729356.668455,0.10612244897959185,-1.8421982,0.105835,0.000122071,0.105835,0.072
1644729359.7001095,0.1142857142857143,-1.9878185,0.113892,0.000122071,0.113892,0.066
1644729362.7462814,0.12244897959183675,-2.1192102,0.121827,0.000122071,0.121827,0.06
1644729365.7820764,0.1306122448979592,-2.2646408,0.129823,0.000122071,0.129823,0.072
1644729368.8230994,0.13877551020408163,-2.3961184,0.137818,0.000122071,0.137818,0.072
1644729371.8593342,0.1469387755102041,-2.5348901,0.145814,0.000122071,0.145814,0.066
1644729374.9053807,0.15510204081632656,-2.6808228,0.153749,0.000122071,0.153749,0.06
1644729377.9284782,0.163265306122449,-2.8093168,0.161744,0.000183106,0.161744,0.072
1644729380.9563165,0.17142857142857143,-2.95823,0.16974,0.000183106,0.16974,0.066
1644729383.991126,0.1795918367346939,-3.1200997,0.179749,0.000183106,0.179749,0.066
1644729387.0343392,0.18775510204081636,-3.2641549,0.187745,0.000183106,0.187745,0.072
1644729390.0567431,0.1959183673469388,-3.4078483,0.19568,0.000183106,0.19568,0.066
1644729393.0853565,0.20408163265306123,-3.5330765,0.203675,0.000183106,0.203675,0.066
1644729396.1351748,0.2122448979591837,-3.6844656,0.211671,0.000244142,0.211671,0.072
1644729399.175701,0.22040816326530616,-3.8092076,0.219666,0.000244142,0.219666,0.072
1644729402.2122855,0.2285714285714286,-3.9590437,0.227601,0.000244142,0.227601,0.066
1644729405.2404504,0.23673469387755103,-4.0982503,0.235658,0.000244142,0.235658,0.066
1644729408.2792947,0.2448979591836735,-4.2237334,0.243653,0.000244142,0.243653,0.072
1644729411.3112183,0.25306122448979596,-4.3767786,0.251589,0.000244142,0.251589,0.066
1644729414.355469,0.2612244897959184,-4.5000224,0.259584,0.000244142,0.259584,0.066
1644729417.3983693,0.2693877551020408,-4.6543874,0.26758,0.000244142,0.26758,0.066
1644729420.4442942,0.27755102040816326,-4.821402,0.277529,0.000305178,0.277529,0.072
1644729423.4963572,0.28571428571428575,-4.9498109,0.285524,0.000305178,0.285524,0.066
1644729426.5396194,0.2938775510204082,-5.1073923,0.29352,0.000305178,0.29352,0.066
1644729429.5783129,0.3020408163265306,-5.2339978,0.301516,0.000366213,0.301516,0.072
1644729432.635307,0.3102040816326531,-5.3657126,0.309511,0.000366213,0.309511,0.066
1644729435.6800725,0.31836734693877555,-5.5081305,0.317446,0.000366213,0.317446,0.066
1644729438.7206464,0.326530612244898,-5.6439032,0.325441,0.000366213,0.325441,0.072
1644729441.735061,0.3346938775510204,-5.8011388,0.333437,0.000366213,0.333437,0.072
1644729444.7819014,0.34285714285714286,-5.9196572,0.341433,0.000366213,0.341433,0.066
1644729447.830084,0.35102040816326535,-6.0613174,0.349367,0.000366213,0.349367,0.066
1644729450.8788488,0.3591836734693878,-6.2167925,0.357363,0.000427248,0.357363,0.072
1644729453.9243724,0.3673469387755102,-6.3401417,0.365358,0.000427248,0.365358,0.066
1644729456.9627104,0.3755102040816327,-6.5278844,0.375368,0.000427248,0.375368,0.066
1644729459.9965806,0.38367346938775515,-6.6419963,0.383303,0.000427248,0.383303,0.072
1644729463.0268836,0.3918367346938776,-6.7928481,0.391298,0.000427248,0.391298,0.066
1644729466.0503008,0.4,-6.9412236,0.399294,0.000427248,0.399294,0.066
