t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1680639904.0652175, 0, -0.04481826, 0.0002869087, 0.04482046, 180.1004, 0, 0, 0, 0.0, +4.740302E-05, -1.055556E-09
1680639910.2210476, 0, -0.04554942, -7.850687e-05, 0.04591507, 179.6391, 0, 0, 0, 1.0, +1.000066E+00, -6.949097E-10
1680639916.3813736, 0, -0.04628058, -0.0004439224, 0.04628147, 180.098, 0, 0, 0, 2.0, +1.999979E+00, +2.650169E-10
1680639922.56172, 0, -0.04737732, 0.0002869087, 0.04664623, 180.095, 0, 0, 0, 3.0, +3.000524E+00, -2.335841E-11
1680639928.7599995, 0, -0.0477429, 0.0002869087, 0.04737739, 179.6557, 0, 0, 0, 4.0, +3.999727E+00, +6.877059E-10
1680639934.9782498, 0, -0.04847405, -0.0004439224, 0.0484749, 180.0928, 0, 0, 0, 5.0, +5.000730E+00, -5.162512E-10
1680639941.1515677, 0, -0.04957079, 0.0006523243, 0.04957508, 179.6684, 0, 0, 0, 6.0, +6.000289E+00, +4.404836E-10
1680639947.3497956, 0, -0.05030195, 0.0006523243, 0.04993834, 179.6732, 0, 0, 0, 7.0, +6.999929E+00, +1.016271E-09
1680639953.5036075, 0, -0.05103311, 0.0002869087, 0.05139949, 179.6802, 0, 0, 0, 8.0, +8.000898E+00, +2.297190E-10
1680639959.6879227, 0, -0.05249543, 0.0002869087, 0.05213063, 179.6868, 0, 0, 0, 9.0, +9.000189E+00, +4.126093E-10
1680639965.85512, 0, -0.05322658, 0.0002869087, 0.05286106, 179.6911, 0, 0, 0, 10.0, +1.000066E+01, +1.056108E-09
1680639972.0777214, 0, -0.05395774, 0.0002869087, 0.0539578, 179.6974, 0, 0, 0, 11.0, +1.100084E+01, +1.541710E-09
1680639978.2796276, 0, -0.05505448, -7.850687e-05, 0.0554208, 180.0817, 0, 0, 0, 12.0, +1.200011E+01, +8.564013E-10
1680639984.4861152, 0, -0.05615122, 0.0002869087, 0.05615127, 179.7053, 0, 0, 0, 13.0, +1.300084E+01, +1.136945E-09
1680639990.7192168, 0, -0.05688237, 0.0002869087, 0.0568831, 180.0786, 0, 0, 0, 14.0, +1.400057E+01, +1.876886E-09
1680639996.8887508, 0, -0.05797911, 0.0002869087, 0.0583454, 179.3554, 0, 0, 0, 15.0, +1.500004E+01, +1.535948E-09
1680640003.1099298, 0, -0.05944143, -7.850687e-05, 0.05944212, 179.7217, 0, 0, 0, 16.0, +1.600064E+01, +2.860102E-09
1680640009.2824142, 0, -0.06090375, 0.0006523243, 0.06017264, 179.3863, 0, 0, 0, 17.0, +1.699980E+01, +3.587817E-09
1680640015.43125, 0, -0.06236606, -7.850687e-05, 0.06237436, 179.4077, 0, 0, 0, 18.0, +1.800028E+01, +2.239172E-09
1680640021.59342, 0, -0.06455953, 0.0006523243, 0.06419401, 179.7454, 0, 0, 0, 19.0, +1.900062E+01, +2.554303E-09
1680640027.776523, 0, -0.06565627, 0.0006523243, 0.06602248, 179.751, 0, 0, 0, 20.0, +1.999986E+01, +2.834593E-09
1680640033.9397688, 0, -0.06784975, 0.0002869087, 0.06748478, 179.4491, 0, 0, 0, 21.0, +2.100057E+01, +3.665364E-09
1680640040.1238449, 0, -0.06967764, 0.00101774, 0.06968508, 180.0646, 0, 0, 0, 22.0, +2.200534E+01, +4.107988E-09
1680640046.281467, 0, -0.07150554, 0.0006523243, 0.07150852, 179.7689, 0, 0, 0, 23.0, +2.300307E+01, +4.991574E-09
1680640052.4534516, 0, -0.07369901, 0.0006523243, 0.07369906, 179.7758, 0, 0, 0, 24.0, +2.400410E+01, +6.154945E-09
