t,i,x,y,r,theta,xK,tc,therm,dc, trueGateDC, trueGateI
1680566484.0298257, 0, -0.02617373, -0.0004439224, 0.02654302, 180.9453, 0, 0, 0, -10.0, -6.873528E+00, -2.999862E-04
1680566491.0663493, 0, -0.02580815, -7.850687e-05, 0.02654302, 180.1695, 0, 0, 0, -9.0, -6.816526E+00, -2.999884E-04
1680566498.0793433, 0, -0.02617373, -0.0008093381, 0.02654302, 180.1695, 0, 0, 0, -8.0, -6.760512E+00, -2.999898E-04
1680566505.0927877, 0, -0.02580815, -0.0004439224, 0.02655164, 181.7711, 0, 0, 0, -7.0, -6.820002E+00, -2.999887E-04
1680566512.0881882, 0, -0.02617373, -0.0008093381, 0.02617749, 180.9717, 0, 0, 0, -6.0, -5.999256E+00, -2.188978E-04
1680566519.1601307, 0, -0.02617373, -0.0008093381, 0.02653942, 180.9583, 0, 0, 0, -5.0, -4.999268E+00, -1.292555E-04
1680566526.2307017, 0, -0.02617373, -0.0008093381, 0.02617749, 180.9583, 0, 0, 0, -4.0, -3.998871E+00, -5.959752E-05
1680566533.2683625, 0, -0.02617373, -0.0004439224, 0.02655164, 180.1719, 0, 0, 0, -3.0, -2.999178E+00, -1.643868E-05
1680566540.3629715, 0, -0.02617373, -0.0004439224, 0.02617384, 180.9583, 0, 0, 0, -2.0, -1.999880E+00, -3.554362E-06
1680566547.4515543, 0, -0.02617373, -0.0004439224, 0.02617749, 180.9717, 0, 0, 0, -1.0, -9.999428E-01, -4.803746E-07
1680566554.4776332, 0, -0.02617373, -7.850687e-05, 0.02654302, 180.1695, 0, 0, 0, 0.0, +1.039598E-04, +1.995777E-09
1680566561.4852035, 0, -0.02653931, -7.850687e-05, 0.02618624, 180.9717, 0, 0, 0, 1.0, +1.000059E+00, +8.791138E-07
1680566568.6307166, 0, -0.02690488, -0.0004439224, 0.02617749, 180.9583, 0, 0, 0, 2.0, +2.000001E+00, +1.643097E-05
1680566575.6834164, 0, -0.02690488, -0.0008093381, 0.02617749, 180.1719, 0, 0, 0, 3.0, +3.000540E+00, +5.528507E-05
1680566582.771324, 0, -0.02653931, -7.850687e-05, 0.02653942, 180.9583, 0, 0, 0, 4.0, +3.999661E+00, +1.073683E-04
1680566589.8157756, 0, -0.02690488, -0.0004439224, 0.02654302, 180.9717, 0, 0, 0, 5.0, +5.000584E+00, +1.672609E-04
1680566596.852024, 0, -0.02690488, -7.850687e-05, 0.02618624, 180.9583, 0, 0, 0, 6.0, +6.000235E+00, +2.340740E-04
1680566603.9121969, 0, -0.02690488, -0.0008093381, 0.02654302, 180.1719, 0, 0, 0, 7.0, +6.927231E+00, +3.000698E-04
1680566610.929468, 0, -0.02727046, -0.0004439224, 0.02617384, 180.9583, 0, 0, 0, 8.0, +6.930832E+00, +3.000707E-04
1680566617.965684, 0, -0.02690488, -0.0004439224, 0.02655164, 180.1695, 0, 0, 0, 9.0, +6.923584E+00, +3.000709E-04
1680566625.0105343, 0, -0.02690488, -0.0008093381, 0.02617749, 180.9717, 0, 0, 0, 10.0, +6.917037E+00, +3.000711E-04
