t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI,x2,y2,r2,theta2
1681280311.7568316, 0, 0.009653031, 0.0006523243, 0.01007017, 3.866007, 0, 0, 0, 80, +8.000799E+01, +7.278599E-08, -0.489565, -0.00823981, -0.0767827, -179.04
1681280317.9624698, 0, 0.009287452, 0.0002869087, 0.009310333, 3.866007, 0, 0, 0, 80, +8.000800E+01, +5.846301E-08, -0.489443, -0.00817877, -0.0769048, -179.046
1681280324.1467662, 0, 0.009653031, 0.0006523243, 0.009310333, 6.253647, 0, 0, 0, 80, +8.000820E+01, +5.170513E-08, -0.489565, -0.00817877, -0.0768437, -179.046
1681280330.343329, 0, 0.008921873, 0.0006523243, 0.009310333, 1.769423, 0, 0, 0, 80, +8.000803E+01, +4.867997E-08, -0.489626, -0.00817877, -0.0767827, -179.046
1681280336.538095, 0, 0.008921873, 0.0006523243, 0.009310333, 4.017694, 0, 0, 0, 80, +8.000825E+01, +4.521131E-08, -0.489626, -0.00817877, -0.0767827, -179.046
1681280342.7610142, 0, 0.008921873, 0.0006523243, 0.009310333, 1.769423, 0, 0, 0, 80, +8.000815E+01, +4.367631E-08, -0.489626, -0.00817877, -0.0767217, -179.046
1681280348.9463627, 0, 0.008921873, 0.00101774, 0.009343049, 4.017694, 0, 0, 0, 80, +8.000794E+01, +4.241254E-08, -0.489687, -0.00817877, -0.0767217, -179.046
1681280355.1524947, 0, 0.009653031, 0.0006523243, 0.009310333, 6.253647, 0, 0, 0, 80, +8.000826E+01, +4.088521E-08, -0.489687, -0.00817877, -0.0766606, -179.046
1681280361.380672, 0, 0.009287452, 0.0006523243, 0.009343049, 6.253647, 0, 0, 0, 80, +8.000832E+01, +3.966221E-08, -0.489748, -0.00817877, -0.0765996, -179.046
1681280367.592895, 0, 0.009287452, 0.0006523243, 0.009310333, 4.017694, 0, 0, 0, 80, +8.000814E+01, +3.986470E-08, -0.489748, -0.00817877, -0.0765996, -179.046
1681280373.778525, 0, 0.009287452, 0.0006523243, 0.008979733, 6.253647, 0, 0, 0, 80, +8.000813E+01, +3.903231E-08, -0.489809, -0.00823981, -0.0765996, -179.04
1681280379.9864404, 0, 0.008921873, 0.0006523243, 0.009310333, 1.769423, 0, 0, 0, 80, +8.000811E+01, +3.826606E-08, -0.489809, -0.00817877, -0.0765996, -179.046
1681280386.2214222, 0, 0.008921873, 0.0006523243, 0.008945689, 4.017694, 0, 0, 0, 80, +8.000829E+01, +3.783725E-08, -0.489809, -0.00817877, -0.0765386, -179.046
1681280392.4042807, 0, 0.008921873, 0.0006523243, 0.008945689, 1.841877, 0, 0, 0, 80, +8.000812E+01, +3.772243E-08, -0.489809, -0.00817877, -0.0765386, -179.046
1681280398.6240866, 0, 0.009287452, 0.0006523243, 0.008926485, 1.769423, 0, 0, 0, 80, +8.000816E+01, +3.691656E-08, -0.489809, -0.00817877, -0.0765386, -179.046
1681280404.809109, 0, 0.008921873, 0.0006523243, 0.008945689, 6.253647, 0, 0, 0, 80, +8.000823E+01, +3.638457E-08, -0.48987, -0.00817877, -0.0765386, -179.046
1681280411.0111735, 0, 0.008921873, 0.0006523243, 0.008926485, 6.253647, 0, 0, 0, 80, +8.000808E+01, +3.687672E-08, -0.48987, -0.00817877, -0.0765386, -179.046
1681280417.1964304, 0, 0.008921873, 0.00101774, 0.008616609, 4.181749, 0, 0, 0, 80, +8.000811E+01, +3.632479E-08, -0.48987, -0.00823981, -0.0765386, -179.04
1681280423.4156458, 0, 0.009287452, 0.0006523243, 0.008945689, 4.181749, 0, 0, 0, 80, +8.000832E+01, +3.559220E-08, -0.48987, -0.00817877, -0.0764775, -179.046
1681280429.5929797, 0, 0.008921873, 0.00101774, 0.009310333, 4.181749, 0, 0, 0, 80, +8.000806E+01, +3.582937E-08, -0.48987, -0.00817877, -0.0764775, -179.046
1681280435.7728453, 0, 0.009287452, 0.0006523243, 0.008616609, 4.181749, 0, 0, 0, 80, +8.000829E+01, +3.514757E-08, -0.48987, -0.00817877, -0.0764775, -179.046
1681280443.5076466, 0, 0.00563166, 0.0006523243, 0.006004098, 6.2077, 0, 0, 0, 0.0, +3.997008E-05, -6.557400E-09, 0.00563166, 0.0006523243, 0.006032612, 6.2077
1681280450.2474208, 0, 0.00563166, 0.0006523243, 0.005669314, 6.2077, 0, 0, 0, 0.8, +8.000757E-01, -5.304681E-10, 0.00599724, 0.00101774, 0.005669314, 6.2077
1681280456.964733, 0, 0.00599724, 0.001383155, 0.006032612, 9.087543, 0, 0, 0, 1.6, +1.600081E+00, +1.198652E-10, 0.00599724, 0.0002869087, 0.006082983, 2.738949
1681280463.6930463, 0, 0.00599724, 0.0006523243, 0.006004098, 12.98715, 0, 0, 0, 2.4000000000000004, +2.400462E+00, +4.953733E-11, 0.00599724, 0.0002869087, 0.005669314, 6.2077
1681280470.4363413, 0, 0.00599724, 0.001383155, 0.006082983, 6.2077, 0, 0, 0, 3.2, +3.200392E+00, +4.698376E-10, 0.00599724, 0.0006523243, 0.006082983, 2.738949
1681280477.1352718, 0, 0.00599724, 0.0006523243, 0.006082983, 6.2077, 0, 0, 0, 4.0, +3.999630E+00, +6.274061E-10, 0.00599724, 0.0002869087, 0.005669314, 2.738949
1681280483.9070034, 0, 0.00599724, 0.0002869087, 0.006032612, 6.607217, 0, 0, 0, 4.800000000000001, +4.800352E+00, +2.624388E-10, 0.00599724, 0.0002869087, 0.006032612, 6.2077
1681280490.6306975, 0, 0.00599724, 0.00101774, 0.006443699, 2.738949, 0, 0, 0, 5.6000000000000005, +5.600623E+00, +9.424415E-10, 0.00563166, 0.0006523243, 0.00639617, 9.631414
1681280497.3378646, 0, 0.00599724, 0.00101774, 0.006032612, 9.631414, 0, 0, 0, 6.4, +6.399855E+00, +7.165145E-10, 0.00599724, 0.00101774, 0.006082983, 6.2077
1681280504.0745993, 0, 0.006362819, 0.0006523243, 0.006004098, 5.853584, 0, 0, 0, 7.2, +7.200184E+00, +9.344649E-10, 0.00599724, 0.0006523243, 0.006443699, 2.738949
1681280510.7886112, 0, 0.00599724, 0.00101774, 0.006032612, 9.631414, 0, 0, 0, 8.0, +8.000849E+00, +9.550629E-10, 0.00599724, 0.0006523243, 0.006032612, 6.2077
1681280517.4706085, 0, 0.006362819, 0.0006523243, 0.006032612, 6.2077, 0, 0, 0, 8.8, +8.800047E+00, +1.425295E-09, 0.00599724, 0.00101774, 0.006032612, 6.2077
1681280524.2223067, 0, 0.00599724, 0.00101774, 0.006004098, 5.853584, 0, 0, 0, 9.600000000000001, +9.599996E+00, +1.713067E-09, 0.006362819, 0.0006523243, 0.006004098, 5.853584
1681280530.920721, 0, 0.00599724, 0.0006523243, 0.006032612, 6.2077, 0, 0, 0, 10.4, +1.040080E+01, +1.489412E-09, 0.00599724, 0.00101774, 0.00639617, 5.853584
1681280537.6430593, 0, 0.006362819, 0.0006523243, 0.006032612, 9.631414, 0, 0, 0, 11.200000000000001, +1.120089E+01, +1.538688E-09, 0.00599724, 0.0006523243, 0.006032612, 9.087543
1681280544.358358, 0, 0.006362819, 0.0006523243, 0.006032612, 5.853584, 0, 0, 0, 12.0, +1.199995E+01, +1.936317E-09, 0.00599724, 0.0006523243, 0.00639617, 6.2077
1681280551.076347, 0, 0.00599724, 0.0006523243, 0.006004098, 5.853584, 0, 0, 0, 12.8, +1.280059E+01, +1.947325E-09, 0.00599724, 0.0002869087, 0.006082983, 2.5818
1681280557.832687, 0, 0.00599724, 0.0006523243, 0.006032612, 5.853584, 0, 0, 0, 13.600000000000001, +1.360103E+01, +2.071219E-09, 0.006362819, 0.0006523243, 0.006082983, 6.2077
1681280564.5508034, 0, 0.006362819, 0.0002869087, 0.006759945, 5.853584, 0, 0, 0, 14.4, +1.440002E+01, +2.782524E-09, 0.006362819, 0.00101774, 0.00639617, 6.2077
1681280571.2761033, 0, 0.006362819, 0.0006523243, 0.006443699, 5.53757, 0, 0, 0, 15.200000000000001, +1.520024E+01, +2.450929E-09, 0.006362819, 0.0006523243, 0.006004098, 5.853584
1681280577.9916883, 0, 0.006362819, 0.0006523243, 0.006032612, 2.5818, 0, 0, 0, 16.0, +1.600076E+01, +3.084182E-09, 0.00599724, 0.0006523243, 0.006759945, 2.441696
1681280584.7274077, 0, 0.006728398, 0.0006523243, 0.00639617, 9.087543, 0, 0, 0, 16.8, +1.680035E+01, +2.850832E-09, 0.006362819, 0.0006523243, 0.006443699, 5.853584
1681280591.4528384, 0, 0.006362819, 0.00101774, 0.00639617, 5.53757, 0, 0, 0, 17.6, +1.759967E+01, +3.453742E-09, 0.006362819, 0.00101774, 0.00639617, 9.087543
1681280598.1764293, 0, 0.006362819, 0.00101774, 0.00639617, 8.601375, 0, 0, 0, 18.400000000000002, +1.840036E+01, +3.608635E-09, 0.006362819, 0.0002869087, 0.006082983, 9.087543
1681280604.8902042, 0, 0.006362819, 0.0002869087, 0.00639617, 5.53757, 0, 0, 0, 19.200000000000003, +1.920060E+01, +3.735102E-09, 0.00599724, 0.00101774, 0.006004098, 9.087543
1681280611.5985982, 0, 0.006362819, 0.00101774, 0.00639617, 5.53757, 0, 0, 0, 20.0, +1.999978E+01, +4.039487E-09, 0.006362819, 0.0006523243, 0.006804934, 5.853584
1681280618.3477242, 0, 0.006362819, 0.0006523243, 0.006369284, 9.087543, 0, 0, 0, 20.8, +2.080048E+01, +3.842945E-09, 0.006362819, 0.0006523243, 0.00639617, 5.853584
1681280625.0663726, 0, 0.006728398, 0.0006523243, 0.00639617, 5.53757, 0, 0, 0, 21.6, +2.160209E+01, +4.556918E-09, 0.006362819, 0.00101774, 0.006443699, 9.631414
1681280631.7985594, 0, 0.006362819, 0.0002869087, 0.006443699, 2.441696, 0, 0, 0, 22.400000000000002, +2.240255E+01, +4.497450E-09, 0.006362819, 0.0006523243, 0.00639617, 5.853584
1681280638.518959, 0, 0.006728398, 0.0006523243, 0.006734512, 9.087543, 0, 0, 0, 23.200000000000003, +2.320311E+01, +4.529407E-09, 0.006362819, 0.0006523243, 0.00639617, 5.853584
1681280645.2260447, 0, 0.006728398, 0.0006523243, 0.006759945, 5.53757, 0, 0, 0, 24.0, +2.400366E+01, +4.687683E-09, 0.007093977, 0.0006523243, 0.00639617, 5.853584
1681280651.96887, 0, 0.006362819, 0.0002869087, 0.006759945, 5.53757, 0, 0, 0, 24.8, +2.480373E+01, +5.031795E-09, 0.006728398, 0.0002869087, 0.00639617, 8.601375
1681280658.663753, 0, 0.006728398, 0.00101774, 0.006759945, 5.53757, 0, 0, 0, 25.6, +2.560411E+01, +5.650513E-09, 0.006362819, 0.0002869087, 0.00639617, 9.087543
1681280665.3918178, 0, 0.007093977, 0.0006523243, 0.006804934, 8.601375, 0, 0, 0, 26.400000000000002, +2.640447E+01, +5.964589E-09, 0.007093977, 0.00101774, 0.00639617, 9.087543
1681280672.1073053, 0, 0.006728398, 0.0006523243, 0.006443699, 9.087543, 0, 0, 0, 27.200000000000003, +2.720405E+01, +5.815754E-09, 0.006362819, 0.0002869087, 0.006443699, 8.601375
1681280678.8524237, 0, 0.006728398, 0.00101774, 0.007166611, 2.441696, 0, 0, 0, 28.0, +2.800647E+01, +6.322388E-09, 0.006728398, 0.00101774, 0.006369284, 2.441696
1681280685.5595236, 0, 0.007093977, 0.0006523243, 0.006443699, 5.53757, 0, 0, 0, 28.8, +2.880577E+01, +6.136444E-09, 0.006728398, 0.0002869087, 0.006759945, 5.53757
1681280692.2601688, 0, 0.006728398, 0.0006523243, 0.006759945, 5.53757, 0, 0, 0, 29.6, +2.960523E+01, +6.410991E-09, 0.006728398, 0.0006523243, 0.006369284, 5.253839
1681280698.9826953, 0, 0.006728398, 0.0006523243, 0.006734512, 8.601375, 0, 0, 0, 30.400000000000002, +3.040451E+01, +6.953214E-09, 0.006728398, 0.0002869087, 0.006804934, 5.253839
1681280705.6973588, 0, 0.006728398, 0.00101774, 0.006804934, 2.441696, 0, 0, 0, 31.200000000000003, +3.120401E+01, +6.922574E-09, 0.006728398, 0.0006523243, 0.006759945, 5.53757
