t,i,x,y,r,theta,xK,tc,therm,dc, trueGateDC, trueGateI
1680563991.4933922, 0, -0.08795661, -7.850687e-05, 0.08795707, 179.8139, 0, 0, 0, 0.0, +4.107878E-05, -1.111443E-09
1680563998.5425205, 0, -0.08795661, 0.0002869087, 0.08832222, 180.2892, 0, 0, 0, 0.1, +1.000538E-01, +6.425972E-09
1680564005.5741165, 0, -0.08795661, 0.0006523243, 0.08795664, 179.8131, 0, 0, 0, 0.2, +2.000451E-01, +2.017529E-08
1680564012.5816054, 0, -0.08832218, 0.0002869087, 0.08795772, 180.0509, 0, 0, 0, 0.30000000000000004, +3.000375E-01, +4.062173E-08
1680564019.5967736, 0, -0.08868776, -7.850687e-05, 0.08832222, 180.0512, 0, 0, 0, 0.4, +3.999996E-01, +6.616219E-08
1680564026.6338284, 0, -0.08832218, 0.0002869087, 0.08795772, 179.8131, 0, 0, 0, 0.5, +5.000423E-01, +1.004503E-07
1680564033.6466093, 0, -0.08832218, -7.850687e-05, 0.08832265, 180.0512, 0, 0, 0, 0.6000000000000001, +6.000277E-01, +1.429424E-07
1680564040.6562705, 0, -0.08832218, 0.0002869087, 0.08832265, 179.8139, 0, 0, 0, 0.7000000000000001, +7.000159E-01, +2.042598E-07
1680564047.7018816, 0, -0.08832218, -7.850687e-05, 0.08795664, 179.8123, 0, 0, 0, 0.8, +8.001049E-01, +2.824290E-07
1680564054.6997728, 0, -0.08795661, -7.850687e-05, 0.08795664, 180.0509, 0, 0, 0, 0.9, +9.000309E-01, +3.896386E-07
1680564061.7004063, 0, -0.08832218, -7.850687e-05, 0.08795664, 179.5751, 0, 0, 0, 1.0, +1.000041E+00, +5.322105E-07
1680564068.7198443, 0, -0.08832218, -7.850687e-05, 0.08832222, 180.0512, 0, 0, 0, 1.1, +1.100075E+00, +7.125890E-07
1680564075.762023, 0, -0.08832218, 0.0006523243, 0.08795772, 180.0509, 0, 0, 0, 1.2000000000000002, +1.200041E+00, +9.344881E-07
1680564082.9018645, 0, -0.08795661, 0.0002869087, 0.08795664, 179.8131, 0, 0, 0, 1.3, +1.300083E+00, +1.222368E-06
1680564089.922438, 0, -0.08832218, -7.850687e-05, 0.08795664, 180.2892, 0, 0, 0, 1.4000000000000001, +1.400074E+00, +1.559976E-06
1680564096.935609, 0, -0.08868776, -7.850687e-05, 0.08832265, 180.0509, 0, 0, 0, 1.5, +1.500010E+00, +1.975797E-06
1680564103.948988, 0, -0.08832218, -7.850687e-05, 0.08832222, 180.0509, 0, 0, 0, 1.6, +1.600098E+00, +2.464577E-06
1680564110.9932628, 0, -0.08868776, -7.850687e-05, 0.08832265, 180.0512, 0, 0, 0, 1.7000000000000002, +1.700008E+00, +3.057120E-06
1680564118.0225446, 0, -0.08832218, -7.850687e-05, 0.08832222, 179.5768, 0, 0, 0, 1.8, +1.800020E+00, +3.731712E-06
1680564125.0291848, 0, -0.08905335, -7.850687e-05, 0.08795772, 180.0509, 0, 0, 0, 1.9000000000000001, +1.900075E+00, +4.543891E-06
1680564132.0776932, 0, -0.08905335, -7.850687e-05, 0.08759215, 179.8131, 0, 0, 0, 2.0, +2.000015E+00, +5.462717E-06
1680564139.0970623, 0, -0.08868776, 0.0002869087, 0.08795664, 180.0512, 0, 0, 0, 2.1, +2.100062E+00, +6.547196E-06
1680564146.1220925, 0, -0.08832218, -7.850687e-05, 0.08832265, 179.5751, 0, 0, 0, 2.2, +2.200315E+00, +7.777907E-06
1680564153.160627, 0, -0.08905335, -7.850687e-05, 0.08795664, 180.0512, 0, 0, 0, 2.3000000000000003, +2.300556E+00, +9.209825E-06
1680564160.3014495, 0, -0.08905335, 0.0002869087, 0.08832265, 180.0512, 0, 0, 0, 2.4000000000000004, +2.400515E+00, +1.081364E-05
1680564167.339974, 0, -0.08941893, -7.850687e-05, 0.08832222, 180.2892, 0, 0, 0, 2.5, +2.500646E+00, +1.261134E-05
1680564174.3665118, 0, -0.08905335, -7.850687e-05, 0.08795664, 179.8131, 0, 0, 0, 2.6, +2.600742E+00, +1.471374E-05
1680564181.421437, 0, -0.08905335, -7.850687e-05, 0.08832222, 179.5751, 0, 0, 0, 2.7, +2.700507E+00, +1.702726E-05
1680564188.4642231, 0, -0.08868776, 0.0002869087, 0.08795707, 180.0512, 0, 0, 0, 2.8000000000000003, +2.800504E+00, +1.958371E-05
1680564195.4837446, 0, -0.08905335, -7.850687e-05, 0.08795707, 180.0512, 0, 0, 0, 2.9000000000000004, +2.900497E+00, +2.241631E-05
1680564202.5073993, 0, -0.08941893, -0.0004439224, 0.08832222, 180.0512, 0, 0, 0, 3.0, +3.000517E+00, +2.556058E-05
1680564209.5355265, 0, -0.08905335, -7.850687e-05, 0.08832265, 180.0512, 0, 0, 0, 3.1, +3.100541E+00, +2.908052E-05
1680564216.5456805, 0, -0.0897845, 0.0002869087, 0.08832265, 180.0512, 0, 0, 0, 3.2, +3.200527E+00, +3.299828E-05
1680564223.5591917, 0, -0.08941893, -7.850687e-05, 0.08795707, 180.2892, 0, 0, 0, 3.3000000000000003, +3.300185E+00, +3.729279E-05
1680564230.61769, 0, -0.08941893, -7.850687e-05, 0.08832222, 179.8131, 0, 0, 0, 3.4000000000000004, +3.400114E+00, +4.194095E-05
1680564237.650774, 0, -0.08941893, -7.850687e-05, 0.08795664, 179.8139, 0, 0, 0, 3.5, +3.500129E+00, +4.705515E-05
1680564244.696504, 0, -0.08941893, 0.0002869087, 0.08832222, 180.0512, 0, 0, 0, 3.6, +3.600125E+00, +5.274522E-05
1680564251.7097712, 0, -0.0897845, -7.850687e-05, 0.08795664, 180.0512, 0, 0, 0, 3.7, +3.700166E+00, +5.886134E-05
1680564258.7158644, 0, -0.0897845, -7.850687e-05, 0.08832265, 180.0509, 0, 0, 0, 3.8000000000000003, +3.800140E+00, +6.544078E-05
1680564265.7356417, 0, -0.0897845, -0.0004439224, 0.08832222, 180.0509, 0, 0, 0, 3.9000000000000004, +3.899828E+00, +7.263261E-05
1680564272.757765, 0, -0.0897845, -0.0004439224, 0.08795664, 180.0509, 0, 0, 0, 4.0, +3.999857E+00, +8.097462E-05
1680564279.8076026, 0, -0.0897845, 0.0002869087, 0.08832222, 180.0512, 0, 0, 0, 4.1000000000000005, +4.099999E+00, +8.995170E-05
1680564286.8398528, 0, -0.0897845, -0.0004439224, 0.08795664, 180.2892, 0, 0, 0, 4.2, +4.200146E+00, +9.919176E-05
1680564293.9196668, 0, -0.08941893, -7.850687e-05, 0.08832265, 180.0512, 0, 0, 0, 4.3, +4.300053E+00, +1.093941E-04
