t,i,x,y,r,theta,xK,tc,therm,dc
1680389961.0191596, 0, 0.0002374872, -0.0002005618, 0.0003196566, 321.2938, 0, 0, 0, 0.0
1680389966.2320092, 0, 0.0002521104, -0.0002064084, 0.0003267562, 320.5286, 0, 0, 0, 6.666666666666667
1680389971.41801, 0, 0.0002023916, -0.0002034851, 0.000301887, 316.2675, 0, 0, 0, 13.333333333333334
1680389976.5936947, 0, 0.0002257887, -0.0002020234, 0.0003020026, 318.9066, 0, 0, 0, 20.0
1680389981.7756512, 0, 0.0002009293, -0.0001991001, 0.000284934, 317.4481, 0, 0, 0, 26.666666666666668
1680389986.9545057, 0, 0.0002170148, -0.0001991001, 0.0002912927, 316.6727, 0, 0, 0, 33.333333333333336
1680389992.1347258, 0, 0.0002097032, -0.0001991001, 0.0002955003, 317.8081, 0, 0, 0, 40.0
1680389997.3330212, 0, 0.0002418741, -0.0002049467, 0.0003375384, 322.6141, 0, 0, 0, 46.66666666666667
1680390002.5243466, 0, 0.0002667335, -0.00020787, 0.0003280964, 321.8474, 0, 0, 0, 53.333333333333336
1680390007.7044756, 0, 0.0002418741, -0.0002034851, 0.0003009108, 318.2234, 0, 0, 0, 60.0
