t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI,x2,y2,r2,theta2
1681267187.4515078, 0, 0.0155023, -0.0004439224, 0.01550865, 358.3597, 0, 0, 0, 80, +8.000835E+01, +1.069165E-07, -0.48456, -0.00811774, -0.0817876, -179.04
1681267193.6387205, 0, 0.01513672, -0.0004439224, 0.01514323, 358.3201, 0, 0, 0, 80, +8.000832E+01, +1.051416E-07, -0.483828, -0.00811774, -0.08252, -179.04
1681267199.83289, 0, 0.0155023, -0.0004439224, 0.01514323, 1.06028, 0, 0, 0, 80, +8.000824E+01, +1.041758E-07, -0.483889, -0.00811774, -0.082459, -179.04
1681267206.0181625, 0, 0.01477114, -7.850687e-05, 0.01514323, 359.7098, 0, 0, 0, 80, +8.000822E+01, +1.038192E-07, -0.48395, -0.00811774, -0.0823979, -179.04
1681267212.205032, 0, 0.01477114, -7.850687e-05, 0.01513692, 356.9394, 0, 0, 0, 80, +8.000853E+01, +1.019136E-07, -0.484011, -0.00811774, -0.0823979, -179.04
1681267218.4285665, 0, 0.01513672, -7.850687e-05, 0.01514323, 359.6955, 0, 0, 0, 80, +8.000833E+01, +1.007241E-07, -0.484011, -0.00811774, -0.0823369, -179.04
1681267224.644654, 0, 0.01513672, -0.0004439224, 0.01513692, 359.7029, 0, 0, 0, 80, +8.000816E+01, +1.012153E-07, -0.484011, -0.00811774, -0.0823369, -179.04
1681267230.8569984, 0, 0.0155023, -0.0004439224, 0.01514323, 358.3201, 0, 0, 0, 80, +8.000836E+01, +9.971507E-08, -0.484072, -0.00811774, -0.0823369, -179.04
1681267237.0617175, 0, 0.01477114, -0.0004439224, 0.01514323, 359.6955, 0, 0, 0, 80, +8.000808E+01, +9.909374E-08, -0.484072, -0.00811774, -0.0822759, -179.04
1681267243.2538826, 0, 0.01513672, -0.0004439224, 0.01514323, 358.3597, 0, 0, 0, 80, +8.000806E+01, +9.870723E-08, -0.484072, -0.00811774, -0.0822759, -179.04
1681267249.4288576, 0, 0.01440556, -0.0004439224, 0.01477135, 359.7029, 0, 0, 0, 80, +8.000827E+01, +9.673353E-08, -0.484133, -0.00811774, -0.0822759, -179.04
1681267255.620256, 0, 0.01513672, -0.0004439224, 0.01514323, 358.2786, 0, 0, 0, 80, +8.000831E+01, +9.616505E-08, -0.484133, -0.00811774, -0.0822148, -179.04
1681267261.8174298, 0, 0.01477114, -0.0004439224, 0.01481778, 358.2786, 0, 0, 0, 80, +8.000822E+01, +9.587913E-08, -0.484133, -0.00811774, -0.0822148, -179.04
1681267268.0025983, 0, 0.0155023, -7.850687e-05, 0.0147933, 358.3201, 0, 0, 0, 80, +8.000814E+01, +9.557093E-08, -0.484194, -0.00811774, -0.0822148, -179.04
1681267274.1852713, 0, 0.01477114, -0.001174754, 0.01514323, 358.2786, 0, 0, 0, 80, +8.000820E+01, +9.497197E-08, -0.484194, -0.00811774, -0.0822148, -179.04
1681267280.3962905, 0, 0.01477114, -0.0004439224, 0.01477135, 359.6877, 0, 0, 0, 80, +8.000810E+01, +9.509315E-08, -0.484194, -0.00811774, -0.0822148, -179.04
1681267286.6237707, 0, 0.01477114, -0.0004439224, 0.01515834, 358.2786, 0, 0, 0, 80, +8.000826E+01, +9.398546E-08, -0.484194, -0.00811774, -0.0821538, -179.04
1681267292.7919168, 0, 0.01513672, -0.0008093381, 0.0144124, 358.2786, 0, 0, 0, 80, +8.000803E+01, +9.415502E-08, -0.484194, -0.00811774, -0.0821538, -179.04
1681267298.9908772, 0, 0.01440556, -0.0008093381, 0.01477135, 358.2349, 0, 0, 0, 80, +8.000837E+01, +9.273886E-08, -0.484255, -0.00811774, -0.0821538, -179.04
1681267305.165723, 0, 0.01513672, -0.0004439224, 0.01477135, 358.2786, 0, 0, 0, 80, +8.000822E+01, +9.269024E-08, -0.484255, -0.00811774, -0.0821538, -179.04
1681267311.3579857, 0, 0.01477114, -0.0008093381, 0.01477781, 356.9394, 0, 0, 0, 80, +8.000832E+01, +9.240468E-08, -0.484255, -0.00811774, -0.0820928, -179.04
1681267319.0554893, 0, 0.005266081, -0.0008093381, 0.005689519, 351.8219, 0, 0, 0, 0.0, +3.340936E-05, -5.653871E-09, 0.005266081, -0.0004439224, 0.005752881, 355.4929
1681267325.7658746, 0, 0.00563166, -7.850687e-05, 0.006013647, 351.8219, 0, 0, 0, 4.02, +4.019743E+00, +1.402628E-09, 0.00563166, -0.0004439224, 0.005632207, 355.7666
1681267332.4848695, 0, 0.00563166, -0.0004439224, 0.006013647, 355.4929, 0, 0, 0, 8.04, +8.040698E+00, +3.372412E-09, 0.00599724, -0.0004439224, 0.005997753, 355.7666
1681267339.1921167, 0, 0.00599724, -0.0004439224, 0.006414086, 356.009, 0, 0, 0, 12.059999999999999, +1.206010E+01, +6.030223E-09, 0.00599724, -0.0008093381, 0.006051604, 352.3143
1681267345.8965065, 0, 0.006362819, -7.850687e-05, 0.006378286, 359.25, 0, 0, 0, 16.08, +1.608075E+01, +8.588833E-09, 0.006362819, -0.0004439224, 0.006013647, 356.009
1681267352.6603713, 0, 0.007093977, -0.0004439224, 0.006743026, 359.3315, 0, 0, 0, 20.099999999999998, +2.009977E+01, +1.101087E-08, 0.006362819, -7.850687e-05, 0.006776899, 356.009
1681267359.368779, 0, 0.006728398, -0.0004439224, 0.007139996, 353.4914, 0, 0, 0, 24.119999999999997, +2.412519E+01, +1.392434E-08, 0.006728398, -7.850687e-05, 0.006776899, 356.4193
1681267366.1005642, 0, 0.007093977, -0.0004439224, 0.007107853, 356.4193, 0, 0, 0, 28.139999999999997, +2.814496E+01, +1.676636E-08, 0.007093977, -0.0004439224, 0.006743026, 359.3659
1681267372.8456545, 0, 0.007459556, -0.0004439224, 0.007472754, 353.8078, 0, 0, 0, 32.16, +3.216105E+01, +2.015506E-08, 0.007459556, -0.0004439224, 0.007503333, 359.3659
1681267379.5743804, 0, 0.007825135, -0.0004439224, 0.007503333, 356.5943, 0, 0, 0, 36.17999999999999, +3.617978E+01, +2.406384E-08, 0.007825135, -0.0008093381, 0.007472754, 354.095
1681267386.286865, 0, 0.007825135, -0.0004439224, 0.008202735, 356.8977, 0, 0, 0, 40.199999999999996, +4.019691E+01, +2.770830E-08, 0.008190715, -0.0008093381, 0.008191091, 354.095
