t,i,x,y,r,theta,xK,tc,therm,dc,trueGateDC,trueGateI
1681169582.7641559, 0, 0.005266081, -0.0004439224, 0.005266666, 351.2626, 0, 0, 0, 0.0, +4.259276E-05, +1.199980E-09
1681169588.920036, 0, 0.005266081, -0.0004439224, 0.005284759, 351.8219, 0, 0, 0, 1.0, +1.000060E+00, +9.477038E-09
1681169595.1098373, 0, 0.005266081, -0.0004439224, 0.00564913, 354.8239, 0, 0, 0, 2.0, +1.999995E+00, +1.727139E-08
1681169601.3184087, 0, 0.00563166, -0.0004439224, 0.005266666, 348.2172, 0, 0, 0, 3.0, +3.000513E+00, +2.463255E-08
1681169607.5103211, 0, 0.005266081, -0.0004439224, 0.005284759, 355.1815, 0, 0, 0, 4.0, +3.999750E+00, +3.199115E-08
1681169613.7059503, 0, 0.005266081, -0.0004439224, 0.00564913, 359.1459, 0, 0, 0, 5.0, +5.000637E+00, +3.919330E-08
1681169619.9114206, 0, 0.005266081, -0.0004439224, 0.00564913, 351.2626, 0, 0, 0, 6.0, +6.000271E+00, +4.586187E-08
1681169626.1323063, 0, 0.00563166, -0.0008093381, 0.005284759, 355.4929, 0, 0, 0, 7.0, +6.999977E+00, +5.196913E-08
1681169632.3415759, 0, 0.00563166, -0.0004439224, 0.00564913, 355.4929, 0, 0, 0, 8.0, +8.000862E+00, +5.815667E-08
1681169638.5261617, 0, 0.00563166, -0.0004439224, 0.005266666, 355.4929, 0, 0, 0, 9.0, +9.000140E+00, +6.320411E-08
1681169644.7275903, 0, 0.00599724, -7.850687e-05, 0.005689519, 351.8219, 0, 0, 0, 10.0, +1.000066E+01, +6.854030E-08
1681169650.9188092, 0, 0.00563166, -0.0004439224, 0.006013647, 355.4929, 0, 0, 0, 10.0, +1.000065E+01, +6.598545E-08
1681169657.084146, 0, 0.00563166, -0.0008093381, 0.00564913, 351.8219, 0, 0, 0, 9.0, +9.000111E+00, +5.671307E-08
1681169663.303455, 0, 0.005266081, -0.0004439224, 0.005632207, 355.4929, 0, 0, 0, 8.0, +8.000875E+00, +4.864790E-08
1681169669.501861, 0, 0.00563166, -0.0008093381, 0.005266666, 351.8219, 0, 0, 0, 7.0, +6.999966E+00, +4.091564E-08
1681169675.6806498, 0, 0.00563166, -0.0004439224, 0.005284759, 351.8219, 0, 0, 0, 6.0, +6.000286E+00, +3.369065E-08
1681169681.88534, 0, 0.00563166, -7.850687e-05, 0.005284759, 351.2626, 0, 0, 0, 5.0, +5.000624E+00, +2.734178E-08
1681169688.0392203, 0, 0.005266081, -0.0004439224, 0.00564913, 355.1815, 0, 0, 0, 4.0, +3.999693E+00, +2.110021E-08
1681169694.2271214, 0, 0.004900502, -0.0008093381, 0.005327911, 359.2013, 0, 0, 0, 3.0, +3.000473E+00, +1.504443E-08
1681169700.4226298, 0, 0.005266081, -0.0004439224, 0.005284759, 346.5194, 0, 0, 0, 2.0, +1.999998E+00, +9.048152E-09
1681169706.6225362, 0, 0.005266081, -0.0004439224, 0.00564913, 359.1459, 0, 0, 0, 1.0, +1.000062E+00, +3.702055E-09
1681169712.829983, 0, 0.005266081, -0.0004439224, 0.005266666, 355.1815, 0, 0, 0, 0.0, +4.329953E-05, -2.131561E-09
1681169719.0255325, 0, 0.004900502, -0.0008093381, 0.005284759, 355.1815, 0, 0, 0, 0.0, +4.006979E-05, -1.780616E-09
1681169725.1949728, 0, 0.005266081, -0.0008093381, 0.004920568, 350.622, 0, 0, 0, -1.0, -9.999354E-01, -8.614077E-09
1681169731.4024181, 0, 0.005266081, -0.0008093381, 0.005284759, 351.2626, 0, 0, 0, -2.0, -1.999865E+00, -1.586219E-08
1681169737.6020515, 0, 0.005266081, -7.850687e-05, 0.005266666, 350.622, 0, 0, 0, -3.0, -2.999195E+00, -2.324937E-08
1681169743.8232493, 0, 0.004900502, -0.0004439224, 0.004966885, 351.8219, 0, 0, 0, -4.0, -3.998764E+00, -3.114814E-08
1681169750.018214, 0, 0.004900502, -0.0004439224, 0.004920568, 351.2626, 0, 0, 0, -5.0, -4.999331E+00, -3.980191E-08
1681169756.2282927, 0, 0.004900502, -0.0008093381, 0.004920568, 351.2626, 0, 0, 0, -6.0, -5.999257E+00, -4.827350E-08
1681169762.427853, 0, 0.004900502, -0.0004439224, 0.004920568, 350.622, 0, 0, 0, -7.0, -6.998964E+00, -5.688176E-08
1681169768.616856, 0, 0.004900502, -0.0008093381, 0.004920568, 351.2626, 0, 0, 0, -8.0, -7.999872E+00, -6.571509E-08
1681169774.8225286, 0, 0.004900502, -0.0004439224, 0.004556599, 355.1815, 0, 0, 0, -9.0, -8.999078E+00, -7.476878E-08
1681169781.0098584, 0, 0.004900502, -0.0008093381, 0.004966885, 354.8239, 0, 0, 0, -10.0, -9.999556E+00, -8.411672E-08
1681169787.2219434, 0, 0.004900502, -0.0004439224, 0.004966885, 350.622, 0, 0, 0, -10.0, -9.999603E+00, -8.414935E-08
1681169793.4275725, 0, 0.004534923, -0.0008093381, 0.004920568, 350.622, 0, 0, 0, -9.0, -8.999060E+00, -7.584249E-08
1681169799.606914, 0, 0.004900502, -0.0008093381, 0.004901131, 359.0822, 0, 0, 0, -8.0, -7.999900E+00, -6.688359E-08
1681169805.7987268, 0, 0.004900502, -0.0004439224, 0.005284759, 350.622, 0, 0, 0, -7.0, -6.998981E+00, -5.832836E-08
1681169811.9739363, 0, 0.004900502, -0.0008093381, 0.004920568, 355.1815, 0, 0, 0, -6.0, -5.999293E+00, -4.962137E-08
1681169818.163133, 0, 0.004900502, -0.0008093381, 0.004966885, 354.8239, 0, 0, 0, -5.0, -4.999340E+00, -4.108229E-08
1681169824.372008, 0, 0.005266081, -0.0004439224, 0.004966885, 351.2626, 0, 0, 0, -4.0, -3.998785E+00, -3.227993E-08
1681169830.5608678, 0, 0.004900502, -7.850687e-05, 0.004920568, 354.8239, 0, 0, 0, -3.0, -2.999162E+00, -2.401876E-08
1681169836.7646763, 0, 0.004900502, -0.0004439224, 0.005284759, 355.4929, 0, 0, 0, -2.0, -1.999867E+00, -1.545717E-08
1681169842.9709861, 0, 0.005266081, -0.0008093381, 0.005395522, 355.1815, 0, 0, 0, -1.0, -9.999393E-01, -7.062818E-09
1681169849.1499345, 0, 0.005266081, -0.0008093381, 0.005327911, 354.8239, 0, 0, 0, 0.0, +1.042610E-04, +8.745401E-10
1681169855.3520074, 0, 0.005266081, -0.0004439224, 0.005284759, 355.1815, 0, 0, 0, 0.0, +1.011321E-04, +7.934085E-10
1681169861.5765955, 0, 0.005266081, -0.0004439224, 0.004966885, 355.4929, 0, 0, 0, 1.0, +1.000064E+00, +8.650364E-09
1681169867.7726004, 0, 0.005266081, -0.0008093381, 0.005284759, 351.2626, 0, 0, 0, 2.0, +1.999997E+00, +1.662421E-08
1681169873.9488473, 0, 0.005266081, -7.850687e-05, 0.005327911, 359.2013, 0, 0, 0, 3.0, +3.000456E+00, +2.429908E-08
1681169880.1668096, 0, 0.00563166, -0.0008093381, 0.005284759, 351.8219, 0, 0, 0, 4.0, +3.999691E+00, +3.146297E-08
1681169886.3850205, 0, 0.00563166, -0.0004439224, 0.00564913, 355.4929, 0, 0, 0, 5.0, +5.000665E+00, +3.792132E-08
1681169892.5553918, 0, 0.005266081, -0.0008093381, 0.005689519, 355.1815, 0, 0, 0, 6.0, +6.000237E+00, +4.457664E-08
