[[DESCRIPTION]]
IV14DC

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-5.001276E+00	-5.664758E-06	+1.982422E+00	2PT  
-4.801361E+00	-5.435530E-06	+2.193359E+00	2PT  
-4.601500E+00	-5.208481E-06	+2.414063E+00	2PT  
-4.401273E+00	-4.981629E-06	+2.639648E+00	2PT  
-4.201320E+00	-4.755331E-06	+2.856445E+00	2PT  
-4.001374E+00	-4.528890E-06	+3.076172E+00	2PT  
-3.801380E+00	-4.302398E-06	+3.297852E+00	2PT  
-3.601336E+00	-4.075842E-06	+3.516602E+00	2PT  
-3.401347E+00	-3.849383E-06	+3.735352E+00	2PT  
-3.201071E+00	-3.622517E-06	+3.953125E+00	2PT  
-3.001048E+00	-3.396077E-06	+4.179688E+00	2PT  
-2.801006E+00	-3.169682E-06	+4.401367E+00	2PT  
-2.600986E+00	-2.943207E-06	+4.619141E+00	2PT  
-2.401067E+00	-2.716857E-06	+4.841797E+00	2PT  
-2.201137E+00	-2.490713E-06	+5.069336E+00	2PT  
-2.000878E+00	-2.263700E-06	+5.293945E+00	2PT  
-1.801010E+00	-2.037191E-06	+5.515625E+00	2PT  
-1.601036E+00	-1.811362E-06	+5.735352E+00	2PT  
-1.401102E+00	-1.584439E-06	+5.960938E+00	2PT  
-1.201140E+00	-1.358039E-06	+6.182617E+00	2PT  
-1.001155E+00	-1.131431E-06	+6.406250E+00	2PT  
-8.012548E-01	-9.068063E-07	+6.855469E+00	2PT  
-6.008415E-01	-6.797820E-07	+7.065430E+00	2PT  
-4.008667E-01	-4.531495E-07	+7.286133E+00	2PT  
-2.007650E-01	-2.262052E-07	+7.503906E+00	2PT  
-7.361255E-04	+2.242234E-10	+7.724609E+00	2PT  
+1.998473E-01	+2.272896E-07	+7.949219E+00	2PT  
+3.999002E-01	+4.536940E-07	+8.162109E+00	2PT  
+6.002511E-01	+6.804597E-07	+8.380859E+00	2PT  
+8.002391E-01	+9.070164E-07	+8.599609E+00	2PT  
+1.000137E+00	+1.133652E-06	+9.044922E+00	2PT  
+1.200128E+00	+1.360105E-06	+9.257813E+00	2PT  
+1.400049E+00	+1.586453E-06	+9.482422E+00	2PT  
+1.599969E+00	+1.812788E-06	+9.702148E+00	2PT  
+1.800228E+00	+2.039426E-06	+9.921875E+00	2PT  
+2.000080E+00	+2.265704E-06	+1.014355E+01	2PT  
+2.200008E+00	+2.492053E-06	+1.036426E+01	2PT  
+2.399902E+00	+2.718346E-06	+1.058887E+01	2PT  
+2.599810E+00	+2.944655E-06	+1.080957E+01	2PT  
+2.800129E+00	+3.171476E-06	+1.103125E+01	2PT  
+3.000154E+00	+3.397864E-06	+1.125586E+01	2PT  
+3.200145E+00	+3.624321E-06	+1.147656E+01	2PT  
+3.400080E+00	+3.850629E-06	+1.169531E+01	2PT  
+3.600054E+00	+4.077051E-06	+1.191797E+01	2PT  
+3.800403E+00	+4.303832E-06	+1.214453E+01	2PT  
+4.000383E+00	+4.530250E-06	+1.236230E+01	2PT  
+4.200302E+00	+4.756560E-06	+1.258301E+01	2PT  
+4.400243E+00	+4.982970E-06	+1.280078E+01	2PT  
+4.600107E+00	+5.209204E-06	+1.302344E+01	2PT  
+4.800293E+00	+5.435867E-06	+1.324902E+01	2PT  
+5.000202E+00	+5.662172E-06	+1.346777E+01	2PT  
+5.000207E+00	+5.662069E-06	+1.368750E+01	2PT  
+4.800297E+00	+5.435544E-06	+1.390723E+01	2PT  
+4.600111E+00	+5.208788E-06	+1.412500E+01	2PT  
+4.400249E+00	+4.982509E-06	+1.434766E+01	2PT  
+4.200307E+00	+4.756140E-06	+1.457422E+01	2PT  
+4.000381E+00	+4.529752E-06	+1.479883E+01	2PT  
+3.800403E+00	+4.303330E-06	+1.502051E+01	2PT  
+3.600054E+00	+4.076470E-06	+1.523828E+01	2PT  
+3.400084E+00	+3.850089E-06	+1.545996E+01	2PT  
+3.200147E+00	+3.623710E-06	+1.568359E+01	2PT  
+3.000153E+00	+3.397302E-06	+1.590918E+01	2PT  
+2.800125E+00	+3.170834E-06	+1.613086E+01	2PT  
+2.599804E+00	+2.944030E-06	+1.634961E+01	2PT  
+2.399895E+00	+2.717731E-06	+1.657031E+01	2PT  
+2.200002E+00	+2.491421E-06	+1.679688E+01	2PT  
+2.000071E+00	+2.265092E-06	+1.702051E+01	2PT  
+1.800220E+00	+2.038849E-06	+1.723926E+01	2PT  
+1.599960E+00	+1.812128E-06	+1.745898E+01	2PT  
+1.400037E+00	+1.585812E-06	+1.767871E+01	2PT  
+1.200122E+00	+1.359462E-06	+1.790137E+01	2PT  
+1.000130E+00	+1.133013E-06	+1.811816E+01	2PT  
+8.002377E-01	+9.066593E-07	+1.856836E+01	2PT  
+6.002433E-01	+6.801141E-07	+1.877832E+01	2PT  
+3.998935E-01	+4.533014E-07	+1.899805E+01	2PT  
+1.998378E-01	+2.267023E-07	+1.921777E+01	2PT  
-1.696073E-04	+5.772687E-10	+1.943750E+01	2PT  
-2.007741E-01	-2.272484E-07	+1.966211E+01	2PT  
-4.008716E-01	-4.534082E-07	+1.987988E+01	2PT  
-6.008446E-01	-6.800442E-07	+2.010449E+01	2PT  
-8.012646E-01	-9.067189E-07	+2.032422E+01	2PT  
-1.001158E+00	-1.132371E-06	+2.077051E+01	2PT  
-1.201145E+00	-1.359016E-06	+2.098145E+01	2PT  
-1.401115E+00	-1.585294E-06	+2.120117E+01	2PT  
-1.601042E+00	-1.811584E-06	+2.142285E+01	2PT  
-1.801011E+00	-2.037886E-06	+2.164746E+01	2PT  
-2.000879E+00	-2.264112E-06	+2.186426E+01	2PT  
-2.201130E+00	-2.490814E-06	+2.208789E+01	2PT  
-2.401071E+00	-2.717286E-06	+2.230371E+01	2PT  
-2.600986E+00	-2.943551E-06	+2.252344E+01	2PT  
-2.801005E+00	-3.169953E-06	+2.274707E+01	2PT  
-3.001044E+00	-3.396407E-06	+2.296973E+01	2PT  
-3.201066E+00	-3.622891E-06	+2.318945E+01	2PT  
-3.401342E+00	-3.849599E-06	+2.340918E+01	2PT  
-3.601334E+00	-4.075994E-06	+2.362988E+01	2PT  
-3.801383E+00	-4.302460E-06	+2.384863E+01	2PT  
-4.001370E+00	-4.528865E-06	+2.406836E+01	2PT  
-4.201312E+00	-4.755181E-06	+2.428906E+01	2PT  
-4.401265E+00	-4.981551E-06	+2.451074E+01	2PT  
-4.601493E+00	-5.208187E-06	+2.473535E+01	2PT  
-4.801350E+00	-5.434440E-06	+2.495801E+01	2PT  
-5.001264E+00	-5.660772E-06	+2.518262E+01	2PT  
-5.001267E+00	-5.660609E-06	+2.540332E+01	2PT  
-4.801349E+00	-5.434096E-06	+2.562207E+01	2PT  
-4.601497E+00	-5.207801E-06	+2.584082E+01	2PT  
-4.401264E+00	-4.981083E-06	+2.606250E+01	2PT  
-4.201314E+00	-4.754663E-06	+2.628711E+01	2PT  
-4.001373E+00	-4.528322E-06	+2.650391E+01	2PT  
-3.801382E+00	-4.301912E-06	+2.672363E+01	2PT  
-3.601337E+00	-4.075419E-06	+2.694434E+01	2PT  
-3.401351E+00	-3.848066E-06	+2.716309E+01	2PT  
-3.201078E+00	-3.622518E-06	+2.738281E+01	2PT  
-3.001049E+00	-3.395617E-06	+2.761035E+01	2PT  
-2.801009E+00	-3.169520E-06	+2.783203E+01	2PT  
-2.600993E+00	-2.941615E-06	+2.805664E+01	2PT  
-2.401072E+00	-2.716524E-06	+2.827637E+01	2PT  
-2.201144E+00	-2.490214E-06	+2.849609E+01	2PT  
-2.000885E+00	-2.263643E-06	+2.872070E+01	2PT  
-1.801011E+00	-2.037500E-06	+2.894043E+01	2PT  
-1.601039E+00	-1.810885E-06	+2.916406E+01	2PT  
-1.401113E+00	-1.584560E-06	+2.938672E+01	2PT  
-1.201141E+00	-1.358171E-06	+2.960645E+01	2PT  
-1.001158E+00	-1.131746E-06	+2.982520E+01	2PT  
-8.012655E-01	-9.061472E-07	+3.027539E+01	2PT  
-6.008450E-01	-6.792221E-07	+3.048535E+01	2PT  
-4.008692E-01	-4.528052E-07	+3.070605E+01	2PT  
-2.007704E-01	-2.262923E-07	+3.092480E+01	2PT  
-7.364657E-04	+6.723761E-11	+3.114453E+01	2PT  
+1.998459E-01	+2.272722E-07	+3.137012E+01	2PT  
+3.998978E-01	+4.538393E-07	+3.158398E+01	2PT  
+6.002517E-01	+6.807560E-07	+3.180371E+01	2PT  
+8.002455E-01	+9.071788E-07	+3.202246E+01	2PT  
+1.000143E+00	+1.133668E-06	+3.246777E+01	2PT  
+1.200140E+00	+1.360035E-06	+3.268066E+01	2PT  
+1.400058E+00	+1.586361E-06	+3.290527E+01	2PT  
+1.599979E+00	+1.812737E-06	+3.312500E+01	2PT  
+1.800240E+00	+2.039390E-06	+3.334473E+01	2PT  
+2.000090E+00	+2.265605E-06	+3.356934E+01	2PT  
+2.200014E+00	+2.491937E-06	+3.379102E+01	2PT  
+2.399909E+00	+2.718192E-06	+3.400977E+01	2PT  
+2.599818E+00	+2.944547E-06	+3.422949E+01	2PT  
+2.800138E+00	+3.171268E-06	+3.445313E+01	2PT  
+3.000163E+00	+3.397696E-06	+3.467676E+01	2PT  
+3.200156E+00	+3.624121E-06	+3.489648E+01	2PT  
+3.400096E+00	+3.850438E-06	+3.511621E+01	2PT  
+3.600068E+00	+4.076835E-06	+3.533594E+01	2PT  
+3.800416E+00	+4.303619E-06	+3.555859E+01	2PT  
