time,desired temp,current,tc_temp
1645858890.357366,22.480322213439432,0.05565606230214151,22.5725994
1645858895.351861,22.396917199560292,0.12461072928568201,22.5887393
1645858900.3658404,22.313520542252352,0.19808012161174113,22.5956802
1645858905.3744397,22.230039719212343,0.2739653212105116,22.5916481
time,desired temp,current,tc_temp
time,desired temp,current,tc_temp
1645858999.890168,22.48653336240056,0.06793883912025284,22.599123
1645859004.9039042,22.403134809664916,0.13847687452158464,22.6145229
1645859009.898295,22.31973177465998,0.22624000455805443,22.6421604
1645859014.9119978,22.23633580876592,0.321167642849688,22.6630115
1645859019.9069326,22.152920689912666,0.43529504328504776,22.6986961
1645859024.925023,22.069448672465512,0.5757094347620734,22.7582855
1645859029.932913,21.985821142526497,0.7403813255773233,22.8338527
1645859034.933586,21.90247640881144,0.9455092361910642,22.9505252
1645859039.9483109,21.81889785004857,1,23.078823
1645859045.005193,21.734612586828103,1,23.2525196
1645859049.9639826,21.651970536243947,1,23.4580421
time,desired temp,current,tc_temp
1645859107.0369399,25.361439800678507,0.10908282819034402,25.5421123
1645859112.0410187,25.278042265195463,0.20847623626518338,25.5944271
1645859117.0554264,25.19446485878906,0.31070061851466546,25.6282615
1645859122.0694811,25.11089687786382,0.412447254047545,25.6417064
1645859127.0735404,25.027496711829123,0.5203107658819816,25.6496105
1645859132.0883334,24.943753823060607,0.6084590831294192,25.6083869
1645859137.1021047,24.860520263928986,0.6741606663023315,25.5238838
1645859142.1062415,24.776951138594562,0.7199469748285089,25.4057502
1645859147.1209455,24.693539655624644,0.7481428507510031,25.264532
1645859152.1566143,24.609445588210043,0.7471947202543816,25.0829505
1645859157.1310387,24.526701168635306,0.7102243881067734,24.8600158
1645859162.1291316,24.443236244140877,0.6558674259399003,24.6304035
1645859167.1325424,24.359850593824003,0.5749142217159379,24.3809013
1645859172.137139,24.276439281720734,0.46492799401098195,24.110754
1645859177.1507277,24.193044162212626,0.3404302775437733,23.8474769
1645859182.1450303,24.109638786731974,0.20279713661090265,23.5922775
1645859187.1628768,24.02617396157862,0.04136930461001237,23.3263664
1645859192.1661737,23.94279360018056,0,23.0893135
1645859197.1596673,23.859395277916207,0,22.8956108
1645859202.1743805,23.775846533396656,0,22.723278
1645859207.159037,23.692574898817952,0,22.5836448
1645859212.1924195,23.609015254595693,0,22.4590511
1645859217.2252195,23.52496885897598,0,22.3622016
1645859222.1796722,23.44223090054474,0,22.2876167
1645859227.205299,23.358796938676452,0,22.216608
1645859232.200476,23.275381398617043,0,22.1472644
1645859237.213823,23.19198849242808,0,22.101593
1645859242.2104754,23.108548434991455,0,22.0665531
1645859247.218841,23.025075038690186,0,22.0401668
1645859252.2135403,22.941667358496602,0,22.0160026
1645859257.2280185,22.85825518013916,0,21.9918098
1645859262.2424123,22.774681286433157,0,21.9827251
1645859267.266499,22.69111398102722,0,21.9858093
1645859272.2796607,22.607564926563516,0,21.9850234
1645859277.2934277,22.52400203587494,0,21.9956607
1645859282.2874978,22.440597629963175,0,22.0166625
1645859287.2955508,22.3571298722613,0,22.0374736
1645859292.2993503,22.27373525343221,0,22.0701503
1645859297.3145218,22.19031013689321,0,22.1075077
1645859302.308082,22.106758475719705,0.011924733955461154,22.1266231
1645859307.3419588,22.023189656355793,0.08642151284780314,22.1638298
1645859312.3498962,21.93972425502421,0.1569329381055664,22.1743183
1645859317.3525684,21.856179615277863,0.24859850645095427,22.2044506
1645859322.4010224,21.77203863503418,0.3474510338571478,22.2263221
1645859327.374724,21.689143701810455,0.44569686511850537,22.2317276
1645859332.389441,21.60573450368525,0.547883613812582,22.228199
1645859337.393068,21.522336864887492,0.639055426722713,22.1930103
1645859342.3971786,21.43893568160019,0.7170046198918663,22.1274013
1645859347.391117,21.355537021576183,0.7907617377462508,22.0521869
1645859352.399329,21.27206690750402,0.840397714031931,21.9353351
1645859357.4076416,21.188595172185515,0.8731956346095323,21.7956581
1645859362.4161396,21.105120047349548,0.8846808822925613,21.6301479
1645859367.4346972,21.021640321035,0.8749855595612921,21.4425697
1645859372.4395082,20.93823116264623,0.8483842348198499,21.2448234
1645859377.423395,20.854835109332022,0.8007724262909507,21.0308876
1645859382.4516432,20.771360870618437,0.7293558185859,20.7990436
1645859387.5058343,20.686958166379547,0.6544410086017519,20.5853824
1645859392.454369,20.604483012774402,0.5618326108108921,20.3651142
1645859397.458677,20.52107723198217,0.4721661380087906,20.1721591
1645859402.467538,20.437596337416586,0.36571582307395134,19.9696636
1645859407.476139,20.354119348942056,0.2657271083223287,19.7978057
1645859412.479626,20.270728648124948,0.1712380600628241,19.6493415
1645859417.5047982,20.187138724743143,0.07376339715198954,19.5071983
1645859422.5089915,20.103572186250304,0,19.4117813
1645859427.5180676,20.0200879061409,0,19.3094978
1645859432.532081,19.93652087491633,0,19.2388114
1645859437.556185,19.852952293970997,0,19.183609
1645859442.5592017,19.769568817236838,0,19.1544265
1645859447.5531983,19.68616898498815,0,19.1214237
1645859452.5908074,19.60221206388753,0,19.0969257
1645859457.5642998,19.519317500212605,0,19.0795993
1645859462.5893683,19.435733350534058,0,19.0876255
1645859467.5841203,19.352319868821716,0,19.0877017
1645859472.5877233,19.26881290715815,0,19.1099033
1645859477.6030545,19.185227644859566,0,19.1233329
1645859482.6203904,19.101716030060068,0.028145021963958784,19.1486244
1645859487.6340158,19.018318232316588,0.09494808914569916,19.1686668
1645859492.6375527,18.934729961970266,0.18844246030324352,19.2157039
1645859497.6521049,18.85135361395162,0.3031545765449387,19.2764587
1645859502.6658394,18.76779106896998,0.43307713213875987,19.3385829
