[[DESCRIPTION]]
IV13DC

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-5.001257E+00	-5.258849E-06	+1.981445E+00	2PT  
-4.801342E+00	-5.046998E-06	+2.195313E+00	2PT  
-4.601488E+00	-4.833718E-06	+2.420898E+00	2PT  
-4.401259E+00	-4.629096E-06	+2.645508E+00	2PT  
-4.201306E+00	-4.414361E-06	+2.866211E+00	2PT  
-4.001367E+00	-4.203580E-06	+3.084961E+00	2PT  
-3.801371E+00	-3.995811E-06	+3.306641E+00	2PT  
-3.601326E+00	-3.784543E-06	+3.523438E+00	2PT  
-3.401337E+00	-3.569049E-06	+3.746094E+00	2PT  
-3.201063E+00	-3.363869E-06	+3.971680E+00	2PT  
-3.001036E+00	-3.153392E-06	+4.190430E+00	2PT  
-2.800995E+00	-2.943071E-06	+4.410156E+00	2PT  
-2.600976E+00	-2.732542E-06	+4.628906E+00	2PT  
-2.401060E+00	-2.521930E-06	+4.849609E+00	2PT  
-2.201133E+00	-2.312119E-06	+5.071289E+00	2PT  
-2.000870E+00	-2.102182E-06	+5.293945E+00	2PT  
-1.801009E+00	-1.891799E-06	+5.514648E+00	2PT  
-1.601042E+00	-1.681654E-06	+5.736328E+00	2PT  
-1.401104E+00	-1.471381E-06	+5.960938E+00	2PT  
-1.201135E+00	-1.260981E-06	+6.180664E+00	2PT  
-1.001148E+00	-1.050886E-06	+6.398438E+00	2PT  
-8.012472E-01	-8.413931E-07	+6.847656E+00	2PT  
-6.008274E-01	-6.307192E-07	+7.061523E+00	2PT  
-4.008534E-01	-4.204466E-07	+7.286133E+00	2PT  
-2.007592E-01	-2.101190E-07	+7.505859E+00	2PT  
-7.340922E-04	+2.028648E-10	+7.723633E+00	2PT  
+1.998506E-01	+2.110604E-07	+7.942383E+00	2PT  
+3.998964E-01	+4.213813E-07	+8.161133E+00	2PT  
+6.002448E-01	+6.320146E-07	+8.381836E+00	2PT  
+8.002372E-01	+8.423556E-07	+8.599609E+00	2PT  
+9.902121E-01	+1.042008E-06	+8.819336E+00	2PT  
+1.200133E+00	+1.262817E-06	+9.274414E+00	2PT  
+1.400052E+00	+1.472930E-06	+9.484375E+00	2PT  
+1.599972E+00	+1.683034E-06	+9.705078E+00	2PT  
+1.800243E+00	+1.893635E-06	+9.923828E+00	2PT  
+2.000093E+00	+2.103713E-06	+1.014453E+01	2PT  
+2.200016E+00	+2.313745E-06	+1.036328E+01	2PT  
+2.399908E+00	+2.523992E-06	+1.058301E+01	2PT  
+2.599814E+00	+2.734057E-06	+1.080273E+01	2PT  
+2.800136E+00	+2.944561E-06	+1.102148E+01	2PT  
+3.000163E+00	+3.154799E-06	+1.124707E+01	2PT  
+3.200153E+00	+3.365018E-06	+1.146875E+01	2PT  
+3.400084E+00	+3.575177E-06	+1.168555E+01	2PT  
+3.600059E+00	+3.785362E-06	+1.190430E+01	2PT  
+3.800411E+00	+3.995960E-06	+1.212402E+01	2PT  
+4.000392E+00	+4.206152E-06	+1.234375E+01	2PT  
+4.200316E+00	+4.416321E-06	+1.256348E+01	2PT  
+4.400252E+00	+4.626436E-06	+1.278516E+01	2PT  
+4.600124E+00	+4.836569E-06	+1.300879E+01	2PT  
+4.800305E+00	+5.046966E-06	+1.322754E+01	2PT  
+5.000210E+00	+5.257103E-06	+1.344824E+01	2PT  
+5.000208E+00	+5.256981E-06	+1.366699E+01	2PT  
+4.800303E+00	+5.046720E-06	+1.388770E+01	2PT  
+4.600120E+00	+4.836254E-06	+1.410742E+01	2PT  
+4.400254E+00	+4.626121E-06	+1.433105E+01	2PT  
+4.200316E+00	+4.415968E-06	+1.454980E+01	2PT  
+4.000394E+00	+4.205777E-06	+1.476953E+01	2PT  
+3.800416E+00	+3.995461E-06	+1.499023E+01	2PT  
+3.600067E+00	+3.784928E-06	+1.521191E+01	2PT  
+3.400096E+00	+3.574733E-06	+1.543652E+01	2PT  
+3.200167E+00	+3.364733E-06	+1.565625E+01	2PT  
+3.000170E+00	+3.154514E-06	+1.587598E+01	2PT  
+2.800143E+00	+2.944078E-06	+1.609668E+01	2PT  
+2.599823E+00	+2.733521E-06	+1.631543E+01	2PT  
+2.399911E+00	+2.523204E-06	+1.653809E+01	2PT  
+2.200016E+00	+2.313336E-06	+1.676270E+01	2PT  
+2.000095E+00	+2.103048E-06	+1.698242E+01	2PT  
+1.800241E+00	+1.893204E-06	+1.720215E+01	2PT  
+1.599978E+00	+1.682519E-06	+1.742188E+01	2PT  
+1.400057E+00	+1.472604E-06	+1.764063E+01	2PT  
+1.200135E+00	+1.262625E-06	+1.786328E+01	2PT  
