[[DESCRIPTION]]
IV12DC

[[DATA]]
Voltage (V)	Current (A)	Time (s)	Status
-4.903251E+00	-1.000002E-05	+2.248047E+00	COMPL  2PT  
-4.801446E+00	-9.791562E-06	+2.671875E+00	2PT  
-4.601587E+00	-9.384032E-06	+3.097656E+00	2PT  
-4.401352E+00	-8.975944E-06	+3.523438E+00	2PT  
-4.201397E+00	-8.567435E-06	+3.957031E+00	2PT  
-4.001451E+00	-8.159691E-06	+4.389648E+00	2PT  
-3.801457E+00	-7.751766E-06	+4.822266E+00	2PT  
-3.601407E+00	-7.343737E-06	+5.247070E+00	2PT  
-3.401416E+00	-6.935816E-06	+5.680664E+00	2PT  
-3.201134E+00	-6.527298E-06	+6.114258E+00	2PT  
-3.001107E+00	-6.119315E-06	+6.538086E+00	2PT  
-2.801063E+00	-5.711256E-06	+6.963867E+00	2PT  
-2.601034E+00	-5.303289E-06	+7.387695E+00	2PT  
-2.401113E+00	-4.895517E-06	+7.813477E+00	2PT  
-2.201176E+00	-4.487755E-06	+8.239258E+00	2PT  
-2.000912E+00	-4.079272E-06	+8.665039E+00	2PT  
-1.801040E+00	-3.671605E-06	+9.098633E+00	2PT  
-1.601073E+00	-3.263753E-06	+9.523438E+00	2PT  
-1.401131E+00	-2.855956E-06	+9.949219E+00	2PT  
-1.201162E+00	-2.448130E-06	+1.037402E+01	2PT  
-1.001177E+00	-2.040241E-06	+1.079785E+01	2PT  
-8.011140E-01	-1.632221E-06	+1.122363E+01	2PT  
-6.007328E-01	-1.223537E-06	+1.164941E+01	2PT  
-4.009317E-01	-8.164095E-07	+1.229492E+01	2PT  
-2.007994E-01	-4.081166E-07	+1.271875E+01	2PT  
-7.334127E-04	-6.044474E-12	+1.314453E+01	2PT  
+1.998796E-01	+4.091313E-07	+1.357031E+01	2PT  
+3.999607E-01	+8.174507E-07	+1.399609E+01	2PT  
+6.001683E-01	+1.225897E-06	+1.464648E+01	2PT  
+8.001246E-01	+1.633694E-06	+1.507227E+01	2PT  
+1.000148E+00	+2.041626E-06	+1.550488E+01	2PT  
+1.200147E+00	+2.449480E-06	+1.593066E+01	2PT  
+1.400075E+00	+2.857267E-06	+1.635449E+01	2PT  
+1.600002E+00	+3.265024E-06	+1.678027E+01	2PT  
+1.800266E+00	+3.673451E-06	+1.720605E+01	2PT  
+2.000119E+00	+4.081019E-06	+1.763086E+01	2PT  
+2.200050E+00	+4.488715E-06	+1.805664E+01	2PT  
+2.399950E+00	+4.896373E-06	+1.848242E+01	2PT  
+2.599859E+00	+5.304107E-06	+1.890723E+01	2PT  
+2.800183E+00	+5.712691E-06	+1.933105E+01	2PT  
+3.000214E+00	+6.120647E-06	+1.975586E+01	2PT  
+3.200213E+00	+6.528529E-06	+2.018164E+01	2PT  
+3.400150E+00	+6.936217E-06	+2.060742E+01	2PT  
+3.600126E+00	+7.344153E-06	+2.103125E+01	2PT  
+3.800479E+00	+7.752842E-06	+2.146484E+01	2PT  
+4.000464E+00	+8.160789E-06	+2.189062E+01	2PT  
+4.200392E+00	+8.568418E-06	+2.231641E+01	2PT  
+4.400337E+00	+8.976212E-06	+2.274023E+01	2PT  
+4.600204E+00	+9.383846E-06	+2.317480E+01	2PT  
+4.800391E+00	+9.792177E-06	+2.360059E+01	2PT  
+4.902174E+00	+9.999718E-06	+2.402539E+01	COMPL  2PT  
+4.902182E+00	+9.999720E-06	+2.445801E+01	COMPL  2PT  
+4.800398E+00	+9.792122E-06	+2.488379E+01	2PT  
+4.600208E+00	+9.383778E-06	+2.531641E+01	2PT  
+4.400343E+00	+8.976103E-06	+2.574219E+01	2PT  
+4.200390E+00	+8.568256E-06	+2.616797E+01	2PT  
+4.000465E+00	+8.160451E-06	+2.659277E+01	2PT  
+3.800483E+00	+7.752563E-06	+2.701660E+01	2PT  
+3.600130E+00	+7.343896E-06	+2.744141E+01	2PT  
+3.400152E+00	+6.936007E-06	+2.786621E+01	2PT  
+3.200210E+00	+6.528202E-06	+2.829199E+01	2PT  
+3.000214E+00	+6.120283E-06	+2.872363E+01	2PT  
+2.800186E+00	+5.712292E-06	+2.914941E+01	2PT  
+2.599860E+00	+5.303739E-06	+2.957520E+01	2PT  
+2.399948E+00	+4.896006E-06	+3.000098E+01	2PT  
+2.200053E+00	+4.488299E-06	+3.042676E+01	2PT  
+2.000124E+00	+4.080561E-06	+3.085059E+01	2PT  
+1.800267E+00	+3.672965E-06	+3.128418E+01	2PT  
+1.600003E+00	+3.264533E-06	+3.170996E+01	2PT  
+1.400078E+00	+2.856798E-06	+3.213574E+01	2PT  
+1.200152E+00	+2.449138E-06	+3.256055E+01	2PT  
+1.000155E+00	+2.041096E-06	+3.298437E+01	2PT  
+8.001261E-01	+1.633265E-06	+3.341016E+01	2PT  
+6.001671E-01	+1.225467E-06	+3.383398E+01	2PT  
+3.999634E-01	+8.170643E-07	+3.448047E+01	2PT  
+1.998779E-01	+4.088919E-07	+3.490527E+01	2PT  
-1.541795E-04	+8.517946E-10	+3.533008E+01	2PT  
-2.008112E-01	-4.084283E-07	+3.575684E+01	2PT  
-4.009393E-01	-8.166263E-07	+3.619043E+01	2PT  
-6.007262E-01	-1.223357E-06	+3.683203E+01	2PT  
-8.011066E-01	-1.632014E-06	+3.726563E+01	2PT  
-1.001169E+00	-2.039991E-06	+3.769141E+01	2PT  
-1.201158E+00	-2.447823E-06	+3.812500E+01	2PT  
-1.401131E+00	-2.855605E-06	+3.854883E+01	2PT  
-1.601071E+00	-3.263299E-06	+3.897363E+01	2PT  
-1.801044E+00	-3.671090E-06	+3.939844E+01	2PT  
-2.000913E+00	-4.078668E-06	+3.982324E+01	2PT  
-2.201176E+00	-4.486849E-06	+4.024902E+01	2PT  
-2.401111E+00	-4.894701E-06	+4.067480E+01	2PT  
-2.601039E+00	-5.302405E-06	+4.109863E+01	2PT  
-2.801060E+00	-5.710282E-06	+4.153223E+01	2PT  
-3.001104E+00	-6.118223E-06	+4.195801E+01	2PT  
-3.201135E+00	-6.526104E-06	+4.238379E+01	2PT  
-3.401414E+00	-6.934501E-06	+4.280762E+01	2PT  
-3.601406E+00	-7.342293E-06	+4.323242E+01	2PT  
-3.801451E+00	-7.750258E-06	+4.366602E+01	2PT  
-4.001450E+00	-8.158054E-06	+4.409180E+01	2PT  
-4.201392E+00	-8.565792E-06	+4.451758E+01	2PT  
-4.401349E+00	-8.973559E-06	+4.495117E+01	2PT  
-4.601581E+00	-9.381879E-06	+4.537598E+01	2PT  
-4.801444E+00	-9.789458E-06	+4.579980E+01	2PT  
