time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225532.2496715,98285582.94501765,-0.0500309,-5.09036e-10,-0.0018615799999999998,2.80763e-11,0.050055300000000004,5.09036e-10,-177.876,176.814
1645225534.8469238,98567837.46217012,-0.0499941,-5.07205e-10,-0.0018737899999999997,2.7466e-11,0.050018700000000006,5.07205e-10,-177.864,176.838
1645225537.4642868,98359645.71486877,-0.0501286,-5.09646e-10,-0.00177003,3.11281e-11,0.050153,5.10256e-10,-177.984,176.442
1645225540.064672,98525448.10190243,-0.050153,-5.09036e-10,-0.0016052400000000002,3.17384e-11,0.050171299999999995,5.09646e-10,-178.17,176.406
1645225542.669042,98225665.76823643,-0.0500004,-5.09036e-10,-0.00145264,3.17384e-11,0.0500126,5.09646e-10,-178.338,176.406
1645225545.2647727,98263696.76206623,-0.050079700000000005,-5.09646e-10,-0.00149537,3.11281e-11,0.050098,5.10256e-10,-178.296,176.442
1645225547.8524492,98525448.10190243,-0.050153,-5.09036e-10,-0.0017151,2.8686699999999998e-11,0.050177400000000004,5.09646e-10,-178.05,176.736
1645225550.4536128,98537431.53725865,-0.0501591,-5.09036e-10,-0.00169679,2.80763e-11,0.050183500000000006,5.09646e-10,-178.062,176.778
1645225553.047062,98449435.32585686,-0.0499941,-5.07815e-10,-0.00186769,2.7466e-11,0.0500248,5.07815e-10,-177.864,176.838
1645225555.653691,97916004.44229917,-0.0499025,-5.09646e-10,-0.0018737899999999997,2.9297e-11,0.0499331,5.10256e-10,-177.852,176.706
1645225558.2583034,98289878.02201249,-0.050153,-5.10256e-10,-0.001709,2.9297e-11,0.050177400000000004,5.10256e-10,-178.056,176.67
1645225560.8579667,98230104.10460632,-0.0501225,-5.10256e-10,-0.00153809,3.05177e-11,0.0501408,5.10256e-10,-178.242,176.556
1645225563.4522595,98405417.29858007,-0.0500919,-5.09036e-10,-0.0018188599999999998,2.80763e-11,0.0501225,5.09646e-10,-177.93,176.778
1645225566.0611863,97918691.79392305,-0.049963600000000004,-5.10256e-10,-0.0018737899999999997,2.99074e-11,0.0499941,5.10256e-10,-177.852,176.592
1645225568.6692526,98655848.94527215,-0.0501591,-5.08425e-10,-0.00164796,3.17384e-11,0.050177400000000004,5.08425e-10,-178.122,176.358
1645225571.2876046,98351159.78746267,-0.049884200000000004,-5.07205e-10,-0.00145264,2.9297e-11,0.0498964,5.07205e-10,-178.332,176.688
1645225573.8941495,98168553.12143451,-0.0497316,-5.06594e-10,-0.00166017,2.99074e-11,0.0497561,5.07205e-10,-178.092,176.61
1645225576.505994,98301832.80549371,-0.0501591,-5.10256e-10,-0.00167848,3.05177e-11,0.050183500000000006,5.10867e-10,-178.092,176.556
1645225579.1106017,98110360.28973691,-0.0500614,-5.10256e-10,-0.0018371700000000002,3.17384e-11,0.0500858,5.10256e-10,-177.906,176.37
1645225581.7210016,98383583.89941254,-0.0501408,-5.09646e-10,-0.0015442000000000001,3.17384e-11,0.050153,5.10256e-10,-178.236,176.37
1645225584.3262424,98407657.15911967,-0.0497927,-5.05984e-10,-0.00149537,3.17384e-11,0.049811,5.06594e-10,-178.284,176.34
1645225586.9293237,98514562.51125406,-0.0497866,-5.05373e-10,-0.00150757,3.11281e-11,0.0498049,5.05373e-10,-178.272,176.448
1645225589.5470192,98038268.55019173,-0.0497255,-5.07205e-10,-0.00161134,2.7466e-11,0.0497499,5.07205e-10,-178.14,176.838
1645225592.1528275,98203851.30070677,-0.0500492,-5.09646e-10,-0.00184938,2.9297e-11,0.050073599999999996,5.10256e-10,-177.888,176.706
1645225594.7533975,98289878.02201249,-0.050153,-5.10256e-10,-0.0017151,2.9297e-11,0.050177400000000004,5.10256e-10,-178.044,176.706
1645225597.3656719,98359645.71486877,-0.0501286,-5.09646e-10,-0.0015503,3.11281e-11,0.05014690000000001,5.10256e-10,-178.236,176.478
1645225599.970612,98750332.30605637,-0.05014690000000001,-5.07815e-10,-0.0015808200000000001,3.17384e-11,0.0501591,5.08425e-10,-178.194,176.358
1645225602.5692375,98403697.69385849,-0.0500309,-5.08425e-10,-0.00146485,3.17384e-11,0.050037,5.08425e-10,-178.326,176.358
1645225605.1831508,98337327.32720876,-0.049817099999999996,-5.06594e-10,-0.00148926,3.11281e-11,0.0498293,5.07205e-10,-178.29,176.46
1645225607.783765,98168553.12143451,-0.0497316,-5.06594e-10,-0.00169069,2.99074e-11,0.0497561,5.07205e-10,-178.056,176.61
1645225610.3846748,98554068.93883465,-0.0499269,-5.06594e-10,-0.00186769,2.99074e-11,0.0499514,5.07205e-10,-177.858,176.61
1645225613.0075042,97712529.87367703,-0.0497988,-5.09646e-10,-0.00180665,2.9297e-11,0.0498232,5.10256e-10,-177.924,176.664
1645225615.6029677,98170134.20714308,-0.0500919,-5.10256e-10,-0.00180665,2.99074e-11,0.0501225,5.10256e-10,-177.936,176.592
1645225618.226763,99083567.85985328,-0.0501347,-5.05984e-10,-0.0015503,3.2348799999999996e-11,0.050153,5.06594e-10,-178.236,176.304
1645225620.8513732,98110625.88105401,-0.0497622,-5.07205e-10,-0.00153199,2.7466e-11,0.0497805,5.07205e-10,-178.242,176.838
1645225623.4526477,98419491.17622821,-0.0501591,-5.09646e-10,-0.0016662699999999999,2.8686699999999998e-11,0.050183500000000006,5.09646e-10,-178.104,176.742
1645225626.072994,98655848.94527215,-0.0501591,-5.08425e-10,-0.0017028899999999999,3.17384e-11,0.050183500000000006,5.08425e-10,-178.062,176.358
1645225628.6967187,98180594.3220804,-0.0497377,-5.06594e-10,-0.00169679,2.99074e-11,0.0497622,5.07205e-10,-178.05,176.61
1645225631.312925,98189322.56264783,-0.0499819,-5.09036e-10,-0.00186769,3.29591e-11,0.050006499999999995,5.09646e-10,-177.864,176.292
1645225633.9211373,98341325.08886111,-0.0499392,-5.07815e-10,-0.00143433,3.29591e-11,0.0499514,5.07815e-10,-178.356,176.238
1645225636.543166,98780108.94923156,-0.0499208,-5.05373e-10,-0.0014404399999999999,2.99074e-11,0.0499331,5.05373e-10,-178.35,176.562
1645225639.1392627,98479991.46218063,-0.0498293,-5.05984e-10,-0.00184327,2.80763e-11,0.049859799999999996,5.06594e-10,-177.882,176.796
1645225641.7496223,97709592.24887827,-0.0497377,-5.09036e-10,-0.0017334100000000001,2.80763e-11,0.0497622,5.09036e-10,-178.002,176.772
1645225644.3553746,98271328.12115848,-0.049963600000000004,-5.08425e-10,-0.0018737899999999997,2.7466e-11,0.0499941,5.08425e-10,-177.852,176.844
1645225646.9642303,98381450.42786759,-0.050079700000000005,-5.09036e-10,-0.00183107,3.17384e-11,0.0501041,5.09646e-10,-177.912,176.406
1645225649.5785644,98855691.14517741,-0.050079700000000005,-5.06594e-10,-0.00149537,3.11281e-11,0.050098,5.07205e-10,-178.296,176.46
1645225652.210026,97571807.09291022,-0.0497866,-5.10256e-10,-0.0015197799999999999,2.9297e-11,0.0498049,5.10256e-10,-178.254,176.67
1645225654.8261378,99094530.1786997,-0.050079700000000005,-5.05373e-10,-0.00148926,3.17384e-11,0.050098,5.05984e-10,-178.302,176.34
1645225657.4420505,98086375.33147347,-0.0497499,-5.07205e-10,-0.00176393,2.7466e-11,0.0497744,5.07205e-10,-177.972,176.838
1645225660.039024,98707687.19341952,-0.049884200000000004,-5.05373e-10,-0.00186769,2.8686699999999998e-11,0.0499147,5.05373e-10,-177.858,176.712
1645225662.653091,97652684.41231757,-0.0497683,-5.09646e-10,-0.00178834,2.8686699999999998e-11,0.0497927,5.09646e-10,-177.942,176.742
1645225665.2476535,98559669.56778286,-0.05011020000000001,-5.08425e-10,-0.0018005500000000002,2.80763e-11,0.0501347,5.08425e-10,-177.948,176.808
1645225667.8699162,98381450.42786759,-0.050079700000000005,-5.09036e-10,-0.00182496,3.17384e-11,0.05011020000000001,5.09646e-10,-177.918,176.364
1645225670.487891,98110625.88105401,-0.0497622,-5.07205e-10,-0.0015503,2.9297e-11,0.0497805,5.07205e-10,-178.218,176.688
1645225673.0889812,98074348.63615303,-0.0497438,-5.07205e-10,-0.0017212000000000002,2.9297e-11,0.0497622,5.07205e-10,-178.026,176.688
1645225675.7018204,97932514.79377334,-0.0497316,-5.07815e-10,-0.0016845800000000002,2.80763e-11,0.0497561,5.08425e-10,-178.068,176.772
1645225678.316156,98643851.10881644,-0.050153,-5.08425e-10,-0.001709,3.29591e-11,0.050177400000000004,5.08425e-10,-178.056,176.244
1645225680.9225204,98257042.42686807,-0.0498964,-5.07815e-10,-0.0014404399999999999,3.29591e-11,0.0499086,5.07815e-10,-178.35,176.238
1645225683.5344255,98890478.75031622,-0.050037,-5.05984e-10,-0.00145875,3.2348799999999996e-11,0.0500492,5.06594e-10,-178.332,176.304
1645225686.1368582,98586984.2670661,-0.0498232,-5.05373e-10,-0.0018371700000000002,2.9297e-11,0.0498476,5.05373e-10,-177.888,176.64
1645225688.7433999,98674678.34202535,-0.049988,-5.06594e-10,-0.00186769,2.7466e-11,0.050018700000000006,5.06594e-10,-177.864,176.874
1645225691.372986,98287634.94661002,-0.0500919,-5.09646e-10,-0.00181276,3.11281e-11,0.0501225,5.10256e-10,-177.93,176.442
1645225693.991062,98028809.70432146,-0.0497805,-5.07815e-10,-0.0015258799999999999,2.8686699999999998e-11,0.0497927,5.07815e-10,-178.248,176.73
1645225696.593319,98172956.68698247,-0.0498537,-5.07815e-10,-0.00184938,2.8686699999999998e-11,0.049884200000000004,5.07815e-10,-177.882,176.73
1645225699.1938732,98349368.52785464,-0.0498232,-5.06594e-10,-0.00183107,2.99074e-11,0.0498476,5.07205e-10,-177.9,176.61
