t,i,x,y,r,theta,xK,tc, therm
1680126092.3112977, 3.2, -1.798301e-05, 3.497142e-06, 1.59202e-05, 171.4854, 0, 0, 0
1680126098.7833145, -3.2, -1.213375e-05, 3.497142e-06, 1.564067e-05, 167.7332, 0, 0, 0
1680126105.2824123, 3.2, 1.711259e-05, 1.304649e-06, 1.424781e-05, 5.253839, 0, 0, 0
1680126111.779842, -3.2, -1.897529e-06, 1.304649e-06, 9.43138e-06, 163.2803, 0, 0, 0
1680126118.277681, 3.2, 2.076838e-05, 3.497142e-06, 1.950324e-05, 8.940013, 0, 0, 0
1680126124.7553217, -3.2, 3.951737e-06, 3.497142e-06, 6.079841e-06, 18.27041, 0, 0, 0
1680126131.2299228, 3.2, 1.565027e-05, 5.738174e-07, 1.905001e-05, 7.410311, 0, 0, 0
1680126137.709448, -3.2, 9.754e-05, 1.304649e-06, 9.461711e-05, 1.213673, 0, 0, 0
1680126144.2191458, 3.2, 0.0001501834, 0.0001328542, 0.0001956756, 42.61592, 0, 0, 0
1680126150.6834402, -3.2, 0.0001319045, 0.0001343159, 0.0001851829, 46.32373, 0, 0, 0
1680126157.1624458, 3.2, 0.0001479899, 0.0001343159, 0.0001955948, 43.22272, 0, 0, 0
1680126163.6376233, -3.2, 0.0001165501, 0.0001343159, 0.0001752932, 51.29393, 0, 0, 0
1680126170.142552, 3.2, 0.000139216, 0.0001328542, 0.0001966655, 42.34075, 0, 0, 0
1680126176.6195061, -3.2, -2.017649e-05, 0.0001335851, 0.0001354452, 99.75887, 0, 0, 0
