t,i,x,y,r,theta,xK,tc, therm
1681509452.89, 3.2, 6.851128e-06, 2.294267e-06, 7.317753e-06, 17.59804, 0, 0, 0
1681509459.3434088, -3.2, 4.328631e-06, 2.294267e-06, 5.061401e-06, 26.58503, 0, 0, 0
1681509465.470813, 3.2, 8.825255e-06, 2.257726e-06, 9.455427e-06, 14.17391, 0, 0, 0
1681509471.5753632, -3.2, 4.255516e-06, 2.221184e-06, 4.543065e-06, 28.0492, 0, 0, 0
1681509477.6873212, 3.2, 8.679023e-06, 2.294267e-06, 9.624838e-06, 13.75321, 0, 0, 0
1681509483.7688155, -3.2, 4.913558e-06, 2.184643e-06, 5.525859e-06, 23.85416, 0, 0, 0
1681509489.8978221, 3.2, 9.702645e-06, 2.148101e-06, 9.668774e-06, 13.3084, 0, 0, 0
1681509495.977135, -3.2, 4.401747e-06, 2.257726e-06, 5.028576e-06, 26.77616, 0, 0, 0
1681509502.0912924, 3.2, 9.556414e-06, 2.038476e-06, 9.295619e-06, 14.51483, 0, 0, 0
1681509508.2030787, -3.2, 4.109284e-06, 2.148101e-06, 4.65391e-06, 24.81452, 0, 0, 0
1681509514.271758, 3.2, 9.08116e-06, 2.221184e-06, 9.786916e-06, 13.75747, 0, 0, 0
1681509520.3815043, -3.2, 4.328631e-06, 2.221184e-06, 5.14302e-06, 26.04679, 0, 0, 0
1681509526.5245466, 3.2, 9.337065e-06, 2.148101e-06, 9.748346e-06, 12.62172, 0, 0, 0
1681509532.6445644, -3.2, 4.584537e-06, 2.294267e-06, 5.014259e-06, 24.78723, 0, 0, 0
1681509538.7844355, 3.2, 8.715581e-06, 2.184643e-06, 9.082922e-06, 13.90375, 0, 0, 0
1681509544.9495606, -3.2, 3.853379e-06, 2.148101e-06, 4.832327e-06, 26.03038, 0, 0, 0
1681509551.1451356, 3.2, 9.26395e-06, 2.330809e-06, 1.01319e-05, 12.64298, 0, 0, 0
1681509557.2725654, -3.2, 4.547979e-06, 2.36735e-06, 4.916271e-06, 27.97182, 0, 0, 0
1681509563.4052515, 3.2, 9.775761e-06, 2.257726e-06, 1.005257e-05, 13.0701, 0, 0, 0
1681509569.548543, -3.2, 4.803884e-06, 2.148101e-06, 5.061283e-06, 26.77616, 0, 0, 0
1681509575.6982005, 3.2, 9.921992e-06, 2.11156e-06, 1.038962e-05, 12.46383, 0, 0, 0
1681509581.8527424, -3.2, 5.096347e-06, 2.221184e-06, 5.45899e-06, 23.97066, 0, 0, 0
1681509587.9927137, 3.2, 9.848876e-06, 2.330809e-06, 9.973285e-06, 12.39307, 0, 0, 0
1681509594.1385617, -3.2, 5.169464e-06, 2.184643e-06, 5.273788e-06, 24.48645, 0, 0, 0
1681509600.3046288, 3.2, 1.028757e-05, 2.148101e-06, 1.031032e-05, 12.04373, 0, 0, 0
1681509606.4791908, -3.2, 4.950116e-06, 2.221184e-06, 5.045471e-06, 25.17254, 0, 0, 0
1681509612.6688142, 3.2, 9.592971e-06, 2.148101e-06, 9.929754e-06, 13.432, 0, 0, 0
1681509618.841995, -3.2, 5.279137e-06, 2.184643e-06, 5.507284e-06, 25.15093, 0, 0, 0
1681509625.0278237, 3.2, 1.036069e-05, 2.330809e-06, 1.026679e-05, 12.14182, 0, 0, 0
1681509631.2151291, -3.2, 5.206022e-06, 2.221184e-06, 5.828632e-06, 21.73528, 0, 0, 0
1681509637.3923972, 3.2, 9.885434e-06, 2.294267e-06, 1.006698e-05, 13.01971, 0, 0, 0
1681509643.5582476, -3.2, 4.913558e-06, 2.184643e-06, 5.87639e-06, 20.9381, 0, 0, 0
1681509649.753728, 3.2, 1.003167e-05, 2.257726e-06, 1.101095e-05, 11.06726, 0, 0, 0
1681509655.96651, -3.2, 5.571601e-06, 2.075018e-06, 6.095268e-06, 21.1363, 0, 0, 0
1681509662.1780984, 3.2, 1.054348e-05, 2.075018e-06, 1.0699e-05, 11.78568, 0, 0, 0
1681509668.3986254, -3.2, 5.75439e-06, 2.184643e-06, 6.011661e-06, 21.86534, 0, 0, 0
1681509674.617572, 3.2, 1.039725e-05, 2.221184e-06, 1.043328e-05, 12.88214, 0, 0, 0
1681509680.8474321, -3.2, 5.096347e-06, 2.184643e-06, 5.195624e-06, 25.1056, 0, 0, 0
1681509687.045507, 3.2, 9.666087e-06, 2.294267e-06, 9.94555e-06, 12.57361, 0, 0, 0
1681509693.2714615, -3.2, 5.206022e-06, 2.148101e-06, 5.835149e-06, 23.74245, 0, 0, 0
1681509699.5356371, 3.2, 9.848876e-06, 2.184643e-06, 1.002932e-05, 12.18861, 0, 0, 0
1681509705.7791035, -3.2, 5.315695e-06, 2.148101e-06, 5.679552e-06, 23.59295, 0, 0, 0
1681509711.99009, 3.2, 1.032413e-05, 2.221184e-06, 1.046623e-05, 11.40191, 0, 0, 0
1681509718.2015593, -3.2, 6.924244e-06, 2.184643e-06, 6.613782e-06, 19.68994, 0, 0, 0
1681509724.4004488, 3.2, 9.117718e-06, 2.257726e-06, 9.624838e-06, 13.3522, 0, 0, 0
1681509730.6075568, -3.2, 6.851128e-06, 2.221184e-06, 7.599728e-06, 16.63113, 0, 0, 0
1681509736.8598132, 3.2, 1.270039e-05, 2.221184e-06, 1.317524e-05, 9.466232, 0, 0, 0
1681509743.092395, -3.2, 6.997359e-06, 2.221184e-06, 7.73627e-06, 16.96793, 0, 0, 0
1681509749.3256946, 3.2, 1.164022e-05, 2.184643e-06, 1.128347e-05, 11.99384, 0, 0, 0
1681509755.5584698, -3.2, 6.119969e-06, 2.294267e-06, 6.441901e-06, 20.43821, 0, 0, 0
1681509761.8238957, 3.2, 1.123808e-05, 2.257726e-06, 1.162113e-05, 10.21894, 0, 0, 0
1681509768.1092055, -3.2, 6.778012e-06, 2.184643e-06, 6.520519e-06, 20.13903, 0, 0, 0
1681509774.36055, 3.2, 1.153054e-05, 2.11156e-06, 1.201656e-05, 10.90987, 0, 0, 0
1681509780.5938468, -3.2, 6.010296e-06, 2.184643e-06, 6.351963e-06, 19.83869, 0, 0, 0
1681509786.9502113, 3.2, 1.116496e-05, 2.184643e-06, 1.149341e-05, 10.86297, 0, 0, 0
1681509793.1975703, -3.2, 8.971487e-06, 2.148101e-06, 8.843439e-06, 15.11136, 0, 0, 0
1681509799.4725637, 3.2, 1.171333e-05, 2.257726e-06, 1.189571e-05, 10.72842, 0, 0, 0
1681509805.772558, -3.2, 5.315695e-06, 2.221184e-06, 5.916586e-06, 22.0678, 0, 0, 0
1681509812.0431817, 3.2, 1.167677e-05, 2.148101e-06, 1.165038e-05, 10.9315, 0, 0, 0
1681509818.3044024, -3.2, 6.63178e-06, 2.221184e-06, 7.213549e-06, 20.02962, 0, 0, 0
1681509824.601574, 3.2, 1.138431e-05, 2.148101e-06, 1.175825e-05, 10.93745, 0, 0, 0
1681509830.9127913, -3.2, 6.997359e-06, 2.257726e-06, 7.028541e-06, 19.00491, 0, 0, 0
1681509837.1959734, 3.2, 1.167677e-05, 2.221184e-06, 1.219645e-05, 10.06516, 0, 0, 0
1681509843.4794314, -3.2, 6.375875e-06, 2.148101e-06, 7.317792e-06, 17.04398, 0, 0, 0
1681509849.7612426, 3.2, 1.109185e-05, 2.148101e-06, 1.166384e-05, 10.93745, 0, 0, 0
1681509856.0675602, -3.2, 5.644717e-06, 2.221184e-06, 5.998033e-06, 23.2941, 0, 0, 0
1681509862.3564217, 3.2, 1.105529e-05, 2.221184e-06, 1.092553e-05, 10.81325, 0, 0, 0
1681509868.6651967, -3.2, 5.169464e-06, 2.148101e-06, 5.87639e-06, 21.86534, 0, 0, 0
1681509874.9445593, 3.2, 1.014134e-05, 2.221184e-06, 1.064533e-05, 12.20974, 0, 0, 0
1681509881.253347, -3.2, 5.973738e-06, 2.330809e-06, 7.341437e-06, 17.95549, 0, 0, 0
1681509887.569228, 3.2, 1.123808e-05, 2.148101e-06, 1.111193e-05, 11.68641, 0, 0, 0
1681509893.9102309, -3.2, 5.608159e-06, 2.294267e-06, 6.189325e-06, 19.12934, 0, 0, 0
1681509900.2756562, 3.2, 1.050692e-05, 2.257726e-06, 7.440735e-05, 174.0234, 0, 0, 0
1681509906.608712, -3.2, -7.427089e-05, 7.958209e-06, 7.921882e-06, 94.62104, 0, 0, 0
1681509912.9512994, 3.2, -4.920521e-06, 8.067833e-06, 1.00032e-05, 124.9428, 0, 0, 0
