t,i,x,y,r,theta,xK,tc, therm
1681442731.0740242, 3.2, -0.0003214137, 0.0002877904, 0.0004308835, 138.0292, 0, 0, 0
1681442739.5379164, -3.2, -0.0003214137, 0.0002885213, 0.0004328936, 138.1591, 0, 0, 0
1681442748.000903, 3.2, -0.0003214137, 0.0002877904, 0.0004318612, 138.3447, 0, 0, 0
1681442756.5024326, -3.2, -0.000452291, 0.0004032617, 0.0006053006, 138.2393, 0, 0, 0
1681442764.990339, 3.2, -0.000452291, 0.0004039926, 0.0006059013, 138.1769, 0, 0, 0
1681442773.4535537, -3.2, -0.0004508288, 0.0004047234, 0.0006054142, 138.3315, 0, 0, 0
1681442781.9357452, 3.2, -0.0004500975, 0.0004032617, 0.0006054142, 138.1877, 0, 0, 0
1681442790.4220757, -3.2, -0.0004515599, 0.0004039926, 0.0006069919, 138.4233, 0, 0, 0
1681442798.8886666, 3.2, -0.0004479041, 0.0004025309, 0.0006043243, 138.0952, 0, 0, 0
1681442807.3703506, -3.2, -0.0004493664, 0.0004025309, 0.000603236, 138.2393, 0, 0, 0
1681442815.8606517, 3.2, -0.0004500975, 0.0004047234, 0.0006044416, 138.2283, 0, 0, 0
1681442824.3431745, -3.2, -0.0004500975, 0.0004032617, 0.00060378, 138.0436, 0, 0, 0
1681442832.8087957, 3.2, -0.0004479041, 0.0004025309, 0.0006038369, 138.1931, 0, 0, 0
1681442841.2991052, -3.2, -0.0004493664, 0.0004047234, 0.0005994895, 137.1627, 0, 0, 0
1681442849.7856762, 3.2, -0.000442786, 0.0004025309, 0.000604869, 137.9558, 0, 0, 0
1681442858.2826989, -3.2, -0.0004442483, 0.0004039926, 0.0006010641, 137.7593, 0, 0, 0
1681442866.7743902, 3.2, -0.0004435172, 0.0004032617, 0.0006005221, 137.8624, 0, 0, 0
1681442875.2357628, -3.2, -0.0004449795, 0.0004025309, 0.0006011713, 137.9091, 0, 0, 0
