t,i,x,y,r,theta,xK,tc, therm
1681458739.04255, 3.2, -3.873398e-07, 3.317431e-06, 3.433154e-06, 89.13221, 0, 0, 0
1681458745.4565659, -3.2, -2.288351e-06, 3.317431e-06, 4.107404e-06, 125.0234, 0, 0, 0
1681458751.5875173, 3.2, 4.072726e-06, 3.427055e-06, 5.281247e-06, 43.87942, 0, 0, 0
1681458757.6712036, -3.2, -1.95933e-06, 3.317431e-06, 3.991112e-06, 129.4214, 0, 0, 0
1681458763.7767215, 3.2, 3.743705e-06, 4.742552e-06, 4.505189e-06, 46.074, 0, 0, 0
1681458769.9002903, -3.2, -1.045382e-06, 3.317431e-06, 3.810922e-06, 122.8785, 0, 0, 0
1681458776.0004086, 3.2, 3.853379e-06, 3.427055e-06, 5.828939e-06, 38.54552, 0, 0, 0
1681458782.1278238, -3.2, -8.625927e-07, 3.317431e-06, 3.535557e-06, 108.4427, 0, 0, 0
1681458788.2061484, 3.2, 4.657653e-06, 3.353972e-06, 5.637572e-06, 37.07788, 0, 0, 0
1681458794.3245897, -3.2, -9.357085e-07, 3.317431e-06, 3.929216e-06, 116.6776, 0, 0, 0
1681458800.4460964, 3.2, 3.743705e-06, 3.280889e-06, 5.838035e-06, 34.11977, 0, 0, 0
1681458806.5979724, -3.2, -1.228172e-06, 3.390514e-06, 3.915936e-06, 119.0881, 0, 0, 0
1681458812.7308176, 3.2, 4.877e-06, 3.317431e-06, 5.438812e-06, 41.23051, 0, 0, 0
1681458818.8450274, -3.2, -2.361467e-06, 3.317431e-06, 3.713728e-06, 122.851, 0, 0, 0
1681458824.9985445, 3.2, 3.743705e-06, 3.317431e-06, 4.788421e-06, 46.67875, 0, 0, 0
1681458831.1234205, -3.2, -2.251793e-06, 3.353972e-06, 3.871552e-06, 124.305, 0, 0, 0
1681458837.2634366, 3.2, 3.853379e-06, 3.280889e-06, 4.890468e-06, 37.07788, 0, 0, 0
1681458843.3930082, -3.2, -1.337846e-06, 3.353972e-06, 3.697835e-06, 114.9046, 0, 0, 0
1681458849.4945633, 3.2, 2.756641e-06, 3.353972e-06, 5.026376e-06, 40.45834, 0, 0, 0
1681458855.6405175, -3.2, -2.398025e-06, 3.463597e-06, 4.090493e-06, 123.1591, 0, 0, 0
1681458861.7784956, 3.2, 3.81682e-06, 3.317431e-06, 5.276005e-06, 40.54801, 0, 0, 0
1681458867.915999, -3.2, -1.703425e-06, 3.390514e-06, 3.958813e-06, 115.9376, 0, 0, 0
1681458874.0613163, 3.2, 4.145842e-06, 3.390514e-06, 5.219772e-06, 38.66618, 0, 0, 0
1681458880.2275763, -3.2, -1.410961e-06, 3.353972e-06, 4.203796e-06, 129.0233, 0, 0, 0
1681458886.4005435, 3.2, -5.831854e-08, 3.317431e-06, 3.374664e-06, 71.66436, 0, 0, 0
1681458892.5435493, -3.2, -5.907585e-06, 3.427055e-06, 8.160903e-06, 153.5685, 0, 0, 0
1681458898.710746, 3.2, -8.991506e-07, 3.317431e-06, 3.590868e-06, 110.1119, 0, 0, 0
1681458904.8949883, -3.2, -7.22367e-06, 3.427055e-06, 7.08127e-06, 150.3778, 0, 0, 0
1681458911.0726733, 3.2, -8.625927e-07, 3.317431e-06, 3.481215e-06, 104.8527, 0, 0, 0
1681458917.2585506, -3.2, -6.638743e-06, 3.317431e-06, 7.438653e-06, 154.5403, 0, 0, 0
1681458923.4359674, 3.2, 8.791312e-08, 3.390514e-06, 3.365446e-06, 97.65236, 0, 0, 0
1681458929.6324923, -3.2, -7.187112e-06, 3.353972e-06, 7.748891e-06, 154.6694, 0, 0, 0
1681458935.8316915, 3.2, -9.487647e-08, 3.280889e-06, 3.393895e-06, 100.1449, 0, 0, 0
1681458942.0375369, -3.2, -5.615122e-06, 3.573222e-06, 7.487951e-06, 154.871, 0, 0, 0
1681458948.2262146, 3.2, -4.372152e-06, 3.390514e-06, 6.229513e-06, 144.069, 0, 0, 0
1681458954.4202886, -3.2, -4.993637e-06, 3.353972e-06, 5.737117e-06, 145.9176, 0, 0, 0
1681458960.6169343, 3.2, -3.275415e-06, 3.317431e-06, 4.688014e-06, 132.3986, 0, 0, 0
1681458966.9125416, -3.2, -2.14212e-06, 3.353972e-06, 3.979674e-06, 126.382, 0, 0, 0
1681458973.1115665, 3.2, -3.202299e-06, 3.353972e-06, 4.436957e-06, 131.3411, 0, 0, 0
1681458979.3186674, -3.2, -3.238857e-06, 3.353972e-06, 4.448785e-06, 126.6907, 0, 0, 0
1681458985.5392025, 3.2, -2.690488e-06, 3.317431e-06, 4.041458e-06, 121.1205, 0, 0, 0
1681458991.7695441, -3.2, -4.810848e-06, 3.317431e-06, 6.137466e-06, 146.6865, 0, 0, 0
1681458997.9853866, 3.2, 7.825136e-07, 3.317431e-06, 3.488214e-06, 69.3731, 0, 0, 0
