t,i,x,y,r,theta,xK,tc, therm
1681508781.7836196, 3.2, 6.595222e-06, 7.51971e-06, 1.017045e-05, 47.65015, 0, 0, 0
1681508788.1985638, -3.2, 9.044603e-06, 7.446627e-06, 1.173418e-05, 38.46445, 0, 0, 0
1681508794.3422947, 3.2, 4.950116e-06, 7.592793e-06, 8.869526e-06, 59.60693, 0, 0, 0
1681508800.418197, -3.2, 8.825255e-06, 7.446627e-06, 1.145964e-05, 41.40509, 0, 0, 0
1681508806.5105002, 3.2, 3.853379e-06, 7.665876e-06, 8.730031e-06, 62.65496, 0, 0, 0
1681508812.6381154, -3.2, 9.227392e-06, 7.483168e-06, 1.165465e-05, 40.1787, 0, 0, 0
1681508818.718272, 3.2, 4.767327e-06, 7.556251e-06, 9.085746e-06, 59.72626, 0, 0, 0
1681508824.8434129, -3.2, 8.861813e-06, 7.446627e-06, 1.173894e-05, 42.0187, 0, 0, 0
1681508830.936408, 3.2, 3.99961e-06, 7.629335e-06, 8.566655e-06, 64.53044, 0, 0, 0
1681508837.054422, -3.2, 8.861813e-06, 7.446627e-06, 1.165932e-05, 39.94679, 0, 0, 0
1681508843.1381583, 3.2, 3.743705e-06, 7.592793e-06, 8.514525e-06, 61.91982, 0, 0, 0
1681508849.28042, -3.2, 9.775761e-06, 7.446627e-06, 1.225987e-05, 37.851, 0, 0, 0
1681508855.4055693, 3.2, 5.608159e-06, 7.629335e-06, 9.225637e-06, 55.61291, 0, 0, 0
1681508861.5344245, -3.2, 9.483298e-06, 7.483168e-06, 1.197751e-05, 37.5155, 0, 0, 0
1681508867.6590304, 3.2, 4.69421e-06, 7.665876e-06, 8.750453e-06, 58.75392, 0, 0, 0
1681508873.7956538, -3.2, 6.595222e-06, 7.483168e-06, 1.024689e-05, 47.53769, 0, 0, 0
1681508879.9244034, 3.2, 3.012546e-06, 7.556251e-06, 8.347978e-06, 66.37603, 0, 0, 0
1681508886.1003416, -3.2, 8.057539e-06, 7.410085e-06, 1.144417e-05, 39.87891, 0, 0, 0
1681508892.2656496, 3.2, 4.1824e-06, 7.556251e-06, 8.616124e-06, 62.00583, 0, 0, 0
1681508898.4138465, -3.2, 8.861813e-06, 7.373543e-06, 1.145964e-05, 39.99598, 0, 0, 0
1681508904.5619977, 3.2, 3.853379e-06, 7.592793e-06, 8.373638e-06, 64.64835, 0, 0, 0
1681508910.7066052, -3.2, 9.008045e-06, 7.483168e-06, 1.163122e-05, 40.06247, 0, 0, 0
1681508916.8644104, 3.2, 3.926495e-06, 7.592793e-06, 8.601346e-06, 61.89111, 0, 0, 0
1681508923.0216439, -3.2, 8.898371e-06, 7.446627e-06, 1.169772e-05, 39.55532, 0, 0, 0
1681508929.1785579, 3.2, 3.560915e-06, 7.483168e-06, 8.416642e-06, 64.54123, 0, 0, 0
1681508935.3444107, -3.2, 8.130654e-06, 7.446627e-06, 1.143987e-05, 39.90174, 0, 0, 0
1681508941.5208087, 3.2, 4.657653e-06, 7.483168e-06, 8.7265e-06, 62.00583, 0, 0, 0
1681508947.6909947, -3.2, 8.898371e-06, 7.337002e-06, 1.141624e-05, 40.44938, 0, 0, 0
1681508953.8980758, 3.2, 4.1824e-06, 7.446627e-06, 8.450215e-06, 59.70848, 0, 0, 0
1681508960.07657, -3.2, 9.666087e-06, 7.263919e-06, 1.19456e-05, 37.48339, 0, 0, 0
1681508966.26924, 3.2, 4.840442e-06, 7.410085e-06, 9.026174e-06, 55.04216, 0, 0, 0
1681508972.4688776, -3.2, 8.971487e-06, 7.30046e-06, 1.157756e-05, 39.08397, 0, 0, 0
1681508978.6325595, 3.2, 4.621095e-06, 7.373543e-06, 8.606259e-06, 58.25538, 0, 0, 0
1681508984.83551, -3.2, 9.190834e-06, 7.263919e-06, 1.155478e-05, 37.99068, 0, 0, 0
1681508991.042099, 3.2, 4.401747e-06, 7.30046e-06, 8.637588e-06, 60.70525, 0, 0, 0
1681508997.2525241, -3.2, 9.666087e-06, 7.263919e-06, 1.202569e-05, 37.77324, 0, 0, 0
1681509003.4501967, 3.2, 4.072726e-06, 7.373543e-06, 8.287348e-06, 62.85107, 0, 0, 0
1681509009.6300921, -3.2, 6.266201e-06, 7.263919e-06, 9.751733e-06, 49.00926, 0, 0, 0
1681509015.8500824, 3.2, 4.328631e-06, 7.410085e-06, 8.57681e-06, 57.3163, 0, 0, 0
1681509022.0644069, -3.2, 8.715581e-06, 7.227377e-06, 1.127092e-05, 39.22545, 0, 0, 0
1681509028.2946534, 3.2, 4.877e-06, 7.446627e-06, 8.752319e-06, 60.37404, 0, 0, 0
1681509034.5175657, -3.2, 8.861813e-06, 7.30046e-06, 1.131322e-05, 39.62253, 0, 0, 0
1681509040.7475715, 3.2, 3.341567e-06, 7.373543e-06, 8.00261e-06, 64.79444, 0, 0, 0
1681509046.9802847, -3.2, 1.04338e-05, 7.227377e-06, 1.230478e-05, 35.84719, 0, 0, 0
1681509053.190821, 3.2, 5.388811e-06, 7.446627e-06, 8.901538e-06, 56.6488, 0, 0, 0
1681509059.429584, -3.2, 9.885434e-06, 7.30046e-06, 1.225957e-05, 35.90825, 0, 0, 0
1681509065.819291, 3.2, 4.292074e-06, 7.446627e-06, 8.566655e-06, 61.54173, 0, 0, 0
1681509072.064639, -3.2, 1.039725e-05, 7.227377e-06, 1.214241e-05, 37.77324, 0, 0, 0
1681509078.295369, 3.2, 5.425369e-06, 7.446627e-06, 8.872722e-06, 61.97834, 0, 0, 0
