t,i,x,y,r,theta,xK,tc, therm
1680144532.9040587, 3.2, 1.229042e-05, 0.0001414672, 0.0001458534, 86.92899, 0, 0, 0
1680144539.3752303, -3.2, 3.130054e-05, 0.0001429289, 0.0001516515, 71.65479, 0, 0, 0
1680144545.8213089, 3.2, 1.229042e-05, 0.0001443905, 0.0001539144, 82.34551, 0, 0, 0
1680144552.29718, -3.2, 4.738602e-05, 0.0001473139, 0.0001557713, 69.76158, 0, 0, 0
1680144558.7984185, 3.2, 3.130054e-05, 0.0001443905, 0.0001497522, 78.43804, 0, 0, 0
1680144565.28091, -3.2, 4.446139e-05, 0.0001429289, 0.0001515177, 70.96848, 0, 0, 0
1680144571.7658808, 3.2, 1.813969e-05, 0.0001443905, 0.0001466437, 82.34551, 0, 0, 0
1680144578.2414024, -3.2, 3.422517e-05, 0.0001458522, 0.0001485869, 77.21579, 0, 0, 0
1680144584.7430983, 3.2, 1.521506e-05, 0.0001458522, 0.0001437364, 82.83947, 0, 0, 0
1680144591.1855702, -3.2, 4.007444e-05, 0.0001429289, 0.000150657, 71.30895, 0, 0, 0
1680144597.6407597, 3.2, 1.667738e-05, 0.0001458522, 0.000145044, 83.98469, 0, 0, 0
1680144604.132837, -3.2, 4.738602e-05, 0.0001443905, 0.0001510809, 76.11703, 0, 0, 0
1680144610.604622, 3.2, 7.903474e-06, 0.0001458522, 0.0001446067, 86.89827, 0, 0, 0
1680144617.0801294, -3.2, 3.861212e-05, 0.0001458522, 0.0001538772, 73.04674, 0, 0, 0
1680144623.5587633, 3.2, 1.521506e-05, 0.0001443905, 0.0001466437, 84.04453, 0, 0, 0
1680144630.0430984, -3.2, 4.446139e-05, 0.0001473139, 0.0001524784, 71.13127, 0, 0, 0
1680144636.5329466, 3.2, 1.375274e-05, 0.0001443905, 0.0001468026, 83.92362, 0, 0, 0
1680144642.998623, -3.2, 5.031066e-05, 0.0001429289, 0.0001529112, 72.52262, 0, 0, 0
1680144649.503931, 3.2, 1.229042e-05, 0.0001458522, 0.0001446067, 86.92899, 0, 0, 0
