t,i,x,y,r,theta,xK,tc, therm
1681584248.8813024, 3.2, 2.224201e-05, 7.229804e-07, 2.225625e-05, 2.129814, 0, 0, 0
1681584255.4295378, -3.2, 2.297317e-05, 5.402727e-07, 2.294918e-05, 1.97519, 0, 0, 0
1681584261.5367389, 3.2, 2.333875e-05, 7.960635e-07, 2.31331e-05, 1.899623, 0, 0, 0
1681584267.610516, -3.2, 2.410646e-05, 7.59522e-07, 2.38273e-05, 2.002407, 0, 0, 0
1681584273.7263556, 3.2, 2.42527e-05, 6.864389e-07, 2.455581e-05, 1.85484, 0, 0, 0
1681584279.8500726, -3.2, 2.392367e-05, 7.229804e-07, 2.41173e-05, 2.027284, 0, 0, 0
1681584285.983638, 3.2, 2.3814e-05, 8.326051e-07, 2.419039e-05, 2.046273, 0, 0, 0
1681584292.1205149, -3.2, 2.421614e-05, 7.960635e-07, 2.331706e-05, 1.863941, 0, 0, 0
1681584298.2334125, 3.2, 2.428925e-05, 8.326051e-07, 2.368116e-05, 1.941395, 0, 0, 0
1681584304.3761053, -3.2, 2.3814e-05, 7.229804e-07, 2.302479e-05, 1.984612, 0, 0, 0
1681584310.4857116, 3.2, 2.341186e-05, 7.229804e-07, 2.313439e-05, 2.250489, 0, 0, 0
1681584316.6117058, -3.2, 2.399679e-05, 8.326051e-07, 2.452153e-05, 1.972156, 0, 0, 0
1681584322.7505236, 3.2, 2.439893e-05, 8.326051e-07, 2.474076e-05, 1.841158, 0, 0, 0
1681584328.9228516, -3.2, 2.469139e-05, 7.960635e-07, 2.437659e-05, 1.939918, 0, 0, 0
1681584335.068494, 3.2, 2.308284e-05, 7.960635e-07, 2.343082e-05, 1.66129, 0, 0, 0
1681584341.1960793, -3.2, 2.326563e-05, 8.326051e-07, 2.335359e-05, 1.656176, 0, 0, 0
1681584347.3338675, 3.2, 2.374089e-05, 7.960635e-07, 2.429895e-05, 1.939918, 0, 0, 0
1681584353.424876, -3.2, 2.443549e-05, 7.960635e-07, 2.408694e-05, 2.074305, 0, 0, 0
1681584359.5651555, 3.2, 2.436237e-05, 8.326051e-07, 2.441191e-05, 1.694734, 0, 0, 0
1681584365.7007499, -3.2, 2.439893e-05, 8.326051e-07, 2.47773e-05, 1.93417, 0, 0, 0
1681584371.8350055, 3.2, 2.392367e-05, 8.326051e-07, 2.423173e-05, 1.865932, 0, 0, 0
1681584377.9334824, -3.2, 2.414302e-05, 7.960635e-07, 2.422805e-05, 1.885666, 0, 0, 0
1681584384.0782027, 3.2, 2.42527e-05, 7.59522e-07, 2.50708e-05, 2.079156, 0, 0, 0
1681584390.1873145, -3.2, 2.436237e-05, 8.691467e-07, 2.43023e-05, 1.879985, 0, 0, 0
1681584396.3277957, 3.2, 2.392367e-05, 8.691467e-07, 2.448383e-05, 1.888519, 0, 0, 0
1681584402.5159903, -3.2, 2.385056e-05, 8.691467e-07, 2.379201e-05, 1.897131, 0, 0, 0
1681584408.6959329, 3.2, 2.447204e-05, 8.326051e-07, 2.470422e-05, 1.972156, 0, 0, 0
1681584414.8548946, -3.2, 2.403335e-05, 8.326051e-07, 2.401387e-05, 1.82118, 0, 0, 0
1681584421.0205162, 3.2, 2.344842e-05, 9.056882e-07, 2.386775e-05, 2.198237, 0, 0, 0
1681584427.1862538, -3.2, 2.40699e-05, 7.960635e-07, 2.378843e-05, 1.97519, 0, 0, 0
1681584433.3363967, 3.2, 2.319252e-05, 7.59522e-07, 2.350106e-05, 1.777105, 0, 0, 0
1681584439.5125732, -3.2, 2.300973e-05, 7.960635e-07, 2.299101e-05, 1.97519, 0, 0, 0
1681584445.6871617, 3.2, 2.363121e-05, 7.59522e-07, 2.317092e-05, 1.944419, 0, 0, 0
1681584451.9007583, -3.2, 2.352154e-05, 6.864389e-07, 2.360808e-05, 2.049564, 0, 0, 0
1681584458.0825229, 3.2, 2.322907e-05, 6.133557e-07, 2.324399e-05, 1.615293, 0, 0, 0
