t,i,x,y,r,theta,xK,tc, therm
1681457691.2609882, 3.2, -9.445869e-05, -4.699014e-06, 9.154125e-05, 180.1794, 0, 0, 0
1681457697.6624343, -3.2, 5.918914e-07, 1.147635e-06, 2.565634e-05, 199.8382, 0, 0, 0
1681457703.765749, 3.2, -0.0002099817, -3.237352e-06, 0.0002260741, 180.4443, 0, 0, 0
1681457709.8843548, -3.2, 1.813969e-05, -4.699014e-06, 1.814241e-05, 337.7254, 0, 0, 0
1681457716.0034275, 3.2, -0.0002041324, -3.140275e-07, 0.0002070573, 180.9086, 0, 0, 0
1681457722.128765, -3.2, -4.181529e-05, -3.140275e-07, 3.893117e-05, 185.1434, 0, 0, 0
1681457728.239053, 3.2, -0.0002348411, -3.140275e-07, 0.0002421869, 180.4472, 0, 0, 0
1681457734.3679929, -3.2, -3.011676e-05, -3.237352e-06, 9.532634e-06, 356.2253, 0, 0, 0
1681457740.503712, 3.2, -0.0001807354, 1.147635e-06, 0.0001748951, 180.6466, 0, 0, 0
1681457746.6319668, -3.2, 3.516525e-06, -1.77569e-06, 1.960452e-05, 359.2931, 0, 0, 0
1681457752.7562516, 3.2, -0.0002070571, -3.140275e-07, 0.0001851308, 179.611, 0, 0, 0
1681457758.9019573, -3.2, 2.106432e-05, 1.147635e-06, 3.130212e-05, 359.551, 0, 0, 0
1681457765.0407593, 3.2, -0.0001573383, -1.77569e-06, 0.0001573386, 180.6716, 0, 0, 0
1681457771.1764088, -3.2, 5.615993e-05, -3.237352e-06, 5.625316e-05, 358.2786, 0, 0, 0
1681457777.3279858, 3.2, -0.0001792731, 1.147635e-06, 0.0001573483, 180.0965, 0, 0, 0
1681457783.4924219, -3.2, 5.031066e-05, 1.147635e-06, 4.449684e-05, 356.8977, 0, 0, 0
1681457789.6273675, 3.2, -0.0001734238, 1.147635e-06, 0.0001675748, 180.0972, 0, 0, 0
1681457795.774231, -3.2, 2.054208e-06, -3.237352e-06, 1.677164e-05, 333.3561, 0, 0, 0
1681457801.9424303, 3.2, -0.0001880469, -1.77569e-06, 0.0001982911, 180.0888, 0, 0, 0
1681457808.1210117, -3.2, 1.521506e-05, -3.140275e-07, 2.109556e-05, 355.7666, 0, 0, 0
