t,i,x,y,r,theta,xK,tc, therm
1681451315.664383, 3.2, 3.085662e-05, -1.140639e-05, 3.24764e-05, 326.3579, 0, 0, 0
1681451323.5897772, -3.2, 7.399496e-05, -1.359888e-05, 6.092379e-05, 359.9367, 0, 0, 0
1681451331.2211263, 3.2, 2.062041e-05, 1.161479e-05, 4.249041e-05, 12.81176, 0, 0, 0
1681451338.8181896, -3.2, 6.741454e-05, -1.39643e-05, 5.91333e-05, 357.4934, 0, 0, 0
1681451346.4444194, 3.2, 1.952367e-05, -1.031014e-05, 2.481e-05, 336.153, 0, 0, 0
1681451354.0814977, -3.2, 6.412433e-05, -2.34651e-05, 6.833162e-05, 339.1504, 0, 0, 0
1681451361.7124262, 3.2, 1.915809e-05, -1.579138e-05, 2.837746e-05, 313.7266, 0, 0, 0
1681451369.3596444, -3.2, 8.788697e-05, -4.828909e-06, 7.908454e-05, 3.630636, 0, 0, 0
1681451377.0057478, 3.2, 2.537293e-05, 2.075018e-05, 4.817703e-05, 26.02178, 0, 0, 0
1681451384.6317809, -3.2, 8.788697e-05, 2.869087e-07, 9.618193e-05, 357.9427, 0, 0, 0
