t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681325759.0647538,442.3,0.0,0.1,0.001195305,1.147635e-06,0.001196767,0.05494353,-0.0985417,-0.00164796,-0.0147324,-179.04
1681325763.1224656,442.3,0.53,0.1,1.229042e-05,-3.140275e-07,5.109396e-06,18.07434,-0.0561144,-0.000984199,-0.0571597,-178.998
1681325767.2100878,442.3,1.05,0.1,0.0008165645,-3.140275e-07,0.00117922,359.9849,-0.0966344,-0.00161744,-0.0166398,-179.046
1681325771.2875564,442.3,1.58,0.1,0.001237137,-7.850687e-07,0.00120058,359.9624,-0.0985341,-0.00164033,-0.01474,-179.046
1681325775.3848646,442.3,2.11,0.1,0.001200579,-7.850687e-07,0.00120058,359.9625,-0.0986104,-0.00167847,-0.0146638,-179.028
1681325779.4622896,442.3,2.63,0.1,0.001200579,2.869087e-06,0.001200583,359.9625,-0.0986485,-0.00164033,-0.0146256,-179.052
1681325783.5190802,442.3,3.16,0.1,0.001200579,-7.850687e-07,0.001200583,359.7881,-0.0985799,-0.00166322,-0.0146866,-179.034
1681325787.5750275,442.3,3.68,0.1,0.001200579,2.869087e-06,0.001200583,359.9626,-0.0986485,-0.00166322,-0.0146256,-179.034
1681325791.668961,442.3,4.21,0.1,0.001196924,2.869087e-06,0.001204239,359.9625,-0.0986257,-0.00164033,-0.0146409,-179.052
1681325795.7472374,442.3,4.74,0.1,0.001200579,2.869087e-06,0.001200583,359.9625,-0.0985799,-0.00167084,-0.0146866,-179.034
1681325799.8095405,442.3,5.26,0.1,0.001196924,2.869087e-06,0.001204235,0.1365068,-0.0986257,-0.00167847,-0.0146409,-179.028
1681325803.8730009,442.3,5.79,0.1,0.001196924,2.869087e-06,0.001200583,0.3122593,-0.0985723,-0.00164796,-0.0146943,-179.04
1681325807.9495568,442.3,6.32,0.1,0.001200579,-7.850687e-07,0.001200588,359.9625,-0.0986028,-0.00167847,-0.0146714,-179.028
1681325812.021017,442.3,6.84,0.1,0.001200579,-7.850687e-07,0.001200583,359.7888,-0.0986333,-0.00167847,-0.0146332,-179.028
1681325816.0962756,442.3,7.37,0.1,0.001200579,6.523243e-06,0.001196924,359.9625,-0.0985799,-0.0016327,-0.0146866,-179.052
1681325820.185606,442.3,7.89,0.1,0.001196924,-7.850687e-07,0.001204239,359.9625,-0.0986104,-0.00166322,-0.0146638,-179.034
1681325824.2265685,442.3,8.42,0.1,0.001196924,2.869087e-06,0.001200583,0.1373406,-0.0985875,-0.0016327,-0.0146866,-179.052
1681325828.3169649,442.3,8.95,0.1,0.001200579,2.869087e-06,0.001200583,0.3122593,-0.0986104,-0.00167084,-0.0146561,-179.034
1681325832.382757,442.3,9.47,0.1,0.001196924,-7.850687e-07,0.00120058,359.9625,-0.0986409,-0.00167084,-0.0146332,-179.034
1681325836.4539936,442.3,10.0,0.1,0.001200579,6.523243e-06,0.001200597,0.1365068,-0.098618,-0.00164033,-0.0146485,-179.052
1681325840.5373502,442.3,10.0,0.1,0.001200579,-7.850687e-07,0.001196927,0.1369224,-0.0986638,-0.00164796,-0.0146027,-179.046
1681325844.6152909,442.3,9.47,0.1,0.001200579,2.869087e-06,0.001200583,0.3122593,-0.0986257,-0.0016327,-0.0146409,-179.052
1681325848.6996474,442.3,8.95,0.1,0.001200579,2.869087e-06,0.001204239,0.1369224,-0.0986104,-0.00162507,-0.0146561,-179.058
1681325852.7781804,442.3,8.42,0.1,0.001200579,-4.439225e-06,0.001196924,359.9624,-0.0985723,-0.00164796,-0.0146943,-179.04
1681325856.842282,442.3,7.89,0.1,0.001196924,-7.850687e-07,0.001200583,0.3122593,-0.0986028,-0.00162507,-0.0146714,-179.058
1681325860.937729,442.3,7.37,0.1,0.001196924,-4.439225e-06,0.001200583,0.1373406,-0.0986028,-0.00167084,-0.0146714,-179.034
