t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336370.9792514,442.3,2.16,0.1,0.001207891,2.869087e-06,0.00121155,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336375.0476947,442.3,2.21,0.1,0.001211547,-7.850687e-07,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336379.1116703,442.3,2.26,0.1,0.001207891,-7.850687e-07,0.00121155,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336383.1858726,442.3,2.31,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336387.2384615,442.3,2.36,0.1,0.001207891,-7.850687e-07,0.001204239,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336391.3045108,442.3,2.41,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336395.3702254,442.3,2.46,0.1,0.001207891,-7.850687e-07,0.001207891,0.1356829,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336399.431013,442.3,2.51,0.1,0.001207891,-4.439225e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336403.463511,442.3,2.56,0.1,0.001207891,-4.439225e-06,0.001207891,359.7888,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336407.5191042,442.3,2.61,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336411.578631,442.3,2.66,0.1,0.001207891,-7.850687e-07,0.001207909,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336415.6657019,442.3,2.71,0.1,0.001207891,2.869087e-06,0.001204235,359.9628,-0.0986638,-0.00164033,-0.0146027,-179.046
1681336419.747135,442.3,2.76,0.1,0.001207891,2.869087e-06,0.001204235,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336423.7949526,442.3,2.81,0.1,0.001211547,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336427.883741,442.3,2.86,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336431.942941,442.3,2.91,0.1,0.001207891,2.869087e-06,0.001207894,0.1365068,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336436.0224764,442.3,2.96,0.1,0.001211547,-7.850687e-07,0.001204239,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336440.0891306,442.3,3.02,0.1,0.001207891,2.869087e-06,0.001207894,0.1360936,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336444.1521547,442.3,3.07,0.1,0.001207891,2.869087e-06,0.00121155,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336448.2177765,442.3,3.12,0.1,0.001207891,2.869087e-06,0.001204239,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336452.2926497,442.3,3.17,0.1,0.001211547,2.869087e-06,0.001207891,0.3084905,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336456.3490026,442.3,3.22,0.1,0.001207891,6.523243e-06,0.00121155,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336460.4060292,442.3,3.27,0.1,0.001207891,2.869087e-06,0.001207891,0.3103634,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336464.4500403,442.3,3.32,0.1,0.001207891,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336468.5143778,442.3,3.37,0.1,0.001204235,2.869087e-06,0.001207891,359.9628,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336472.587134,442.3,3.42,0.1,0.001207891,-7.850687e-07,0.001207891,359.9626,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336476.6360545,442.3,3.47,0.1,0.001211547,2.869087e-06,0.001204243,0.1365068,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336480.7077992,442.3,3.52,0.1,0.001207891,2.869087e-06,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336484.7771087,442.3,3.57,0.1,0.001207891,-7.850687e-07,0.001207899,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336488.8665013,442.3,3.62,0.1,0.001207891,-7.850687e-07,0.001204239,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336492.943807,442.3,3.67,0.1,0.001207891,2.869087e-06,0.001207909,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336496.9906797,442.3,3.72,0.1,0.001207891,2.869087e-06,0.001207894,0.1360936,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336501.0399795,442.3,3.77,0.1,0.001207891,-4.439225e-06,0.001207909,359.9628,-0.0986638,-0.00165559,-0.0146027,-179.04
