t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681346689.9679701,-3.0,442.3,0.85,0.01,0.009584093,-3.140275e-06,0.009598723,0.1557514,0,0,0,0
1681346693.517422,-3.0,442.3,0.82,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346697.0697272,-3.0,442.3,0.79,0.01,0.009598716,-3.140275e-06,0.009598723,0.06850353,0,0,0,0
1681346700.626703,-3.0,442.3,0.77,0.01,0.00961334,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681346704.16909,-3.0,442.3,0.74,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346707.71654,-3.0,442.3,0.72,0.01,0.009598716,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346711.2747993,-3.0,442.3,0.69,0.01,0.009598716,-3.140275e-06,0.009598716,359.9813,0,0,0,0
1681346714.8251264,-3.0,442.3,0.67,0.01,0.009598716,-3.140275e-06,0.009598751,0.06850353,0,0,0,0
1681346718.3785427,-3.0,442.3,0.64,0.01,0.009598716,-3.140275e-06,0.009598751,0.1557514,0,0,0,0
1681346721.9374254,-3.0,442.3,0.62,0.01,0.009598716,1.147635e-05,0.009598751,0.1557514,0,0,0,0
1681346725.4778624,-3.0,442.3,0.59,0.01,0.009584093,1.147635e-05,0.00958418,0.06839932,0,0,0,0
1681346729.0327327,-3.0,442.3,0.56,0.01,0.009598716,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681346732.5782893,-3.0,442.3,0.54,0.01,0.009584093,1.147635e-05,0.0095841,0.06860805,0,0,0,0
1681346736.1225734,-3.0,442.3,0.51,0.01,0.009598716,1.147635e-05,0.009598716,0.06850353,0,0,0,0
1681346739.683222,-3.0,442.3,0.49,0.01,0.009598716,2.609297e-05,0.009584128,0.155989,0,0,0,0
1681346743.2459254,-3.0,442.3,0.46,0.01,0.009584093,-3.140275e-06,0.009598723,359.9813,0,0,0,0
1681346746.798468,-3.0,442.3,0.44,0.01,0.009598716,2.609297e-05,0.009598751,359.894,0,0,0,0
1681346750.343136,-3.0,442.3,0.41,0.01,0.009598716,1.147635e-05,0.009598716,359.9813,0,0,0,0
1681346753.9027376,-3.0,442.3,0.38,0.01,0.009584093,1.147635e-05,0.009598751,359.9812,0,0,0,0
1681346757.4570794,-3.0,442.3,0.36,0.01,0.009598716,4.070959e-05,0.009613374,359.9813,0,0,0,0
1681346761.0238466,-3.0,442.3,0.33,0.01,0.009598716,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346764.5711062,-3.0,442.3,0.31,0.01,0.009598716,2.609297e-05,0.009598802,359.9813,0,0,0,0
1681346768.1138601,-3.0,442.3,0.28,0.01,0.009598716,2.609297e-05,0.009598723,0.06850353,0,0,0,0
1681346771.660509,-3.0,442.3,0.26,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346775.2020235,-3.0,442.3,0.23,0.01,0.009584093,2.609297e-05,0.009613341,0.06850353,0,0,0,0
1681346778.7513216,-3.0,442.3,0.21,0.01,0.00961334,1.147635e-05,0.009598732,359.9813,0,0,0,0
1681346782.3119648,-3.0,442.3,0.18,0.01,0.009598716,-3.140275e-06,0.009598723,0.06860805,0,0,0,0
1681346785.8712275,-3.0,442.3,0.15,0.01,0.009598716,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681346789.4409068,-3.0,442.3,0.13,0.01,0.009598716,2.609297e-05,0.009613346,0.06860805,0,0,0,0
1681346792.994746,-3.0,442.3,0.1,0.01,0.009598716,1.147635e-05,0.009613346,359.9812,0,0,0,0
1681346796.5385296,-3.0,442.3,0.08,0.01,0.009598716,-1.77569e-05,0.009598751,359.9813,0,0,0,0
1681346800.0849676,-3.0,442.3,0.05,0.01,0.009598716,1.147635e-05,0.009598751,359.9813,0,0,0,0
1681346803.6139507,-3.0,442.3,0.03,0.01,0.009598716,1.147635e-05,0.009598732,0.1557514,0,0,0,0
1681346807.1708648,-3.0,442.3,0.0,0.01,0.009598716,1.147635e-05,0.009598723,0.1557514,0,0,0,0
1681346812.4498782,-2.3333333333333335,442.3,0.0,0.01,0.00961334,2.609297e-05,0.009598723,359.9813,0,0,0,0
1681346816.0010967,-2.3333333333333335,442.3,0.03,0.01,0.009598716,1.147635e-05,0.009613346,0.06850353,0,0,0,0
1681346819.548797,-2.3333333333333335,442.3,0.05,0.01,0.00961334,-3.140275e-06,0.009613341,0.06850353,0,0,0,0
1681346823.0849047,-2.3333333333333335,442.3,0.08,0.01,0.009598716,1.147635e-05,0.009613341,0.06839932,0,0,0,0
1681346826.632501,-2.3333333333333335,442.3,0.1,0.01,0.00961334,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346830.1704226,-2.3333333333333335,442.3,0.13,0.01,0.00961334,1.147635e-05,0.009598751,359.9813,0,0,0,0
1681346833.723347,-2.3333333333333335,442.3,0.15,0.01,0.00961334,2.609297e-05,0.009613346,0.06839932,0,0,0,0
1681346837.2741103,-2.3333333333333335,442.3,0.18,0.01,0.00961334,1.147635e-05,0.009627969,0.06850353,0,0,0,0
1681346840.837227,-2.3333333333333335,442.3,0.21,0.01,0.00961334,1.147635e-05,0.009598751,0.06850353,0,0,0,0
1681346844.3981228,-2.3333333333333335,442.3,0.23,0.01,0.009598716,1.147635e-05,0.009613346,359.9813,0,0,0,0
1681346847.9675126,-2.3333333333333335,442.3,0.26,0.01,0.009627962,2.609297e-05,0.009613346,359.9813,0,0,0,0
1681346851.5111973,-2.3333333333333335,442.3,0.28,0.01,0.00961334,1.147635e-05,0.009613374,0.06829543,0,0,0,0
1681346855.0436828,-2.3333333333333335,442.3,0.31,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346858.5761447,-2.3333333333333335,442.3,0.33,0.01,0.009598716,2.609297e-05,0.009598751,0.06850353,0,0,0,0
1681346862.1433039,-2.3333333333333335,442.3,0.36,0.01,0.00961334,1.147635e-05,0.009613374,0.2426289,0,0,0,0
1681346865.691636,-2.3333333333333335,442.3,0.38,0.01,0.009598716,2.609297e-05,0.009598751,0.1555144,0,0,0,0
1681346869.26442,-2.3333333333333335,442.3,0.41,0.01,0.00961334,1.147635e-05,0.009613346,359.9813,0,0,0,0
1681346872.8049145,-2.3333333333333335,442.3,0.44,0.01,0.009598716,-3.140275e-06,0.009613374,0.06850353,0,0,0,0
1681346876.344346,-2.3333333333333335,442.3,0.46,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346879.8989606,-2.3333333333333335,442.3,0.49,0.01,0.00961334,-3.140275e-06,0.009627969,0.06850353,0,0,0,0
1681346883.4447203,-2.3333333333333335,442.3,0.51,0.01,0.009598716,2.609297e-05,0.009613346,0.06829543,0,0,0,0
1681346887.013042,-2.3333333333333335,442.3,0.54,0.01,0.009598716,4.070959e-05,0.009598723,0.06850353,0,0,0,0
1681346890.5682254,-2.3333333333333335,442.3,0.56,0.01,0.00961334,-1.77569e-05,0.009627969,359.9813,0,0,0,0
1681346894.139074,-2.3333333333333335,442.3,0.59,0.01,0.00961334,1.147635e-05,0.009613341,0.1555144,0,0,0,0
1681346897.6827612,-2.3333333333333335,442.3,0.62,0.01,0.00961334,2.609297e-05,0.009584094,359.9813,0,0,0,0
1681346901.22102,-2.3333333333333335,442.3,0.64,0.01,0.009598716,1.147635e-05,0.009584128,0.06850353,0,0,0,0
1681346904.7931669,-2.3333333333333335,442.3,0.67,0.01,0.009598716,1.147635e-05,0.009613346,0.1555144,0,0,0,0
1681346908.329789,-2.3333333333333335,442.3,0.69,0.01,0.009598716,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346911.8857317,-2.3333333333333335,442.3,0.72,0.01,0.009598716,-3.140275e-06,0.009613346,359.9813,0,0,0,0
1681346915.4215746,-2.3333333333333335,442.3,0.74,0.01,0.009598716,1.147635e-05,0.009613346,359.9813,0,0,0,0
1681346918.962581,-2.3333333333333335,442.3,0.77,0.01,0.00961334,1.147635e-05,0.009613374,0.06839932,0,0,0,0
1681346922.5059571,-2.3333333333333335,442.3,0.79,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681346926.0719976,-2.3333333333333335,442.3,0.82,0.01,0.00961334,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681346929.6225924,-2.3333333333333335,442.3,0.85,0.01,0.00961334,1.147635e-05,0.009598723,0.1555144,0,0,0,0
1681346933.1728356,-2.3333333333333335,442.3,0.87,0.01,0.00961334,1.147635e-05,0.009613374,359.9813,0,0,0,0
1681346936.741942,-2.3333333333333335,442.3,0.9,0.01,0.009598716,1.147635e-05,0.009598716,0.1555144,0,0,0,0
1681346940.2987223,-2.3333333333333335,442.3,0.92,0.01,0.00961334,1.147635e-05,0.009613341,359.9813,0,0,0,0
1681346943.8379147,-2.3333333333333335,442.3,0.95,0.01,0.009598716,-3.140275e-06,0.009598723,0.1557514,0,0,0,0
