f,v,x,y,r,theta
30.0,0.20689655172413796,-4.7195e-07,1.50759e-08,4.72124e-07,178.164
30.0,0.22068965517241382,-5.03966e-07,1.61236e-08,5.04198e-07,178.164
30.0,0.23448275862068968,-5.36038e-07,1.71132e-08,5.36271e-07,178.164
30.0,0.24827586206896554,-5.68052e-07,1.81609e-08,5.68285e-07,178.164
30.0,0.2620689655172414,-6.00125e-07,1.92086e-08,6.00357e-07,178.164
30.0,0.2758620689655173,-6.32139e-07,2.02564e-08,6.3243e-07,178.164
30.0,0.2896551724137931,-6.64211e-07,2.12459e-08,6.64444e-07,178.164
30.0,0.303448275862069,-6.91685e-07,2.21772e-08,6.91976e-07,178.164
30.0,0.31724137931034485,-7.23699e-07,2.31668e-08,7.24049e-07,178.164
30.0,0.33103448275862074,-7.55772e-07,2.42145e-08,7.56121e-07,178.164
30.0,0.3448275862068966,-7.87844e-07,2.5204e-08,7.88194e-07,178.164
30.0,0.35862068965517246,-8.19859e-07,2.62518e-08,8.20208e-07,178.164
30.0,0.3724137931034483,-8.51873e-07,2.72413e-08,8.5228e-07,178.164
30.0,0.3862068965517242,-8.83945e-07,2.8289e-08,8.84353e-07,178.164
30.0,0.4,-9.15959e-07,2.93368e-08,9.16367e-07,178.164
40.0,0.0,-9.1398e-07,4.77887e-08,9.15203e-07,177.006
40.0,0.013793103448275864,-3.21309e-08,1.62982e-09,3.21309e-08,177.03
40.0,0.027586206896551727,-6.41453e-08,3.31785e-09,6.41453e-08,176.994
40.0,0.04137931034482759,-9.15611e-08,4.77306e-09,9.16193e-08,177.0
40.0,0.055172413793103454,-1.23518e-07,6.46108e-09,1.23634e-07,176.988
40.0,0.06896551724137932,-1.55474e-07,8.09092e-09,1.5559e-07,177.018
40.0,0.08275862068965519,-1.8743e-07,9.77894e-09,1.87662e-07,177.0
40.0,0.09655172413793105,-2.19386e-07,1.14088e-08,2.19618e-07,177.006
40.0,0.11034482758620691,-2.51401e-07,1.3155e-08,2.51692e-07,177.0
40.0,0.12413793103448277,-2.83415e-07,1.47848e-08,2.83764e-07,177.012
40.0,0.13793103448275865,-3.15371e-07,1.65311e-08,3.1572e-07,177.0
40.0,0.1517241379310345,-3.47385e-07,1.81609e-08,3.47793e-07,177.006
40.0,0.16551724137931037,-3.79225e-07,1.97907e-08,3.7969e-07,177.006
40.0,0.17931034482758623,-4.06757e-07,2.12459e-08,4.07223e-07,177.0
40.0,0.1931034482758621,-4.38655e-07,2.28757e-08,4.39179e-07,177.006
40.0,0.20689655172413796,-4.70611e-07,2.4622e-08,4.71193e-07,177.006
40.0,0.22068965517241382,-5.02685e-07,2.62518e-08,5.03325e-07,177.006
40.0,0.23448275862068968,-5.34525e-07,2.7998e-08,5.35223e-07,177.0
40.0,0.24827586206896554,-5.66539e-07,2.96278e-08,5.67237e-07,177.006
40.0,0.2620689655172414,-5.98437e-07,3.12577e-08,5.99193e-07,177.006
40.0,0.2758620689655173,-6.30451e-07,3.29458e-08,6.31266e-07,177.006
40.0,0.2896551724137931,-6.62349e-07,3.46338e-08,6.63222e-07,177.006
40.0,0.303448275862069,-6.89823e-07,3.6089e-08,6.90696e-07,177.006
40.0,0.31724137931034485,-7.2172e-07,3.77188e-08,7.22652e-07,177.006
40.0,0.33103448275862074,-7.53676e-07,3.94068e-08,7.54608e-07,177.006
40.0,0.3448275862068966,-7.85632e-07,4.10948e-08,7.86622e-07,177.006
40.0,0.35862068965517246,-8.17647e-07,4.27247e-08,8.18694e-07,177.006
40.0,0.3724137931034483,-8.49603e-07,4.44127e-08,8.50709e-07,177.006
40.0,0.3862068965517242,-8.815e-07,4.60425e-08,8.82665e-07,177.006
40.0,0.4,-9.13456e-07,4.77887e-08,9.14621e-07,177.006
50.0,0.0,-9.09731e-07,6.95004e-08,9.12351e-07,175.632
50.0,0.013793103448275864,-3.18398e-08,2.79398e-09,3.1898e-08,174.906
50.0,0.027586206896551727,-6.42035e-08,5.06409e-09,6.43781e-08,175.488
50.0,0.04137931034482759,-9.15029e-08,6.75212e-09,9.17357e-08,175.752
50.0,0.055172413793103454,-1.23052e-07,8.96404e-09,1.23343e-07,175.818
50.0,0.06896551724137932,-1.54426e-07,1.16416e-08,1.54775e-07,175.68
50.0,0.08275862068965519,-1.86265e-07,1.43773e-08,1.86789e-07,175.578
50.0,0.09655172413793105,-2.18512e-07,1.71132e-08,2.19153e-07,175.518
50.0,0.11034482758620691,-2.50702e-07,1.89758e-08,2.51401e-07,175.656
50.0,0.12413793103448277,-2.82134e-07,2.11877e-08,2.82891e-07,175.704
50.0,0.13793103448275865,-3.13625e-07,2.42145e-08,3.14498e-07,175.578
50.0,0.1517241379310345,-3.46046e-07,2.68338e-08,3.47036e-07,175.56
50.0,0.16551724137931037,-3.78002e-07,2.91622e-08,3.7905e-07,175.59
50.0,0.17931034482758623,-4.05069e-07,3.05592e-08,4.06175e-07,175.68
50.0,0.1931034482758621,-4.36385e-07,3.32368e-08,4.37607e-07,175.638
50.0,0.20689655172413796,-4.68282e-07,3.6089e-08,4.69621e-07,175.59
50.0,0.22068965517241382,-5.00473e-07,3.87083e-08,5.01928e-07,175.572
50.0,0.23448275862068968,-5.32662e-07,4.05128e-08,5.34117e-07,175.644
50.0,0.24827586206896554,-5.63687e-07,4.31321e-08,5.65316e-07,175.62
50.0,0.2620689655172414,-5.95759e-07,4.59843e-08,5.97447e-07,175.584
50.0,0.2758620689655173,-6.28123e-07,4.83126e-08,6.29927e-07,175.602
50.0,0.2896551724137931,-6.59438e-07,5.00588e-08,6.61301e-07,175.656
50.0,0.303448275862069,-6.86388e-07,5.25617e-08,6.88309e-07,175.62
50.0,0.31724137931034485,-7.18752e-07,5.54139e-08,7.20789e-07,175.59
50.0,0.33103448275862074,-7.5065e-07,5.77422e-08,7.52862e-07,175.596
50.0,0.3448275862068966,-7.82664e-07,5.98961e-08,7.84934e-07,175.626
50.0,0.35862068965517246,-8.1398e-07,6.19334e-08,8.1625e-07,175.644
50.0,0.3724137931034483,-8.45703e-07,6.43781e-08,8.48147e-07,175.644
50.0,0.3862068965517242,-8.77368e-07,6.74631e-08,8.79871e-07,175.602
50.0,0.4,-9.09848e-07,6.99079e-08,9.12467e-07,175.608
10.0,0.0,-9.16367e-07,-1.80444e-09,9.16309e-07,-179.892
10.0,0.013793103448275864,-3.21891e-08,-1.16416e-10,3.21309e-08,-179.88
10.0,0.027586206896551727,-6.43199e-08,-1.74624e-10,6.42617e-08,-179.85
10.0,0.04137931034482759,-9.17357e-08,-1.74624e-10,9.16775e-08,-179.898
10.0,0.055172413793103454,-1.23867e-07,-2.9104e-10,1.23809e-07,-179.892
10.0,0.06896551724137932,-1.55881e-07,-3.49248e-10,1.55823e-07,-179.892
10.0,0.08275862068965519,-1.87953e-07,-4.07455e-10,1.87895e-07,-179.886
10.0,0.09655172413793105,-2.20026e-07,-4.65665e-10,2.19968e-07,-179.886
10.0,0.11034482758620691,-2.52041e-07,-5.23873e-10,2.51983e-07,-179.886
10.0,0.12413793103448277,-2.84172e-07,-5.8208e-10,2.84113e-07,-179.886
10.0,0.13793103448275865,-3.16186e-07,-6.40288e-10,3.16128e-07,-179.886
10.0,0.1517241379310345,-3.48316e-07,-6.98495e-10,3.48258e-07,-179.892
10.0,0.16551724137931037,-3.80331e-07,-7.56703e-10,3.80272e-07,-179.892
10.0,0.17931034482758623,-4.07805e-07,-8.14911e-10,4.07746e-07,-179.886
10.0,0.1931034482758621,-4.39819e-07,-8.73118e-10,4.39761e-07,-179.886
10.0,0.20689655172413796,-4.71891e-07,-9.89537e-10,4.71833e-07,-179.886
10.0,0.22068965517241382,-5.03966e-07,-9.89537e-10,5.03907e-07,-179.892
10.0,0.23448275862068968,-5.3598e-07,-1.04775e-09,5.35922e-07,-179.892
10.0,0.24827586206896554,-5.68052e-07,-1.10595e-09,5.67994e-07,-179.886
10.0,0.2620689655172414,-6.00125e-07,-1.22237e-09,6.00066e-07,-179.886
10.0,0.2758620689655173,-6.32139e-07,-1.28058e-09,6.32081e-07,-179.886
10.0,0.2896551724137931,-6.64153e-07,-1.33878e-09,6.64095e-07,-179.886
10.0,0.303448275862069,-6.91627e-07,-1.33878e-09,6.91569e-07,-179.892
10.0,0.31724137931034485,-7.23641e-07,-1.4552e-09,7.23583e-07,-179.886
10.0,0.33103448275862074,-7.55714e-07,-1.51341e-09,7.55655e-07,-179.886
10.0,0.3448275862068966,-7.87728e-07,-1.57161e-09,7.8767e-07,-179.886
10.0,0.35862068965517246,-8.198e-07,-1.62982e-09,8.19742e-07,-179.886
10.0,0.3724137931034483,-8.51815e-07,-1.68803e-09,8.51756e-07,-179.886
10.0,0.3862068965517242,-8.83829e-07,-1.74624e-09,8.83771e-07,-179.886
10.0,0.4,-9.15843e-07,-1.80444e-09,9.15785e-07,-179.886
20.0,0.0,-9.15494e-07,1.30968e-08,9.15552e-07,179.178
20.0,0.013793103448275864,-3.21891e-08,4.65665e-10,3.21309e-08,179.166
20.0,0.027586206896551727,-6.42035e-08,8.73118e-10,6.41453e-08,179.196
20.0,0.04137931034482759,-9.16775e-08,1.28058e-09,9.16193e-08,179.184
20.0,0.055172413793103454,-1.2375e-07,1.74624e-09,1.23692e-07,179.184
20.0,0.06896551724137932,-1.55706e-07,2.21191e-09,1.55648e-07,179.178
20.0,0.08275862068965519,-1.87779e-07,2.67757e-09,1.87721e-07,179.178
20.0,0.09655172413793105,-2.19735e-07,3.08502e-09,2.19735e-07,179.184
20.0,0.11034482758620691,-2.51808e-07,3.55068e-09,2.5175e-07,179.178
20.0,0.12413793103448277,-2.83822e-07,4.01636e-09,2.83822e-07,179.178
20.0,0.13793103448275865,-3.15837e-07,4.48202e-09,3.15837e-07,179.178
20.0,0.1517241379310345,-3.47909e-07,4.94768e-09,3.47909e-07,179.184
20.0,0.16551724137931037,-3.79923e-07,5.41334e-09,3.79865e-07,179.178
20.0,0.17931034482758623,-4.07339e-07,5.82079e-09,4.07339e-07,179.178
20.0,0.1931034482758621,-4.39353e-07,6.28646e-09,4.39295e-07,179.178
20.0,0.20689655172413796,-4.71367e-07,6.69391e-09,4.71309e-07,179.184
20.0,0.22068965517241382,-5.03383e-07,7.15957e-09,5.03442e-07,179.178
20.0,0.23448275862068968,-5.35398e-07,7.62526e-09,5.35398e-07,179.178
20.0,0.24827586206896554,-5.67412e-07,8.09092e-09,5.67412e-07,179.178
20.0,0.2620689655172414,-5.99426e-07,8.55658e-09,5.99426e-07,179.178
20.0,0.2758620689655173,-6.3144e-07,9.02224e-09,6.3144e-07,179.178
20.0,0.2896551724137931,-6.63396e-07,9.48791e-09,6.63396e-07,179.178
20.0,0.303448275862069,-6.90812e-07,9.89536e-09,6.90812e-07,179.178
20.0,0.31724137931034485,-7.22943e-07,1.03028e-08,7.22943e-07,179.178
20.0,0.33103448275862074,-7.54841e-07,1.07685e-08,7.54841e-07,179.178
20.0,0.3448275862068966,-7.86855e-07,1.12341e-08,7.86855e-07,179.178
20.0,0.35862068965517246,-8.18869e-07,1.16998e-08,8.18927e-07,179.178
20.0,0.3724137931034483,-8.50883e-07,1.21655e-08,8.50883e-07,179.178
20.0,0.3862068965517242,-8.82897e-07,1.26311e-08,8.82956e-07,179.178
20.0,0.4,-9.14912e-07,1.30968e-08,9.14912e-07,179.178
30.0,0.0,-9.13806e-07,2.92786e-08,9.14213e-07,178.164
30.0,0.013793103448275864,-3.20726e-08,9.89537e-10,3.20144e-08,178.152
30.0,0.027586206896551727,-6.41453e-08,2.03728e-09,6.40871e-08,178.152
30.0,0.04137931034482759,-9.15029e-08,2.9104e-09,9.14447e-08,178.164
30.0,0.055172413793103454,-1.23518e-07,3.95815e-09,1.23518e-07,178.158
30.0,0.06896551724137932,-1.55415e-07,4.94768e-09,1.55415e-07,178.17
30.0,0.08275862068965519,-1.8743e-07,5.99542e-09,1.87488e-07,178.164
30.0,0.09655172413793105,-2.19327e-07,6.98495e-09,2.19386e-07,178.164
30.0,0.11034482758620691,-2.51401e-07,8.03271e-09,2.51459e-07,178.164
30.0,0.12413793103448277,-2.83357e-07,9.02224e-09,2.83415e-07,178.17
30.0,0.13793103448275865,-3.15255e-07,1.007e-08,3.15371e-07,178.164
30.0,0.1517241379310345,-3.47269e-07,1.11177e-08,3.47385e-07,178.164
30.0,0.16551724137931037,-3.79225e-07,1.21073e-08,3.79341e-07,178.17
30.0,0.17931034482758623,-4.06582e-07,1.29804e-08,4.06757e-07,178.164
30.0,0.1931034482758621,-4.38538e-07,1.40281e-08,4.38713e-07,178.164
30.0,0.20689655172413796,-4.70553e-07,1.50177e-08,4.70727e-07,178.164
30.0,0.22068965517241382,-5.0251e-07,1.60654e-08,5.02743e-07,178.164
30.0,0.23448275862068968,-5.34466e-07,1.71132e-08,5.34641e-07,178.164
30.0,0.24827586206896554,-5.66481e-07,1.81609e-08,5.66713e-07,178.164
30.0,0.2620689655172414,-5.98378e-07,1.91504e-08,5.98669e-07,178.164
30.0,0.2758620689655173,-6.30393e-07,2.01982e-08,6.30625e-07,178.164
30.0,0.2896551724137931,-6.6229e-07,2.11877e-08,6.62523e-07,178.164
30.0,0.303448275862069,-6.89648e-07,2.20608e-08,6.89997e-07,178.164
30.0,0.31724137931034485,-7.21604e-07,2.31086e-08,7.21953e-07,178.164
30.0,0.33103448275862074,-7.53502e-07,2.40981e-08,7.53851e-07,178.164
30.0,0.3448275862068966,-7.85516e-07,2.51458e-08,7.85807e-07,178.164
30.0,0.35862068965517246,-8.17414e-07,2.61936e-08,8.17821e-07,178.164
30.0,0.3724137931034483,-8.4937e-07,2.71831e-08,8.49777e-07,178.164
30.0,0.3862068965517242,-8.81326e-07,2.82308e-08,8.81733e-07,178.164
30.0,0.4,-9.13224e-07,2.92204e-08,9.13631e-07,178.164
40.0,0.0,-9.11303e-07,4.76141e-08,9.12467e-07,177.006
40.0,0.013793103448275864,-3.20144e-08,1.68803e-09,3.19562e-08,176.958
40.0,0.027586206896551727,-6.39707e-08,3.31785e-09,6.40289e-08,177.018
40.0,0.04137931034482759,-9.12119e-08,4.71485e-09,9.13283e-08,177.006
40.0,0.055172413793103454,-1.23168e-07,6.46108e-09,1.23285e-07,176.994
40.0,0.06896551724137932,-1.55008e-07,8.09092e-09,1.55183e-07,177.006
40.0,0.08275862068965519,-1.86906e-07,9.77894e-09,1.87139e-07,177.0
40.0,0.09655172413793105,-2.18804e-07,1.14088e-08,2.19036e-07,177.006
40.0,0.11034482758620691,-2.50644e-07,1.30968e-08,2.50935e-07,177.006
40.0,0.12413793103448277,-2.826e-07,1.47266e-08,2.82949e-07,177.012
40.0,0.13793103448275865,-3.1444e-07,1.64147e-08,3.14789e-07,177.0
40.0,0.1517241379310345,-3.46337e-07,1.80445e-08,3.46745e-07,177.006
40.0,0.16551724137931037,-3.78177e-07,1.97325e-08,3.78643e-07,177.006
40.0,0.17931034482758623,-4.05535e-07,2.11877e-08,4.06058e-07,177.006
40.0,0.1931034482758621,-4.37374e-07,2.28175e-08,4.37898e-07,177.006
40.0,0.20689655172413796,-4.69214e-07,2.45637e-08,4.69796e-07,177.006
40.0,0.22068965517241382,-5.01113e-07,2.61936e-08,5.01754e-07,177.006
40.0,0.23448275862068968,-5.32953e-07,2.78816e-08,5.33651e-07,177.006
40.0,0.24827586206896554,-5.64851e-07,2.95114e-08,5.65549e-07,177.006
40.0,0.2620689655172414,-5.96749e-07,3.11995e-08,5.97505e-07,177.006
40.0,0.2758620689655173,-6.28646e-07,3.28293e-08,6.29461e-07,177.012
