DYT048
2022-3-7LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
10:11:13	250.07	-0.34	1	0.00450137	0.000280382	3.576	9.3773e-08	2.67757e-09	1.668
10:11:23	250.26	-0.32	2	0.00864416	0.000503544	3.342	9.2376e-08	1.97907e-09	1.242
10:11:33	250.48	-0.34	3	0.00415805	0.000223161	3.096	9.12701e-08	1.57161e-09	1.002
10:11:43	250.73	-0.30	1	0.00450137	0.000280382	3.576	9.3773e-08	2.73577e-09	1.686
10:11:53	251.01	-0.32	2	0.00864226	0.000505451	3.354	9.2376e-08	1.97907e-09	1.242
10:12:03	251.28	-0.32	3	0.00415805	0.000223161	3.096	9.12701e-08	1.51341e-09	0.984
10:12:13	251.56	-0.30	1	0.00450137	0.000280382	3.576	9.3773e-08	2.67757e-09	1.668
10:12:23	251.87	-0.30	2	0.00863844	0.000503544	3.348	9.2376e-08	1.97907e-09	1.242
10:12:33	252.15	-0.30	3	0.00415614	0.000223161	3.096	9.13283e-08	1.57161e-09	1.002
10:12:44	252.44	-0.30	1	0.00449947	0.000280382	3.582	9.3773e-08	2.73577e-09	1.686
10:12:54	252.76	-0.28	2	0.00863081	0.000503544	3.348	9.2376e-08	1.97907e-09	1.242
10:13:04	253.06	-0.24	3	0.00415233	0.000223161	3.102	9.13283e-08	1.51341e-09	0.984
10:13:14	253.37	-0.30	1	0.00449184	0.000280382	3.588	9.38312e-08	2.73577e-09	1.686
10:13:24	253.68	-0.22	2	0.00862128	0.000503544	3.354	9.2376e-08	1.97907e-09	1.26
10:13:34	253.98	-0.22	3	0.00414661	0.000223161	3.108	9.13283e-08	1.57161e-09	1.002
10:13:44	254.31	-0.24	1	0.00448421	0.000278475	3.57	9.38312e-08	2.67757e-09	1.668
10:13:54	254.62	-0.20	2	0.00860411	0.000503544	3.36	9.24342e-08	1.97907e-09	1.26
10:14:04	254.92	-0.18	3	0.00414088	0.000223161	3.108	9.13283e-08	1.57161e-09	1.002
10:14:14	255.23	-0.16	1	0.00447276	0.000278475	3.582	9.38312e-08	2.73577e-09	1.686
10:14:24	255.55	-0.18	2	0.00858122	0.000503544	3.366	9.24342e-08	2.03728e-09	1.278
10:14:35	255.86	-0.18	3	0.00412944	0.000223161	3.096	9.13283e-08	1.62982e-09	1.026
10:14:45	256.19	-0.18	1	0.00445941	0.000278475	3.594	9.38312e-08	2.73577e-09	1.686
10:14:55	256.52	-0.16	2	0.00855452	0.000501636	3.366	9.24924e-08	1.97907e-09	1.26
10:15:05	256.83	-0.18	3	0.00411227	0.000223161	3.132	9.13283e-08	1.62982e-09	1.026
10:15:15	257.17	-0.08	1	0.00444224	0.000276567	3.582	9.38894e-08	2.73577e-09	1.686
10:15:25	257.49	-0.18	2	0.00852209	0.000501636	3.366	9.24924e-08	2.03728e-09	1.278
10:15:35	257.81	-0.12	3	0.00410083	0.000223161	3.114	9.13865e-08	1.62982e-09	1.026
10:15:45	258.14	-0.14	1	0.00442317	0.000276567	3.6	9.38894e-08	2.79398e-09	1.71
10:15:55	258.47	-0.04	2	0.00848204	0.000503544	3.408	9.24924e-08	2.03728e-09	1.278
10:16:05	258.79	-0.04	3	0.00407985	0.000223161	3.156	9.13865e-08	1.62982e-09	1.044
10:16:15	259.13	-0.10	1	0.00439838	0.000276567	3.6	9.39476e-08	2.79398e-09	1.704
10:16:25	259.45	-0.06	2	0.00843817	0.000505451	3.438	9.25506e-08	2.09549e-09	1.302
10:16:36	259.77	-0.06	3	0.00406078	0.000228883	3.24	9.14447e-08	1.68803e-09	1.086
10:16:46	260.12	0.00	1	0.00437167	0.000276567	3.618	9.39476e-08	2.79398e-09	1.728
