DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
18:13:09	286.29	0.36	2	0.0233079	0.000646595	1.59	8.61478e-08	-5.23873e-10	-0.33
18:13:14	286.04	0.40	3	0.0162126	0.000307085	1.092	8.40523e-08	-1.33878e-09	-0.906
18:13:19	285.78	0.36	1	0.00721934	0.000326158	2.592	9.13283e-08	1.80444e-09	1.152
18:13:24	285.50	0.34	2	0.0235196	0.000638966	1.56	8.60314e-08	-5.8208e-10	-0.354
18:13:29	285.24	0.34	3	0.0163575	0.000299456	1.05	8.38777e-08	-1.39699e-09	-0.936
18:13:35	284.99	0.38	1	0.00728801	0.000326158	2.568	9.12119e-08	1.74624e-09	1.128
18:13:40	284.74	0.40	2	0.023739	0.000631336	1.524	8.5915e-08	-5.8208e-10	-0.378
18:13:45	284.49	0.38	3	0.0165101	0.000291826	1.02	8.37613e-08	-1.4552e-09	-0.978
18:13:50	284.21	0.42	1	0.0073624	0.000326158	2.538	9.11537e-08	1.74624e-09	1.11
18:13:55	283.95	0.38	2	0.0239698	0.000621799	1.488	8.57985e-08	-6.40288e-10	-0.42
18:14:00	283.71	0.28	3	0.0166684	0.000284197	0.978	8.35867e-08	-1.51341e-09	-1.026
18:14:05	283.46	0.30	1	0.00743678	0.000326158	2.514	9.10954e-08	1.68803e-09	1.092
18:14:10	283.18	0.28	2	0.0242101	0.00061417	1.458	8.56821e-08	-6.98495e-10	-0.444
18:14:15	282.93	0.24	3	0.0168344	0.00027466	0.936	8.3412e-08	-1.57161e-09	-1.05
18:14:20	282.68	0.26	1	0.00751689	0.000326158	2.49	9.0979e-08	1.68803e-09	1.092
18:14:25	282.44	0.20	2	0.02446	0.000606541	1.422	8.55075e-08	-7.56703e-10	-0.492
18:14:30	282.17	0.26	3	0.017006	0.000263216	0.894	8.32956e-08	-1.62982e-09	-1.098
18:14:36	281.91	0.26	1	0.00759891	0.000326158	2.46	9.09208e-08	1.68803e-09	1.068
18:14:41	281.67	0.26	2	0.0247175	0.000595096	1.38	8.53911e-08	-8.14911e-10	-0.516
18:14:46	281.43	0.30	3	0.0171815	0.000253679	0.852	8.3121e-08	-1.68803e-09	-1.128
18:14:51	281.18	0.28	1	0.00768283	0.000326158	2.436	9.08044e-08	1.62982e-09	1.05
