DYT048
2022-3-6LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
22:18:14	399.96	-0.30	1	0.000608448	5.14986e-05	4.842	9.81386e-08	4.65664e-09	2.718
22:18:24	399.87	-0.24	2	0.00147248	0.000122071	4.782	9.79057e-08	4.48202e-09	2.652
22:18:34	399.78	-0.28	3	0.000860218	7.05724e-05	4.752	9.77893e-08	4.48202e-09	2.634
22:18:44	399.70	-0.22	1	0.000608448	5.14986e-05	4.842	9.81386e-08	4.65664e-09	2.742
22:18:54	399.62	-0.26	2	0.00147439	0.000122071	4.782	9.79057e-08	4.48202e-09	2.628
22:19:04	399.53	-0.24	3	0.00086594	7.05724e-05	4.728	9.77893e-08	4.42381e-09	2.616
22:19:14	399.44	-0.22	1	0.000610355	5.14986e-05	4.83	9.81386e-08	4.65664e-09	2.724
22:19:24	399.36	-0.20	2	0.0014763	0.000122071	4.776	9.79057e-08	4.48202e-09	2.652
22:19:34	399.27	-0.24	3	0.000858311	7.05724e-05	4.764	9.77893e-08	4.48202e-09	2.634
22:19:44	399.18	-0.22	1	0.000610355	5.14986e-05	4.83	9.81386e-08	4.65664e-09	2.742
22:19:54	399.10	-0.18	2	0.0014782	0.000122071	4.77	9.79057e-08	4.48202e-09	2.652
22:20:05	399.02	-0.18	3	0.000867847	7.05724e-05	4.716	9.77893e-08	4.42381e-09	2.616
22:20:15	398.93	-0.18	1	0.000610355	5.14986e-05	4.83	9.81386e-08	4.65664e-09	2.718
22:20:25	398.84	-0.18	2	0.0014782	0.000122071	4.764	9.79057e-08	4.48202e-09	2.652
22:20:35	398.76	-0.18	3	0.00086594	7.05724e-05	4.728	9.77893e-08	4.42381e-09	2.616
22:20:45	398.68	-0.16	1	0.000612263	5.14986e-05	4.818	9.81386e-08	4.65664e-09	2.724
22:20:55	398.59	-0.14	2	0.00148011	0.000122071	4.758	9.79057e-08	4.48202e-09	2.652
22:21:05	398.50	-0.14	3	0.000869755	7.05724e-05	4.71	9.77893e-08	4.42381e-09	2.616
22:21:15	398.42	-0.08	1	0.00061417	5.14986e-05	4.806	9.81386e-08	4.65664e-09	2.718
22:21:25	398.34	-0.16	2	0.00148392	0.000122071	4.746	9.79057e-08	4.48202e-09	2.652
22:21:35	398.26	-0.12	3	0.000862125	7.05724e-05	4.746	9.77893e-08	4.42381e-09	2.616
22:21:45	398.17	-0.10	1	0.000617985	5.14986e-05	4.776	9.81386e-08	4.65664e-09	2.718
22:21:56	398.09	-0.12	2	0.00148774	0.000122071	4.734	9.79057e-08	4.48202e-09	2.652
22:22:06	398.00	-0.14	3	0.000871662	7.05724e-05	4.692	9.77893e-08	4.42381e-09	2.616
22:22:16	397.92	-0.12	1	0.000617985	5.14986e-05	4.776	9.81386e-08	4.65664e-09	2.724
22:22:26	397.84	-0.08	2	0.00148965	0.000123979	4.794	9.79057e-08	4.48202e-09	2.652
22:22:36	397.75	-0.10	3	0.000871662	7.05724e-05	4.692	9.77893e-08	4.48202e-09	2.634
22:22:46	397.67	-0.12	1	0.000619892	5.14986e-05	4.764	9.81386e-08	4.65664e-09	2.718
22:22:56	397.58	0.00	2	0.00149155	0.000123979	4.782	9.79057e-08	4.48202e-09	2.652
22:23:06	397.50	-0.04	3	0.000873569	7.05724e-05	4.68	9.77893e-08	4.48202e-09	2.634
22:23:16	397.42	-0.04	1	0.000619892	5.14986e-05	4.752	9.81386e-08	4.65664e-09	2.724
22:23:26	397.33	0.00	2	0.00149537	0.000123979	4.776	9.79057e-08	4.48202e-09	2.652
22:23:36	397.25	0.00	3	0.000877384	7.24797e-05	4.77	9.77893e-08	4.42381e-09	2.616
22:23:46	397.16	0.04	1	0.000621799	5.14986e-05	4.89	9.81386e-08	4.65664e-09	2.724
22:23:57	397.08	-0.02	2	0.00149918	0.000123979	4.764	9.78475e-08	4.48202e-09	2.652
22:24:07	397.00	0.00	3	0.000875477	7.24797e-05	4.782	9.77893e-08	4.42381e-09	2.616
22:24:17	396.91	0.02	1	0.000623707	5.14986e-05	4.878	9.81386e-08	4.65664e-09	2.718
22:24:27	396.83	0.04	2	0.00150491	0.000123979	4.746	9.79057e-08	4.48202e-09	2.652
22:24:37	396.74	0.04	3	0.000879291	7.24797e-05	4.764	9.77893e-08	4.42381e-09	2.616
22:24:47	396.66	0.06	1	0.000625614	5.14986e-05	4.866	9.81386e-08	4.65664e-09	2.724
