DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE
16:11:24	300.00	-78374.13	3	0.0142213	0.00039673	1.608
16:11:29	300.00	-78221.23	3	0.0142213	0.00039673	1.608
16:11:34	300.00	-78071.38	3	0.0142213	0.00039673	1.608
16:11:39	300.00	-77921.39	3	0.0142213	0.00039673	1.608
16:11:44	300.00	-77768.42	3	0.0142213	0.00039673	1.608
16:11:49	300.00	-77618.40	3	0.0142213	0.00039673	1.608
16:11:54	300.00	-77468.48	3	0.0142518	0.00039673	1.608
16:11:59	300.00	-77315.65	3	0.0142518	0.00039673	1.608
16:12:04	300.00	-77162.82	3	0.0142518	0.00039673	1.608
16:12:09	300.00	-77012.79	3	0.0142518	0.00039673	1.608
16:12:14	300.00	-76862.88	3	0.0142518	0.00039673	1.608
16:12:19	300.00	-76712.86	3	0.0142518	0.00039673	1.608
16:12:24	300.00	-76559.53	3	0.0142823	0.00039673	1.602
16:12:29	300.00	-76409.61	3	0.0142823	0.00039673	1.602
16:12:34	300.00	-76256.55	3	0.0142823	0.00039673	1.602
16:12:39	300.00	-76103.70	3	0.0142823	0.00039673	1.602
16:12:44	300.00	-75953.76	3	0.0142823	0.00039673	1.602
16:12:49	300.00	-75800.93	3	0.0142823	0.000366213	1.536
16:12:55	300.00	-75650.93	3	0.0142823	0.00039673	1.602
16:13:00	300.00	-75501.03	3	0.0142823	0.000366213	1.536
16:13:05	300.00	-75351.06	3	0.0142823	0.000366213	1.536
16:13:10	300.00	-75197.98	3	0.0142823	0.00039673	1.602
16:13:15	300.00	-75048.08	3	0.0142823	0.000366213	1.536
16:13:20	300.00	-74895.19	3	0.0142823	0.000366213	1.536
16:13:25	300.00	-74745.24	3	0.0142823	0.000366213	1.536
16:13:30	300.00	-74592.27	3	0.0142823	0.000366213	1.536
16:13:35	300.00	-74442.34	3	0.0142823	0.000366213	1.536
16:13:40	300.00	-74292.37	3	0.0142823	0.000366213	1.536
16:13:45	300.00	-74139.45	3	0.0143128	0.000366213	1.536
16:13:50	300.00	-73989.55	3	0.0143128	0.000366213	1.536
16:13:55	300.00	-73836.66	3	0.0143128	0.000366213	1.536
16:14:00	300.00	-73683.32	3	0.0143128	0.000366213	1.536
16:14:05	300.00	-73533.36	3	0.0143128	0.000366213	1.536
16:14:10	300.00	-73380.35	3	0.0143128	0.000366213	1.536
16:14:15	300.00	-73230.46	3	0.0143128	0.000366213	1.536
16:14:20	300.00	-73077.52	3	0.0143128	0.000366213	1.536
16:14:25	300.00	-72927.71	3	0.0143128	0.000366213	1.536
16:14:30	300.00	-72774.84	3	0.0143128	0.000366213	1.53
16:14:35	300.00	-72624.81	3	0.0143128	0.000366213	1.53
16:14:40	300.00	-72471.81	3	0.0143128	0.000366213	1.53
16:14:46	300.00	-72321.88	3	0.0143128	0.000366213	1.53
16:14:51	300.00	-72168.77	3	0.0143128	0.000366213	1.53
16:14:56	300.00	-72018.81	3	0.0143128	0.000366213	1.53
16:15:01	300.00	-71865.95	3	0.0143128	0.000366213	1.53
16:15:06	300.00	-71715.98	3	0.0143128	0.000366213	1.53
16:15:11	300.00	-71566.05	3	0.0143433	0.000366213	1.53
16:15:16	300.00	-71413.13	3	0.0143433	0.000366213	1.53
16:15:21	300.00	-71263.23	3	0.0143433	0.000366213	1.53
16:15:26	300.00	-71110.25	3	0.0143433	0.000366213	1.53
16:15:31	300.00	-70960.39	3	0.0143433	0.000366213	1.53
16:15:36	300.00	-70810.44	3	0.0143433	0.000366213	1.53
16:15:41	300.00	-70657.43	3	0.0143433	0.000366213	1.53
16:15:46	300.00	-70504.47	3	0.0143433	0.000366213	1.53
16:15:51	300.00	-70354.41	3	0.0143433	0.000366213	1.53
16:15:56	300.00	-70201.57	3	0.0143433	0.000366213	1.53
16:16:01	300.00	-70051.47	3	0.0143433	0.000366213	1.53
16:16:06	300.00	-69901.81	3	0.0143433	0.000366213	1.53
16:16:11	300.00	-69748.73	3	0.0143433	0.000366213	1.53
16:16:16	300.00	-69598.85	3	0.0143433	0.000366213	1.53
16:16:21	300.00	-69445.91	3	0.0143433	0.000366213	1.53
