DYT048
2022-3-6LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
14:34:00	359.80	0.26	1	0.00167657	0.000131608	4.548	9.7149e-08	4.19098e-09	2.472
14:34:10	359.97	0.24	2	0.00498202	0.00037575	4.326	9.61013e-08	3.60889e-09	2.184
14:34:20	360.14	0.24	3	0.00330545	0.000242234	4.212	9.55774e-08	3.37606e-09	2.058
14:34:30	360.30	0.28	1	0.00166512	0.000131608	4.518	9.7149e-08	4.19098e-09	2.496
14:34:40	360.47	0.22	2	0.0049496	0.000373842	4.332	9.60431e-08	3.60889e-09	2.184
14:34:50	360.64	0.22	3	0.00328447	0.000240327	4.206	9.55774e-08	3.37606e-09	2.058
14:35:00	360.81	0.28	1	0.00165368	0.000131608	4.548	9.72072e-08	4.19098e-09	2.472
14:35:10	360.98	0.28	2	0.00491527	0.000371935	4.344	9.61595e-08	3.60889e-09	2.184
14:35:20	361.15	0.22	3	0.00325967	0.000240327	4.236	9.55774e-08	3.43427e-09	2.076
14:35:30	361.31	0.24	1	0.00164414	0.000129701	4.518	9.72072e-08	4.19098e-09	2.49
14:35:40	361.48	0.28	2	0.00488093	0.000370027	4.356	9.61595e-08	3.60889e-09	2.184
14:35:51	361.65	0.24	3	0.00323488	0.00023842	4.242	9.56356e-08	3.37606e-09	2.052
14:36:01	361.82	0.28	1	0.0016327	0.000129701	4.548	9.72072e-08	4.19098e-09	2.49
14:36:11	361.99	0.26	2	0.0048447	0.00036812	4.344	9.61595e-08	3.6671e-09	2.202
14:36:21	362.16	0.26	3	0.00321199	0.000236512	4.242	9.56356e-08	3.43427e-09	2.076
14:36:31	362.32	0.24	1	0.00162125	0.000127793	4.524	9.72072e-08	4.19098e-09	2.49
14:36:41	362.50	0.28	2	0.00481036	0.000366213	4.356	9.61595e-08	3.6671e-09	2.202
14:36:51	362.66	0.26	3	0.00318719	0.000236512	4.248	9.56356e-08	3.43427e-09	2.076
14:37:01	362.83	0.30	1	0.00160981	0.000127793	4.56	9.72072e-08	4.19098e-09	2.49
14:37:11	363.00	0.28	2	0.00477412	0.000362398	4.35	9.62177e-08	3.6671e-09	2.202
14:37:21	363.17	0.28	3	0.0031624	0.000234605	4.248	9.56938e-08	3.49247e-09	2.094
14:37:31	363.34	0.24	1	0.00159837	0.000125886	4.524	9.72655e-08	4.24919e-09	2.508
14:37:41	363.51	0.32	2	0.00473979	0.000360491	4.362	9.62177e-08	3.72532e-09	2.22
14:37:52	363.67	0.24	3	0.0031376	0.000232697	4.254	9.56938e-08	3.49247e-09	2.094
14:38:02	363.84	0.24	1	0.00158692	0.000125886	4.56	9.72072e-08	4.24919e-09	2.514
14:38:12	364.01	0.26	2	0.00469974	0.000358583	4.38	9.62177e-08	3.6671e-09	2.202
14:38:22	364.17	0.28	3	0.00311281	0.00023079	4.254	9.57521e-08	3.49247e-09	2.094
14:38:32	364.35	0.34	1	0.00157548	0.000123979	4.536	9.72655e-08	4.24919e-09	2.508
14:38:42	364.51	0.30	2	0.0046654	0.000354769	4.368	9.62177e-08	3.72532e-09	2.22
14:38:52	364.68	0.28	3	0.00308801	0.000228883	4.26	9.57521e-08	3.49247e-09	2.094
14:39:02	364.85	0.32	1	0.00156403	0.000123979	4.566	9.72655e-08	4.24919e-09	2.508
14:39:12	365.02	0.34	2	0.00462726	0.000354769	4.386	9.62759e-08	3.72532e-09	2.22
14:39:22	365.19	0.28	3	0.00306322	0.000226975	4.266	9.57521e-08	3.49247e-09	2.112
14:39:32	365.36	0.24	1	0.00155259	0.000122071	4.542	9.73237e-08	4.24919e-09	2.526
14:39:43	365.52	0.32	2	0.00459102	0.000350954	4.38	9.62759e-08	3.72532e-09	2.22
14:39:53	365.70	0.32	3	0.00303651	0.000225068	4.266	9.58103e-08	3.49247e-09	2.112
14:40:03	365.86	0.30	1	0.00154115	0.000122071	4.572	9.73237e-08	4.24919e-09	2.508
14:40:13	366.03	0.30	2	0.00455478	0.000349047	4.392	9.62759e-08	3.72532e-09	2.238
14:40:23	366.20	0.32	3	0.00301172	0.000223161	4.272	9.58103e-08	3.55068e-09	2.13
14:40:33	366.37	0.32	1	0.0015297	0.000120163	4.548	9.73237e-08	4.24919e-09	2.526
14:40:43	366.53	0.34	2	0.00451663	0.000345232	4.386	9.63341e-08	3.72532e-09	2.238
14:40:53	366.70	0.28	3	0.00298502	0.000223161	4.278	9.58685e-08	3.49247e-09	2.112
14:41:03	366.87	0.30	1	0.00151826	0.000120163	4.584	9.73237e-08	4.24919e-09	2.526
14:41:13	367.04	0.26	2	0.00448039	0.000343325	4.404	9.63341e-08	3.78353e-09	2.256
14:41:23	367.21	0.34	3	0.00296022	0.000221253	4.278	9.58685e-08	3.55068e-09	2.13
14:41:34	367.37	0.36	1	0.00150491	0.000118256	4.554	9.73237e-08	4.24919e-09	2.526
14:41:44	367.54	0.32	2	0.00444224	0.000341417	4.398	9.63923e-08	3.72532e-09	2.238
14:41:54	367.72	0.34	3	0.00293542	0.000221253	4.32	9.59267e-08	3.55068e-09	2.148
14:42:04	367.88	0.34	1	0.00149346	0.000118256	4.59	9.73819e-08	4.24919e-09	2.526
14:42:14	368.05	0.32	2	0.00440601	0.00033951	4.41	9.63923e-08	3.78353e-09	2.256
14:42:24	368.22	0.34	3	0.00290872	0.000219346	4.326	9.59267e-08	3.55068e-09	2.148
14:42:34	368.39	0.30	1	0.00148202	0.000118256	4.56	9.73819e-08	4.3074e-09	2.55
14:42:44	368.56	0.40	2	0.00436977	0.000337603	4.428	9.63923e-08	3.78353e-09	2.274
14:42:54	368.73	0.34	3	0.00288393	0.000217439	4.326	9.59267e-08	3.55068e-09	2.148
14:43:04	368.89	0.38	1	0.00147057	0.000118256	4.596	9.73819e-08	4.3074e-09	2.55
14:43:14	369.06	0.40	2	0.00432971	0.000333788	4.422	9.64505e-08	3.78353e-09	2.274
14:43:24	369.23	0.36	3	0.00285722	0.000215531	4.338	9.59849e-08	3.60889e-09	2.166
14:43:34	369.39	0.34	1	0.00145913	0.000116349	4.566	9.73819e-08	4.3074e-09	2.55
14:43:45	369.57	0.36	2	0.00429156	0.000331881	4.44	9.64505e-08	3.78353e-09	2.274
14:43:55	369.74	0.34	3	0.00283052	0.000213624	4.344	9.59849e-08	3.60889e-09	2.166
14:44:05	369.90	0.42	1	0.00144769	0.000116349	4.602	9.73819e-08	4.3074e-09	2.544
14:44:15	370.08	0.32	2	0.00425532	0.000329973	4.434	9.65088e-08	3.78353e-09	2.274
14:44:25	370.24	0.22	3	0.00280572	0.000211717	4.344	9.60431e-08	3.60889e-09	2.184
14:44:35	370.40	0.16	1	0.00143624	0.000114441	4.578	9.73819e-08	4.3074e-09	2.544
14:44:45	370.58	0.26	2	0.00421718	0.000326158	4.428	9.65088e-08	3.78353e-09	2.274
14:44:55	370.75	0.26	3	0.00277902	0.000209809	4.356	9.60431e-08	3.60889e-09	2.184
14:45:05	370.92	0.24	1	0.0014248	0.000114441	4.614	9.74401e-08	4.3656e-09	2.562
14:45:15	371.09	0.20	2	0.00417903	0.000324251	4.446	9.65088e-08	3.84173e-09	2.292
14:45:26	371.25	0.26	3	0.00275232	0.000209809	4.362	9.60431e-08	3.60889e-09	2.184
14:45:36	371.42	0.28	1	0.00141145	0.000112534	4.584	9.74401e-08	4.3074e-09	2.544
14:45:46	371.59	0.26	2	0.00414279	0.000320436	4.44	9.65088e-08	3.84173e-09	2.292
14:45:56	371.75	0.30	3	0.00272562	0.000205995	4.332	9.61013e-08	3.6671e-09	2.202
14:46:06	371.93	0.28	1	0.0014	0.000112534	4.62	9.74401e-08	4.3074e-09	2.544
14:46:16	372.09	0.22	2	0.00410464	0.000318529	4.458	9.6567e-08	3.84173e-09	2.292
14:46:26	372.26	0.28	3	0.00269891	0.000204087	4.344	9.61595e-08	3.6671e-09	2.202
14:46:36	372.43	0.30	1	0.00138856	0.000110627	4.59	9.74401e-08	4.3656e-09	2.562
14:46:46	372.60	0.26	2	0.0040665	0.000316622	4.452	9.6567e-08	3.84173e-09	2.31
14:46:56	372.77	0.24	3	0.00267221	0.00020218	4.35	9.61595e-08	3.6671e-09	2.202
14:47:06	372.94	0.24	1	0.00137711	0.000110627	4.632	9.74983e-08	4.3656e-09	2.562
14:47:17	373.10	0.24	2	0.00402644	0.000314714	4.47	9.66252e-08	3.84173e-09	2.31
14:47:27	373.27	0.28	3	0.00264551	0.000200273	4.356	9.61595e-08	3.72532e-09	2.22
14:47:37	373.44	0.28	1	0.00136567	0.000108719	4.602	9.74401e-08	4.3656e-09	2.562
14:47:47	373.61	0.26	2	0.0039883	0.0003109	4.464	9.66252e-08	3.84173e-09	2.31
14:47:57	373.78	0.28	3	0.0026169	0.000198365	4.368	9.62177e-08	3.72532e-09	2.22
14:48:07	373.95	0.26	1	0.00135613	0.000108719	4.638	9.74983e-08	4.3656e-09	2.586
14:48:17	374.11	0.32	2	0.00394824	0.000308992	4.488	9.66252e-08	3.89994e-09	2.328
14:48:27	374.28	0.30	3	0.00259019	0.000196458	4.374	9.62177e-08	3.72532e-09	2.22
14:48:37	374.45	0.26	1	0.00134469	0.000106812	4.602	9.74983e-08	4.3656e-09	2.562
14:48:47	374.62	0.30	2	0.00391009	0.000305178	4.482	9.66834e-08	3.89994e-09	2.328
14:48:57	374.79	0.26	3	0.00256349	0.000196458	4.386	9.62177e-08	3.72532e-09	2.238
14:49:07	374.96	0.26	1	0.00133324	0.000106812	4.644	9.74983e-08	4.3656e-09	2.586
14:49:18	375.12	0.22	2	0.00387193	0.00030327	4.476	9.66834e-08	3.89994e-09	2.328
14:49:28	375.30	0.28	3	0.00253488	0.00019455	4.398	9.62759e-08	3.72532e-09	2.22
14:49:38	375.46	0.30	1	0.00131989	0.000104905	4.614	9.75565e-08	4.3656e-09	2.58
14:49:48	375.64	0.30	2	0.00383188	0.000301363	4.5	9.66834e-08	3.95815e-09	2.346
14:49:58	375.80	0.24	3	0.00250818	0.000192643	4.404	9.62759e-08	3.72532e-09	2.238
14:50:08	375.97	0.26	1	0.00130845	0.000104905	4.656	9.75565e-08	4.3656e-09	2.562
14:50:18	376.14	0.26	2	0.00379373	0.000297548	4.494	9.67416e-08	3.89994e-09	2.328
14:50:28	376.31	0.24	3	0.00248148	0.000190736	4.416	9.62759e-08	3.72532e-09	2.238
14:50:38	376.47	0.28	1	0.001297	0.000104905	4.62	9.75565e-08	4.3656e-09	2.58
14:50:48	376.64	0.26	2	0.00375368	0.000293734	4.494	9.67416e-08	3.95815e-09	2.364
14:50:58	376.81	0.32	3	0.00245287	0.000188828	4.428	9.63341e-08	3.78353e-09	2.256
14:51:08	376.98	0.26	1	0.00128556	0.000104905	4.662	9.75565e-08	4.3656e-09	2.58
14:51:19	377.15	0.26	2	0.00371362	0.000291826	4.512	9.67416e-08	3.95815e-09	2.346
14:51:29	377.32	0.28	3	0.00242426	0.000185014	4.404	9.63923e-08	3.78353e-09	2.256
14:51:39	377.48	0.28	1	0.00127412	0.000102997	4.632	9.75565e-08	4.42381e-09	2.598
14:51:49	377.65	0.30	2	0.00367357	0.000289919	4.512	9.67416e-08	3.95815e-09	2.364
14:51:59	377.82	0.28	3	0.00239755	0.000183106	4.41	9.63923e-08	3.78353e-09	2.256
14:52:09	377.99	0.28	1	0.00126267	0.000102997	4.674	9.76147e-08	4.3656e-09	2.58
14:52:19	378.16	0.30	2	0.00363351	0.000286104	4.506	9.6858e-08	3.95815e-09	2.364
14:52:29	378.33	0.28	3	0.00236703	0.000183106	4.428	9.63923e-08	3.78353e-09	2.274
14:52:39	378.49	0.26	1	0.00125123	0.00010109	4.644	9.76147e-08	4.42381e-09	2.598
14:52:49	378.66	0.26	2	0.00359346	0.000284197	4.53	9.6858e-08	3.95815e-09	2.364
